actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-31T23:10:18.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-31T23:10:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-31T23:10:21.0Z,1,REGULAR,jumpball,recovered,[],1629639,,,1610612748,0,0,2025-03-31T23:10:21Z,40000,False,,,0,,Jump Ball K. Ware vs. A. Sarr: Tip to T. Herro,"[1629639, 1642276, 1642259]",1610612748.0,MIA,startperiod,T. Herro,1629639.0,Herro,T. Herro,Ware,1642276.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-03-31T23:10:34.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641796,16.245072273324574,43.13725490196079,1610612748,0,0,2025-03-31T23:10:39Z,70000,False,34.0,100.0,1,left,MISS P. Larsson 10' driving floating Shot,[1641796],1610612748.0,MIA,driving floating,,,Larsson,P. Larsson,,,,,In The Paint (Non-RA),8-16 Center,10.59,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-03-31T23:10:35.8Z,1,REGULAR,rebound,defensive,[],1642358,,,1610612764,0,0,2025-03-31T23:10:39Z,80000,False,,,0,,A. Johnson REBOUND (Off:0 Def:1),[1642358],1610612764.0,WAS,,,,Johnson,A. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2025-03-31T23:10:48.2Z,1,REGULAR,3pt,Jump Shot,[],1629673,67.09921156373193,47.549019607843135,1610612764,3,0,2025-03-31T23:10:55Z,90000,False,-12.0,257.0,1,right,J. Poole 25' 3PT pullup (3 PTS),[1629673],1610612764.0,WAS,pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,25.71,Made,,,,,3.0,,,,,,,,,,,,,
10,PT11M30.00S,2025-03-31T23:10:51.6Z,1,REGULAR,foul,personal,['1freethrow'],1641796,,,1610612764,3,0,2025-03-31T23:10:56Z,100000,False,,,0,,P. Larsson shooting personal FOUL (1 PF) (Poole 1 FT),"[1641796, 1629673]",1610612748.0,MIA,shooting,,,Larsson,P. Larsson,,,,,Above the Break 3,24+ Center,,,,,,,,201638.0,1.0,0.0,Poole,1629673.0,,,,,,,,
12,PT11M30.00S,2025-03-31T23:11:19.9Z,1,REGULAR,freethrow,1 of 1,[],1629673,,,1610612764,4,0,2025-03-31T23:11:19Z,120000,False,,,0,,J. Poole Free Throw 1 of 1 (4 PTS),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
13,PT11M17.00S,2025-03-31T23:11:36.8Z,1,REGULAR,2pt,Jump Shot,[],1629639,8.886333771353483,66.17647058823529,1610612748,4,0,2025-03-31T23:12:55Z,130000,False,-81.0,31.0,1,left,MISS T. Herro 8' driving floating bank Shot,[1629639],1610612748.0,MIA,driving floating bank,,,Herro,T. Herro,,,,,Mid-Range,8-16 Left,8.66,Missed,,,,,,,,,,,,,,,,,,
14,PT11M16.00S,2025-03-31T23:11:37.8Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,4,0,2025-03-31T23:12:55Z,140000,False,,,0,,K. Ware REBOUND (Off:1 Def:0),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Mid-Range,8-16 Left,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
15,PT11M16.00S,2025-03-31T23:11:39.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642276,9.149145860709593,54.166666666666664,1610612748,4,0,2025-03-31T23:13:12Z,150000,False,-21.0,34.0,1,left,MISS K. Ware tip Layup,[1642276],1610612748.0,MIA,tip,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,3.94,Missed,,,,,,,,,,,,,,,,,,
