actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-04-02T23:10:22.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-02T23:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-04-02T23:10:24.6Z,1,REGULAR,jumpball,recovered,[],1642267,,,1610612764,0,0,2025-04-02T23:10:24Z,40000,False,,,0,,Jump Ball A. Sarr vs. D. Sabonis: Tip to B. Carrington,"[1642267, 1642259, 1627734]",1610612764.0,WAS,startperiod,B. Carrington,1642267.0,Carrington,B. Carrington,Sarr,1642259.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-04-02T23:10:37.4Z,1,REGULAR,3pt,Jump Shot,[],1642267,65.91655716162943,23.03921568627451,1610612764,0,0,2025-04-02T23:10:41Z,70000,False,-135.0,268.0,1,right,MISS B. Carrington 29' 3PT,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Left Center,29.99,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-04-02T23:10:40.4Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2025-04-02T23:10:41Z,80000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2025-04-02T23:10:58.0Z,1,REGULAR,2pt,Jump Shot,[],201942,20.45006570302234,55.63725490196079,1610612758,0,2,2025-04-02T23:11:02Z,90000,False,-28.0,140.0,1,left,D. DeRozan 14' turnaround Jump Shot (2 PTS),[201942],1610612758.0,SAC,turnaround,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Center,14.25,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M12.00S,2025-04-02T23:11:09.8Z,1,REGULAR,3pt,Jump Shot,[],1630551,87.99277266754271,1.9607843137254901,1610612764,0,2,2025-04-02T23:11:15Z,100000,False,-240.0,60.0,1,right,MISS J. Champagnie 24' 3PT,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,24.77,Missed,,,,,,,,,,,,,,,,,,
11,PT11M10.00S,2025-04-02T23:11:11.8Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,2,2025-04-02T23:11:15Z,110000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Left Corner 3,24+ Left,,,10.0,2.0,2.0,0.0,,,,,,,,,,,,,,
12,PT11M01.00S,2025-04-02T23:11:20.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,7.5722733245729295,56.372549019607845,1610612758,0,2,2025-04-02T23:11:26Z,120000,False,-32.0,19.0,1,left,MISS D. Sabonis cutting Layup - blocked,"[1627734, 1642259]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,3.7,Missed,,,,,,Sarr,1642259.0,,,,,,,,,,,
13,PT11M01.00S,2025-04-02T23:11:20.9Z,1,REGULAR,block,,[],1642259,,,1610612758,0,2,2025-04-02T23:11:24Z,130000,False,,,0,,A. Sarr BLOCK (1 BLK),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2025-04-02T23:11:22.9Z,1,REGULAR,rebound,defensive,[],1642358,,,1610612764,0,2,2025-04-02T23:11:47Z,140000,False,,,0,,A. Johnson REBOUND (Off:0 Def:1),[1642358],1610612764.0,WAS,,,,Johnson,A. Johnson,,,,,Restricted Area,0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M54.00S,2025-04-02T23:11:27.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629673,69.33311432325887,14.215686274509803,1610612764,3,2,2025-04-02T23:11:58Z,150000,False,-179.0,236.0,1,right,J. Poole 29' 3PT running (3 PTS) (A. Johnson 1 AST),"[1629673, 1642358]",1610612764.0,WAS,running,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,29.6,Made,,,,,3.0,,,A. Johnson,1642358.0,1.0,,,,,,,,
17,PT10M28.00S,2025-04-02T23:11:53.5Z,1,REGULAR,3pt,Jump Shot,[],203897,28.728646517739815,8.823529411764707,1610612758,3,2,2025-04-02T23:12:21Z,170000,False,206.0,218.0,1,left,MISS Z. LaVine 29' pullup 3PT,[203897],1610612758.0,SAC,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,29.95,Missed,,,,,,,,,,,,,,,,,,
18,PT10M24.00S,2025-04-02T23:11:57.5Z,1,REGULAR,rebound,defensive,[],1642358,,,1610612764,3,2,2025-04-02T23:11:58Z,180000,False,,,0,,A. Johnson REBOUND (Off:0 Def:2),[1642358],1610612764.0,WAS,,,,Johnson,A. Johnson,,,,,Above the Break 3,24+ Right Center,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,,,
