actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-11T00:11:30.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-11T00:11:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-11T00:11:33.0Z,1,REGULAR,jumpball,recovered,[],1630170,,,1610612759,0,0,2025-02-11T00:11:33Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. R. Holmes: Tip to D. Vassell,"[1630170, 1641705, 1626158]",1610612759.0,SAS,startperiod,D. Vassell,1630170.0,Vassell,D. Vassell,Wembanyama,1641705.0,Holmes,1626158.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2025-02-11T00:11:54.1Z,1,REGULAR,3pt,Jump Shot,[],1628368,84.31340341655716,96.32352941176471,1610612759,0,0,2025-02-11T00:11:58Z,70000,False,232.0,95.0,1,right,MISS D. Fox 25' 3PT,[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,25.03,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2025-02-11T00:11:58.1Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,0,0,2025-02-11T00:11:58Z,80000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2025-02-11T00:12:04.9Z,1,REGULAR,3pt,Jump Shot,[],1641731,14.011169513797633,2.696078431372549,1610612764,3,0,2025-02-11T00:12:09Z,90000,False,237.0,79.0,1,left,B. Coulibaly 24' 3PT  (3 PTS) (J. Poole 1 AST),"[1641731, 1629673]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Right Corner 3,24+ Right,24.94,Made,,,,,3.0,J. Poole,1629673.0,1.0,,,,,,,,,,
16,PT11M05.00S,2025-02-11T00:12:44.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641705,80.3712220762155,52.20588235294118,1610612759,3,0,2025-02-11T00:20:21Z,160000,False,11.0,132.0,1,right,MISS V. Wembanyama 13' fadeaway Shot - blocked,"[1641705, 1626158]",1610612759.0,SAS,fadeaway,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),8-16 Center,13.25,Missed,,,,,,,,,Holmes,1626158.0,,,,,,,,
17,PT11M05.00S,2025-02-11T00:12:44.7Z,1,REGULAR,block,,[],1626158,,,1610612759,3,0,2025-02-11T00:21:57Z,170000,False,,,0,,R. Holmes BLOCK (1 BLK),[1626158],1610612764.0,WAS,,,,Holmes,R. Holmes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
18,PT11M01.00S,2025-02-11T00:12:48.7Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,3,0,2025-02-11T00:12:49Z,180000,False,,,0,,B. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),8-16 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M59.00S,2025-02-11T00:12:50.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629673,27.414586070959263,78.18627450980392,1610612764,3,0,2025-02-11T00:14:31Z,190000,False,-141.0,205.0,1,left,MISS J. Poole 24' running pullup 3PT,[1629673],1610612764.0,WAS,running pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,24.89,Missed,,,,,,,,,,,,,,,,,,
20,PT10M54.00S,2025-02-11T00:12:55.7Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,3,0,2025-02-11T00:12:55Z,200000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M50.00S,2025-02-11T00:12:59.3Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628368,91.67214191852825,41.911764705882355,1610612759,3,2,2025-02-11T00:15:24Z,210000,False,-40.0,26.0,1,right,D. Fox driving bank Jump Shot (2 PTS),[1628368],1610612759.0,SAS,driving bank,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,4.79,Made,,,,,2.0,,,,,,,,,,,,,
22,PT10M39.00S,2025-02-11T00:13:11.3Z,1,REGULAR,3pt,Jump Shot,[],1642267,25.18068331143233,4.6568627450980395,1610612764,3,2,2025-02-11T00:15:42Z,220000,False,227.0,184.0,1,left,MISS B. Carrington 29' pullup 3PT,[1642267],1610612764.0,WAS,pullup,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Right Center,29.21,Missed,,,,,,,,,,,,,,,,,,
23,PT10M37.00S,2025-02-11T00:13:13.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,3,2,2025-02-11T00:13:17Z,230000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Right Center,,,22.0,,,,,,,,,,,,,,,,,
24,PT10M37.00S,2025-02-11T00:13:17.7Z,1,REGULAR,foul,personal,[],1626158,,,1610612759,3,2,2025-02-11T00:13:23Z,240000,False,,,0,,R. Holmes loose ball personal FOUL (1 PF),"[1626158, 1641705]",1610612764.0,WAS,loose ball,,,Holmes,R. Holmes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,204058.0,1.0,0.0,Wembanyama,1641705.0,,,
