actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-03-24T23:12:25.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-24T23:12:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-24T23:12:28.1Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2025-03-24T23:12:28Z,40000,False,,,0,,Jump Ball J. Poeltl vs. A. Sarr: Tip to S. Barnes,"[1630567, 1627751, 1642259]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Poeltl,1627751.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-03-24T23:12:38.3Z,1,REGULAR,turnover,lost ball,[],1630567,,,1610612761,0,0,2025-03-24T23:12:42Z,70000,False,,,0,,S. Barnes lost ball TURNOVER (1 TO),"[1630567, 1629673]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,1.0,Poole,1629673.0,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2025-03-24T23:12:38.3Z,1,REGULAR,steal,,[],1629673,,,1610612764,0,0,2025-03-24T23:12:40Z,80000,False,,,0,,J. Poole STEAL (1 STL),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2025-03-24T23:12:44.9Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629673,6.521024967148489,1.4705882352941175,1610612764,0,0,2025-03-24T23:13:18Z,90000,False,243.0,9.0,1,left,MISS J. Poole 24' step back 3PT,[1629673],1610612764.0,WAS,step back,,,Poole,J. Poole,,,,,Right Corner 3,24+ Right,,,,24.28,Missed,,,,,,,,,,,,,,,
10,PT11M37.00S,2025-03-24T23:12:46.9Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,0,0,2025-03-24T23:12:49Z,100000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Right Corner 3,24+ Right,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M27.00S,2025-03-24T23:12:58.2Z,1,REGULAR,3pt,Jump Shot,[],1630193,69.46452036793693,23.52941176470588,1610612761,0,0,2025-03-24T23:13:01Z,110000,False,-132.0,235.0,1,right,MISS I. Quickley 26' 3PT,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,,,,26.93,Missed,,,,,,,,,,,,,,,
12,PT11M23.00S,2025-03-24T23:13:02.2Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,0,0,2025-03-24T23:13:01Z,120000,False,,,0,,B. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Left Center,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M04.00S,2025-03-24T23:13:20.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203114,17.559132720105126,36.76470588235294,1610612764,0,0,2025-03-24T23:13:25Z,130000,False,66.0,113.0,1,left,MISS K. Middleton 13' driving Hook,[203114],1610612764.0,WAS,driving,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Center,,,,13.06,Missed,,,,,,,,,,,,,,,
14,PT11M02.00S,2025-03-24T23:13:22.0Z,1,REGULAR,rebound,offensive,[],1642273,,,1610612764,0,0,2025-03-24T23:13:25Z,140000,False,,,0,,K. George REBOUND (Off:1 Def:0),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Center,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,
