actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-12-21T02:10:28.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-21T02:10:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2021-12-21T02:10:29.9Z,1,REGULAR,jumpball,recovered,[],202711,,,1610612762,0,0,2021-12-21T02:10:30Z,40000,,,0,,Jump Ball R. Gobert vs. M. Plumlee: Tip to B. Bogdanovic,"[202711, 203497, 203486]",1610612762.0,UTA,startperiod,B. Bogdanovic,202711.0,Bogdanovic,B. Bogdanovic,Gobert,203497.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-12-21T02:10:47.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202711,89.17542706964521,54.41176470588235,1610612762,0,0,2021-12-21T02:10:52Z,70000,22.0,49.0,1,right,MISS B. Bogdanovic driving Layup,[202711],1610612762.0,UTA,driving,,,Bogdanovic,B. Bogdanovic,,,,,5.4,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2021-12-21T02:10:48.8Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,0,0,2021-12-21T02:10:48Z,80000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2021-12-21T02:10:56.8Z,1,REGULAR,foul,personal,['2freethrow'],203497,,,1610612766,0,0,2021-12-21T02:11:14Z,90000,,,0,,R. Gobert shooting personal FOUL (1 PF) (Bridges 2 FT),"[203497, 1628970]",1610612762.0,UTA,shooting,,,Gobert,R. Gobert,,,,,,,,,,,202037.0,1.0,0.0,Bridges,1628970.0,,,,,,,,,
11,PT11M31.00S,2021-12-21T02:11:22.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628970,,,1610612766,0,1,2021-12-21T02:11:22Z,110000,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
12,PT11M31.00S,2021-12-21T02:11:35.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628970,,,1610612766,0,2,2021-12-21T02:11:35Z,120000,,,0,,M. Bridges Free Throw 2 of 2 (2 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
13,PT11M14.00S,2021-12-21T02:11:54.3Z,1,REGULAR,3pt,Jump Shot,[],1628378,66.70499342969777,49.01960784313725,1610612762,3,2,2021-12-21T02:11:59Z,130000,-5.0,260.0,1,right,D. Mitchell 26' 3PT pullup (3 PTS),[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,26.05,Made,,,,,,,,,,3.0,,,,,,,,
14,PT10M53.00S,2021-12-21T02:12:15.8Z,1,REGULAR,2pt,Jump Shot,[],1626179,10.85742444152431,32.59803921568628,1610612766,3,2,2021-12-21T02:12:24Z,140000,87.0,50.0,1,left,MISS T. Rozier 10' driving floating bank Shot,[1626179],1610612766.0,CHA,driving floating bank,,,Rozier,T. Rozier,,,,,10.01,Missed,,,,,,,,,,,,,,,,,,
15,PT10M49.00S,2021-12-21T02:12:19.8Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,3,2,2021-12-21T02:12:24Z,150000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
