actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-30T02:10:41.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-30T02:10:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-30T02:10:44.3Z,1,REGULAR,jumpball,recovered,[],203496,,,1610612757,0,0,2021-11-30T02:10:44Z,40000,,,0,,Jump Ball J. Nurkic vs. R. Gobert: Tip to R. Covington,"[203496, 203994, 203497]",1610612757.0,POR,startperiod,R. Covington,203496.0,Covington,R. Covington,Nurkic,203994.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-11-30T02:10:59.6Z,1,REGULAR,turnover,out-of-bounds,[],203496,,,1610612757,0,0,2021-11-30T02:11:08Z,70000,,,0,,R. Covington bad pass out-of-bounds TURNOVER (1 TO),[203496],1610612757.0,POR,bad pass,,,Covington,R. Covington,,,,,202026.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2021-11-30T02:11:28.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203497,86.28449408672799,38.72549019607843,1610612762,0,0,2021-11-30T02:11:32Z,80000,-56.0,76.0,1,right,MISS R. Gobert 9' turnaround fadeaway Shot,[203497],1610612762.0,UTA,turnaround fadeaway,,,Gobert,R. Gobert,,,,,,,9.5,Missed,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2021-11-30T02:11:30.3Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,0,2021-11-30T02:11:32Z,90000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M02.00S,2021-11-30T02:11:49.9Z,1,REGULAR,2pt,Jump Shot,[],203503,6.389618922470433,68.38235294117648,1610612757,0,0,2021-11-30T02:11:53Z,100000,-92.0,8.0,1,left,MISS T. Snell 9' floating Shot,[203503],1610612757.0,POR,floating,,,Snell,T. Snell,,,,,,,9.22,Missed,,,,,,,,,,,,,,,,,
11,PT11M00.00S,2021-11-30T02:11:51.9Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,0,0,2021-11-30T02:11:53Z,110000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M53.00S,2021-11-30T02:11:58.7Z,1,REGULAR,3pt,Jump Shot,[],204060,71.43561103810775,78.67647058823529,1610612762,0,0,2021-11-30T02:12:04Z,120000,143.0,216.0,1,right,MISS J. Ingles 25' step back 3PT,[204060],1610612762.0,UTA,step back,,,Ingles,J. Ingles,,,,,,,25.93,Missed,,,,,,,,,,,,,,,,,
13,PT10M50.00S,2021-11-30T02:12:01.7Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,0,0,2021-11-30T02:12:04Z,130000,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M38.00S,2021-11-30T02:12:13.5Z,1,REGULAR,turnover,bad pass,[],203081,,,1610612757,0,0,2021-11-30T02:12:17Z,140000,,,0,,D. Lillard bad pass TURNOVER (1 TO),"[203081, 1628378]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,1.0,,,,,,,Mitchell,1628378.0,,,,,,,,,,,
15,PT10M38.00S,2021-11-30T02:12:13.5Z,1,REGULAR,steal,,[],1628378,,,1610612762,0,0,2021-11-30T02:12:15Z,150000,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M37.00S,2021-11-30T02:12:16.5Z,1,REGULAR,foul,personal,[],203496,,,1610612762,0,0,2021-11-30T02:22:33Z,160000,,,0,,R. Covington take personal FOUL (1 PF),"[203496, 201144]",1610612757.0,POR,take,,,Covington,R. Covington,,,,,201639.0,,,,,,,,,,1.0,0.0,Conley,201144.0,,,,,,,
18,PT10M28.00S,2021-11-30T02:12:38.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628378,79.84559789750328,8.088235294117647,1610612762,0,0,2021-11-30T02:12:44Z,180000,-210.0,137.0,1,right,MISS D. Mitchell 25' 3PT,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,25.04,Missed,,,,,,,,,,,,,,,,,
19,PT10M24.00S,2021-11-30T02:12:42.9Z,1,REGULAR,rebound,defensive,[],203503,,,1610612757,0,0,2021-11-30T02:12:44Z,190000,,,0,,T. Snell REBOUND (Off:0 Def:1),[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M12.00S,2021-11-30T02:13:00.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,0,0,2021-11-30T02:13:00Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M05.00S,2021-11-30T02:13:19.6Z,1,REGULAR,turnover,out-of-bounds,[],203081,,,1610612757,0,0,2021-11-30T02:13:26Z,210000,,,0,,D. Lillard bad pass out-of-bounds TURNOVER (2 TO),[203081],1610612757.0,POR,bad pass,,,Lillard,D. Lillard,,,,,1628951.0,2.0,,,,,,,,,,,,,,,,,,,
22,PT09M56.00S,2021-11-30T02:13:35.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202711,92.59198423127464,4.6568627450980395,1610612762,0,0,2021-11-30T02:13:40Z,220000,-227.0,17.0,1,right,MISS B. Bogdanovic 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,22.73,Missed,,,,,,,,,,,,,,,,,
