actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-08T02:10:13.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-08T02:10:13Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-08T02:10:16.0Z,1,REGULAR,jumpball,recovered,[],202692,,,1610612752,0,0,2022-02-08T02:10:16Z,40000,,,0,,Jump Ball M. Robinson vs. U. Azubuike: Tip to A. Burks,"[202692, 1629011, 1628962]",1610612752.0,NYK,startperiod,A. Burks,202692.0,Burks,A. Burks,Robinson,1629011.0,Azubuike,1628962.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-02-08T02:10:28.7Z,1,REGULAR,2pt,Jump Shot,[],203944,4.681340341655716,22.30392156862745,1610612752,0,0,2022-02-08T02:10:35Z,70000,138.0,-8.0,1,left,MISS J. Randle 13' step back Shot,[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,13.88,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-02-08T02:10:31.7Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,0,0,2022-02-08T02:10:35Z,80000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2022-02-08T02:10:33.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629011,6.258212877792378,50.49019607843137,1610612752,0,2,2022-02-08T02:10:46Z,90000,-2.0,6.0,1,left,M. Robinson putback DUNK (2 PTS),[1629011],1610612752.0,NYK,putback,,,Robinson,M. Robinson,,,,,0.68,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M24.00S,2022-02-08T02:10:48.9Z,1,REGULAR,turnover,bad pass,[],1628378,,,1610612762,0,2,2022-02-08T02:10:56Z,100000,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1628378, 203095]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,1.0,Fournier,203095.0,,,,,,,,,,,
11,PT11M24.00S,2022-02-08T02:10:48.9Z,1,REGULAR,steal,,[],203095,,,1610612752,0,2,2022-02-08T02:10:53Z,110000,,,0,,E. Fournier STEAL (1 STL),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2022-02-08T02:10:54.9Z,1,REGULAR,foul,personal,['2freethrow'],1628378,,,1610612752,0,2,2022-02-08T02:11:20Z,120000,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Barrett 2 FT),"[1628378, 1629628]",1610612762.0,UTA,shooting,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,1626302.0,1.0,0.0,Barrett,1629628.0,,,,,,
14,PT11M21.00S,2022-02-08T02:11:21.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629628,,,1610612752,0,3,2022-02-08T02:11:36Z,140000,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
15,PT11M21.00S,2022-02-08T02:11:21.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629628,,,1610612752,0,3,2022-02-08T02:11:36Z,150000,,,0,,MISS R. Barrett Free Throw 2 of 2,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,Missed,,,,,,,,,,,,,,,,,,,
