actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-04-06T01:10:11.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-06T01:10:11Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-04-06T01:10:13.9Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2022-04-06T01:10:13Z,40000,,,0,,Jump Ball R. Gobert vs. S. Adams: Tip to R. O'Neale,"[1626220, 203497, 203500]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-04-06T01:10:27.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,16.507884362680684,35.294117647058826,1610612762,0,0,2022-04-06T01:10:32Z,70000,74.0,103.0,1,left,MISS D. Mitchell 12' turnaround fadeaway Shot,[1628378],1610612762.0,UTA,turnaround fadeaway,,,Mitchell,D. Mitchell,,,,,12.63,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-04-06T01:10:30.0Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,0,0,2022-04-06T01:10:32Z,80000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-04-06T01:10:49.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,93.77463863337714,55.63725490196079,1610612763,0,0,2022-04-06T01:10:54Z,90000,28.0,6.0,1,right,MISS J. Jackson Jr. floating Shot,[1628991],1610612763.0,MEM,floating,,,Jackson Jr.,J. Jackson Jr.,,,,,2.88,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2022-04-06T01:10:52.0Z,1,REGULAR,rebound,offensive,[],1630217,,,1610612763,0,0,2022-04-06T01:10:54Z,100000,,,0,,D. Bane REBOUND (Off:1 Def:0),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M18.00S,2022-04-06T01:10:56.6Z,1,REGULAR,foul,personal,[],202711,,,1610612763,0,0,2022-04-06T01:11:11Z,110000,,,0,,B. Bogdanovic personal FOUL (1 PF),"[202711, 1630217]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,1193.0,1.0,0.0,Bane,1630217.0,,,,,,,,,
13,PT11M14.00S,2022-04-06T01:11:20.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630533,95.6143232588699,94.36274509803921,1610612763,0,3,2022-04-06T01:11:25Z,130000,222.0,-11.0,1,right,Z. Williams 3PT  (3 PTS) (T. Jones 1 AST),"[1630533, 1626145]",1610612763.0,MEM,,,,Williams,Z. Williams,,,,,22.21,Made,,,,,,,,,,3.0,T. Jones,1626145.0,1.0,,,,,
15,PT10M57.00S,2022-04-06T01:11:39.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,0,3,2022-04-06T01:11:39Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2022-04-06T01:11:59.5Z,1,REGULAR,3pt,Jump Shot,[],202711,25.57490144546649,15.441176470588236,1610612762,3,3,2022-04-06T01:12:05Z,160000,173.0,188.0,1,left,B. Bogdanovic 25' 3PT  (3 PTS) (M. Conley 1 AST),"[202711, 201144]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,25.53,Made,,,,,,,,,,3.0,M. Conley,201144.0,1.0,,,,,
