actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-03-10T03:11:03.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-10T03:11:03Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-10T03:11:05.4Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2022-03-10T03:11:05Z,40000,,,0,,Jump Ball R. Gobert vs. D. Eubanks: Tip to R. O'Neale,"[1626220, 203497, 1629234]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-03-10T03:11:24.4Z,1,REGULAR,3pt,Jump Shot,[],1628378,71.69842312746385,17.401960784313726,1610612762,0,0,2022-03-10T03:11:30Z,70000,-163.0,214.0,1,right,MISS D. Mitchell 26' 3PT,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,26.86,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-03-10T03:11:26.4Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,0,0,2022-03-10T03:11:30Z,80000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2022-03-10T03:11:37.5Z,1,REGULAR,2pt,Jump Shot,[],1630314,8.886333771353483,14.705882352941178,1610612757,0,0,2022-03-10T03:11:43Z,90000,176.0,31.0,1,left,MISS B. Williams 17' pullup Shot,[1630314],1610612757.0,POR,pullup,,,Williams,B. Williams,,,,,17.92,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2022-03-10T03:11:39.5Z,1,REGULAR,rebound,offensive,[],1629234,,,1610612757,0,0,2022-03-10T03:11:43Z,100000,,,0,,D. Eubanks REBOUND (Off:1 Def:0),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M15.00S,2022-03-10T03:11:47.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630190,20.97568988173456,27.205882352941174,1610612757,0,0,2022-03-10T03:11:53Z,110000,114.0,145.0,1,left,MISS E. Hughes 18' step back Shot,[1630190],1610612757.0,POR,step back,,,Hughes,E. Hughes,,,,,18.42,Missed,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2022-03-10T03:11:49.6Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,0,0,2022-03-10T03:11:53Z,120000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M02.00S,2022-03-10T03:12:01.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,74.98357424441524,12.990196078431374,1610612762,0,0,2022-03-10T03:12:05Z,130000,-185.0,183.0,1,right,MISS D. Mitchell 26' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,26.0,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2022-03-10T03:12:03.0Z,1,REGULAR,rebound,defensive,[],1630190,,,1610612757,0,0,2022-03-10T03:12:05Z,140000,,,0,,E. Hughes REBOUND (Off:0 Def:1),[1630190],1610612757.0,POR,,,,Hughes,E. Hughes,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M47.00S,2022-03-10T03:12:16.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629234,13.485545335085414,60.78431372549019,1610612757,0,0,2022-03-10T03:12:21Z,150000,-54.0,74.0,1,left,MISS D. Eubanks 9' turnaround Hook,[1629234],1610612757.0,POR,turnaround,,,Eubanks,D. Eubanks,,,,,9.18,Missed,,,,,,,,,,,,,,,,,,
16,PT10M45.00S,2022-03-10T03:12:18.4Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,0,0,2022-03-10T03:12:21Z,160000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M35.00S,2022-03-10T03:12:27.8Z,1,REGULAR,3pt,Jump Shot,[],1626220,76.95466491458606,3.6764705882352944,1610612762,0,0,2022-03-10T03:12:33Z,170000,-232.0,164.0,1,right,MISS R. O'Neale 28' 3PT,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,28.38,Missed,,,,,,,,,,,,,,,,,,
18,PT10M32.00S,2022-03-10T03:12:30.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,0,0,2022-03-10T03:12:33Z,180000,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,
