actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-04T02:10:36.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-04T02:10:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-04T02:10:38.5Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2021-12-04T02:10:38Z,40000,,,0,,Jump Ball R. Gobert vs. R. Williams III: Tip to R. O'Neale,"[1626220, 203497, 1629057]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2021-12-04T02:11:00.2Z,1,REGULAR,3pt,Jump Shot,[],1628378,29.517082785808146,7.598039215686274,1610612762,3,0,2021-12-04T02:11:06Z,70000,212.0,225.0,1,left,D. Mitchell 30' 3PT  (3 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,30.91,Made,3.0,,,,,,,,,,,,,,,,,,
8,PT11M12.00S,2021-12-04T02:11:24.5Z,1,REGULAR,2pt,Jump Shot,[],203471,78.53153745072274,67.8921568627451,1610612738,3,0,2021-12-04T02:11:30Z,80000,89.0,149.0,1,right,MISS D. Schroder 17' pullup Shot,[203471],1610612738.0,BOS,pullup,,,Schroder,D. Schroder,,,,,17.41,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M08.00S,2021-12-04T02:11:28.5Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,3,0,2021-12-04T02:11:30Z,90000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M02.00S,2021-12-04T02:11:36.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,3,0,2021-12-04T02:11:36Z,100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT10M53.00S,2021-12-04T02:11:59.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,3,0,2021-12-04T02:11:59Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT10M48.00S,2021-12-04T02:12:18.6Z,1,REGULAR,3pt,Jump Shot,[],1628378,9.017739816031538,3.6764705882352944,1610612762,3,0,2021-12-04T02:12:24Z,120000,232.0,32.0,1,left,MISS D. Mitchell step back 3PT,[1628378],1610612762.0,UTA,step back,,,Mitchell,D. Mitchell,,,,,23.38,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M45.00S,2021-12-04T02:12:21.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,0,2021-12-04T02:12:24Z,130000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M29.00S,2021-12-04T02:12:37.4Z,1,REGULAR,3pt,Jump Shot,[],203471,72.61826544021025,78.43137254901961,1610612738,3,0,2021-12-04T02:12:43Z,140000,142.0,205.0,1,right,MISS D. Schroder 24' 3PT,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,24.94,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M26.00S,2021-12-04T02:12:40.4Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,3,0,2021-12-04T02:12:43Z,150000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M20.00S,2021-12-04T02:12:46.6Z,1,REGULAR,3pt,Jump Shot,[],201144,32.14520367936925,23.284313725490197,1610612762,6,0,2021-12-04T02:12:52Z,160000,134.0,250.0,1,left,M. Conley 28' 3PT pullup (3 PTS),[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,28.32,Made,3.0,,,,,,,,,,,,,,,,,,
18,PT10M01.00S,2021-12-04T02:13:06.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,67.23061760840999,36.76470588235294,1610612738,6,0,2021-12-04T02:13:11Z,180000,-66.0,256.0,1,right,MISS J. Tatum 26' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,26.39,Missed,,,,,,,,,,,,,,,,,,,
19,PT09M57.00S,2021-12-04T02:13:10.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,6,0,2021-12-04T02:13:11Z,190000,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,,,
