actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-17T01:10:05.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-17T01:10:05Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-17T01:10:07.3Z,1,REGULAR,jumpball,recovered,[],1627823,,,1610612762,0,0,2022-03-17T01:10:07Z,40000,,,0,,Jump Ball R. Gobert vs. N. Vucevic: Tip to J. Hernangomez,"[1627823, 203497, 202696]",1610612762.0,UTA,startperiod,J. Hernangomez,1627823.0,Hernangomez,J. Hernangomez,Gobert,203497.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-03-17T01:10:28.1Z,1,REGULAR,2pt,Jump Shot,[],201144,13.61695137976347,69.36274509803921,1610612762,0,0,2022-03-17T01:10:57Z,70000,-97.0,75.0,1,left,MISS M. Conley 12' pullup Shot,[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,12.28,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-03-17T01:10:31.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2022-03-17T01:10:33Z,80000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M20.00S,2022-03-17T01:10:44.5Z,1,REGULAR,3pt,Jump Shot,[],202696,75.90341655716163,11.76470588235294,1610612741,0,0,2022-03-17T01:10:50Z,90000,-191.0,174.0,1,right,MISS N. Vucevic 25' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,25.85,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2022-03-17T01:10:47.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,0,0,2022-03-17T01:10:50Z,100000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M07.00S,2022-03-17T01:10:56.5Z,1,REGULAR,3pt,Jump Shot,[],1628378,29.6484888304862,69.36274509803921,1610612762,0,0,2022-03-17T01:11:02Z,110000,-97.0,226.0,1,left,MISS D. Mitchell 24' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,24.6,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2022-03-17T01:10:57.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2022-03-17T01:11:02Z,120000,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
13,PT11M00.00S,2022-03-17T01:11:06.1Z,1,REGULAR,foul,personal,[],201144,,,1610612741,0,0,2022-03-17T01:11:10Z,130000,,,0,,M. Conley personal FOUL (1 PF),"[201144, 1630245]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,201245.0,1.0,0.0,Dosunmu,1630245.0,,,,,,,,,,
15,PT10M56.00S,2022-03-17T01:11:25.1Z,1,REGULAR,2pt,Jump Shot,[],201942,74.45795006570303,27.941176470588236,1610612741,0,0,2022-03-17T01:11:32Z,150000,-110.0,188.0,1,right,MISS D. DeRozan 21' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,21.76,Missed,,,,,,,,,,,,,,,,,,,
