actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-10T02:10:31.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-10T02:10:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT12M00.00S,2021-11-10T02:10:32.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2021-11-10T02:12:49Z,25000,,,0,,TEAM delay-of-game VIOLATION,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-10T02:10:33.3Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2021-11-10T02:10:33Z,40000,,,0,,Jump Ball R. Gobert vs. C. Capela: Tip to R. O'Neale,"[1626220, 203497, 203991]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-11-10T02:10:44.0Z,1,REGULAR,foul,personal,['2freethrow'],203524,,,1610612762,0,0,2021-11-10T02:10:50Z,70000,,,0,,S. Hill shooting personal FOUL (1 PF) (Gobert 2 FT),"[203524, 203497]",1610612737.0,ATL,shooting,,,Hill,S. Hill,,,,,1204.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,,,,
10,PT11M48.00S,2021-11-10T02:11:18.3Z,1,REGULAR,freethrow,1 of 2,[],203497,,,1610612762,1,0,2021-11-10T02:11:34Z,90000,,,0,,R. Gobert Free Throw 1 of 2 (1 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
11,PT11M48.00S,2021-11-10T02:11:18.3Z,1,REGULAR,freethrow,2 of 2,[],203497,,,1610612762,1,0,2021-11-10T02:11:34Z,100000,,,0,,MISS R. Gobert Free Throw 2 of 2,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,Missed,,,,,,,,,,,,,,
12,PT11M46.00S,2021-11-10T02:11:20.3Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,1,0,2021-11-10T02:11:34Z,110000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M23.00S,2021-11-10T02:11:54.3Z,1,REGULAR,3pt,Jump Shot,[],1629027,29.911300919842315,88.97058823529412,1610612737,1,0,2021-11-10T02:12:00Z,120000,-195.0,229.0,1,left,MISS T. Young 30' 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,Missed,,,,,,30.05,,,,,,,,
14,PT11M19.00S,2021-11-10T02:11:58.2Z,1,REGULAR,rebound,offensive,[],203524,,,1610612737,1,0,2021-11-10T02:11:58Z,130000,,,0,,S. Hill REBOUND (Off:1 Def:0),[203524],1610612737.0,ATL,,,,Hill,S. Hill,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,
15,PT11M16.00S,2021-11-10T02:12:01.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629027,8.886333771353483,59.068627450980394,1610612737,1,0,2021-11-10T02:12:06Z,140000,-45.0,31.0,1,left,MISS T. Young driving bank Shot,[1629027],1610612737.0,ATL,driving bank,,,Young,T. Young,,,,,,,,,,Missed,,,,,,5.49,,,,,,,,
