actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-01-22T02:10:53.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-22T02:10:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-22T02:10:55.9Z,1,REGULAR,jumpball,recovered,[],202711,,,1610612762,0,0,2022-01-22T02:10:56Z,40000,,,0,,Jump Ball R. Gobert vs. I. Stewart: Tip to B. Bogdanovic,"[202711, 203497, 1630191]",1610612762.0,UTA,startperiod,B. Bogdanovic,202711.0,Bogdanovic,B. Bogdanovic,Gobert,203497.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2022-01-22T02:11:09.5Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612762,0,0,2022-01-22T02:11:09Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-01-22T02:11:27.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,83.13074901445466,49.50980392156863,1610612762,2,0,2022-01-22T02:11:52Z,80000,-2.0,106.0,1,right,B. Bogdanovic 10' driving floating bank Jump Shot (2 PTS) (J. Ingles 1 AST),"[202711, 204060]",1610612762.0,UTA,driving floating bank,,,Bogdanovic,B. Bogdanovic,,,,,10.61,Made,2.0,J. Ingles,204060.0,1.0,,,,,,,,,,,,,,
10,PT11M17.00S,2022-01-22T02:11:52.3Z,1,REGULAR,2pt,Jump Shot,[],202709,21.107095926412615,65.93137254901961,1610612765,2,0,2022-01-22T02:11:57Z,100000,-80.0,146.0,1,left,MISS C. Joseph 16' pullup Shot,[202709],1610612765.0,DET,pullup,,,Joseph,C. Joseph,,,,,16.62,Missed,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2022-01-22T02:11:55.3Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,2,0,2022-01-22T02:11:57Z,110000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M11.00S,2022-01-22T02:11:58.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202711,73.53810775295663,83.33333333333334,1610612762,2,0,2022-01-22T02:13:52Z,120000,167.0,196.0,1,right,MISS B. Bogdanovic 25' running 3PT,[202711],1610612762.0,UTA,running,,,Bogdanovic,B. Bogdanovic,,,,,25.75,Missed,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2022-01-22T02:12:00.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,2,0,2022-01-22T02:12:10Z,130000,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,
14,PT11M09.00S,2022-01-22T02:12:03.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,2,0,2022-01-22T02:12:03Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M54.00S,2022-01-22T02:12:29.2Z,1,REGULAR,2pt,Jump Shot,[],1630595,15.982260183968464,26.715686274509803,1610612765,2,0,2022-01-22T02:14:21Z,160000,116.0,98.0,1,left,MISS C. Cunningham 15' pullup Shot - blocked,"[1630595, 203497]",1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,15.2,Missed,,,,,,,,,Gobert,203497.0,,,,,,,,
17,PT10M54.00S,2022-01-22T02:12:29.2Z,1,REGULAR,block,,[],203497,,,1610612765,2,0,2022-01-22T02:12:32Z,170000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
