actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-02T02:10:48.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-02T02:10:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-02T02:10:49.9Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2022-01-02T02:10:50Z,40000,,,0,,Jump Ball R. Gobert vs. K. Looney: Tip to R. O'Neale,"[1626220, 203497, 1626172]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-01-02T02:11:04.3Z,1,REGULAR,3pt,Jump Shot,[],202711,68.9388961892247,32.59803921568628,1610612762,0,0,2022-01-02T02:11:48Z,70000,-87.0,239.0,1,right,MISS B. Bogdanovic 25' pullup 3PT,[202711],1610612762.0,UTA,pullup,,,Bogdanovic,B. Bogdanovic,,,,,25.48,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-01-02T02:11:09.3Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2022-01-02T02:11:11Z,80000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-01-02T02:11:25.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203490,6.652431011826544,45.83333333333333,1610612744,0,2,2022-01-02T02:11:30Z,90000,21.0,10.0,1,left,O. Porter Jr. cutting Layup (2 PTS) (K. Looney 1 AST),"[203490, 1626172]",1610612744.0,GSW,cutting,,,Porter Jr.,O. Porter Jr.,,,,,2.31,Made,,,,,2.0,K. Looney,1626172.0,1.0,,,,,,,,,,
11,PT11M05.00S,2022-01-02T02:11:42.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,91.5407358738502,44.6078431372549,1610612762,0,2,2022-01-02T02:26:33Z,110000,-27.0,27.0,1,right,MISS D. Mitchell driving finger roll Layup,[1628378],1610612762.0,UTA,driving finger roll,,,Mitchell,D. Mitchell,,,,,3.82,Missed,,,,,,,,,,,,,,,,,,
12,PT11M01.00S,2022-01-02T02:11:46.6Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,0,2,2022-01-02T02:26:33Z,120000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M57.00S,2022-01-02T02:11:50.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627780,7.440867279894875,48.28431372549019,1610612744,0,4,2022-01-02T02:12:16Z,130000,9.0,17.0,1,left,G. Payton II running Layup (2 PTS) (S. Curry 1 AST),"[1627780, 201939]",1610612744.0,GSW,running,,,Payton II,G. Payton II,,,,,1.94,Made,,,,,2.0,S. Curry,201939.0,1.0,,,,,,,,,,
15,PT10M38.00S,2022-01-02T02:12:08.2Z,1,REGULAR,3pt,Jump Shot,[],201144,72.22404730617609,83.08823529411765,1610612762,0,4,2022-01-02T02:12:13Z,150000,165.0,209.0,1,right,MISS M. Conley 26' 3PT,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,26.62,Missed,,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2022-01-02T02:12:11.2Z,1,REGULAR,rebound,defensive,[],203490,,,1610612744,0,4,2022-01-02T02:12:13Z,160000,,,0,,O. Porter Jr. REBOUND (Off:0 Def:1),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
