actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-13T02:10:30.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-13T02:10:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-13T02:10:35.6Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612762,0,0,2022-03-13T02:10:35Z,40000,,,0,,Jump Ball H. Whiteside vs. D. Jones: Tip to D. Mitchell,"[1628378, 202355, 1627745]",1610612762.0,UTA,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Whiteside,202355.0,Jones,1627745.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-03-13T02:10:44.1Z,1,REGULAR,3pt,Jump Shot,[],202711,69.07030223390277,26.47058823529412,1610612762,0,0,2022-03-13T02:10:50Z,70000,-118.0,238.0,1,right,MISS B. Bogdanovic 26' 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,26.56,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-03-13T02:10:47.5Z,1,REGULAR,rebound,offensive,[],1627863,,,1610612762,0,0,2022-03-13T02:10:47Z,80000,,,0,,D. House Jr. REBOUND (Off:1 Def:0),[1627863],1610612762.0,UTA,,,,House Jr.,D. House Jr.,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M41.00S,2022-03-13T02:10:49.0Z,1,REGULAR,turnover,bad pass,[],202711,,,1610612762,0,0,2022-03-13T02:10:53Z,90000,,,0,,B. Bogdanovic bad pass TURNOVER (1 TO),"[202711, 1628368]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,1.0,Fox,1628368.0,,,,,,,,,,,
10,PT11M41.00S,2022-03-13T02:10:49.0Z,1,REGULAR,steal,,[],1628368,,,1610612758,0,0,2022-03-13T02:10:50Z,100000,,,0,,D. Fox STEAL (1 STL),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2022-03-13T02:10:59.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628368,22.552562417871222,52.69607843137255,1610612758,0,2,2022-03-13T02:12:58Z,110000,-13.0,159.0,1,left,D. Fox 16' pullup Jump Shot (2 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,16.01,Made,,,,,,,,2.0,,,,,,,,,,
12,PT11M06.00S,2022-03-13T02:11:23.1Z,1,REGULAR,3pt,Jump Shot,[],1628378,66.73784494086729,68.61213235294117,1610612762,0,2,2022-03-13T02:15:51Z,120000,93.0,260.0,1,right,MISS D. Mitchell 27' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,27.64,Missed,,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2022-03-13T02:11:24.1Z,1,REGULAR,rebound,offensive,[],202355,,,1610612762,0,2,2022-03-13T02:11:30Z,130000,,,0,,H. Whiteside REBOUND (Off:1 Def:0),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M05.00S,2022-03-13T02:11:27.4Z,1,REGULAR,foul,personal,['2freethrow'],203200,,,1610612762,0,2,2022-03-13T02:11:39Z,140000,,,0,,J. Holiday shooting personal FOUL (1 PF) (Whiteside 2 FT),"[203200, 202355]",1610612758.0,SAC,shooting,,,Holiday,J. Holiday,,,,,,,,,,,,,,,1628159.0,1.0,0.0,Whiteside,202355.0,,,,,
16,PT11M05.00S,2022-03-13T02:11:50.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202355,,,1610612762,0,2,2022-03-13T02:12:06Z,160000,,,0,,MISS H. Whiteside Free Throw 1 of 2,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,Missed,,,,,,,,,,,,,,,,,,
17,PT11M05.00S,2022-03-13T02:11:50.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612762,0,2,2022-03-13T02:12:06Z,170000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,
18,PT11M05.00S,2022-03-13T02:11:50.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202355,,,1610612762,0,2,2022-03-13T02:12:06Z,180000,,,0,,MISS H. Whiteside Free Throw 2 of 2,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,Missed,,,,,,,,,,,,,,,,,,
19,PT11M03.00S,2022-03-13T02:11:52.0Z,1,REGULAR,rebound,defensive,[],1627745,,,1610612758,0,2,2022-03-13T02:12:06Z,190000,,,0,,D. Jones REBOUND (Off:0 Def:1),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M53.00S,2022-03-13T02:12:15.5Z,1,REGULAR,3pt,Jump Shot,[],1628368,30.962549277266753,65.68627450980392,1610612758,0,2,2022-03-13T02:12:22Z,200000,-78.0,239.0,1,left,MISS D. Fox 25' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,25.11,Missed,,,,,,,,,,,,,,,,,,
21,PT10M50.00S,2022-03-13T02:12:18.5Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,0,2,2022-03-13T02:12:22Z,210000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M31.00S,2022-03-13T02:12:37.4Z,1,REGULAR,3pt,Jump Shot,[],1628378,71.93454336399475,22.28094362745098,1610612762,0,2,2022-03-13T02:17:15Z,220000,-139.0,211.0,1,right,MISS D. Mitchell 25' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,
23,PT10M27.00S,2022-03-13T02:12:41.4Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,0,2,2022-03-13T02:12:43Z,230000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT10M08.00S,2022-03-13T02:13:00.2Z,1,REGULAR,2pt,Jump Shot,[],203084,14.0604467805519,31.839767156862735,1610612758,0,4,2022-03-13T02:18:16Z,240000,91.0,80.0,1,left,H. Barnes 12' step back Jump Shot (2 PTS) (D. Fox 1 AST),"[203084, 1628368]",1610612758.0,SAC,step back,,,Barnes,H. Barnes,,,,,12.08,Made,,,,,,,,2.0,,,,,,D. Fox,1628368.0,1.0,,
26,PT09M46.00S,2022-03-13T02:13:23.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,86.5473061760841,37.745098039215684,1610612762,2,4,2022-03-13T02:13:27Z,260000,-61.0,74.0,1,right,D. Mitchell 9' floating Jump Shot (2 PTS),[1628378],1610612762.0,UTA,floating,,,Mitchell,D. Mitchell,,,,,9.61,Made,,,,,,,,2.0,,,,,,,,,,
27,PT09M34.00S,2022-03-13T02:13:36.3Z,1,REGULAR,foul,personal,['2freethrow'],202355,,,1610612758,2,4,2022-03-13T02:13:41Z,270000,,,0,,H. Whiteside shooting personal FOUL (1 PF) (Jones 2 FT),"[202355, 1627745]",1610612762.0,UTA,shooting,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,1148.0,1.0,0.0,Jones,1627745.0,,,,,
29,PT09M34.00S,2022-03-13T02:14:00.4Z,1,REGULAR,freethrow,1 of 2,[],1627745,,,1610612758,2,5,2022-03-13T02:14:00Z,290000,,,0,,D. Jones Free Throw 1 of 2 (1 PTS),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
30,PT09M34.00S,2022-03-13T02:14:14.6Z,1,REGULAR,freethrow,2 of 2,[],1627745,,,1610612758,2,6,2022-03-13T02:14:14Z,300000,,,0,,D. Jones Free Throw 2 of 2 (2 PTS),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
31,PT09M22.00S,2022-03-13T02:14:29.7Z,1,REGULAR,3pt,Jump Shot,[],1627863,77.79237844940867,10.271139705882348,1610612762,2,6,2022-03-13T02:20:03Z,310000,-199.0,156.0,1,right,MISS D. House Jr. 25' 3PT,[1627863],1610612762.0,UTA,,,,House Jr.,D. House Jr.,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,
32,PT09M18.00S,2022-03-13T02:14:33.7Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612758,2,6,2022-03-13T02:14:34Z,320000,,,0,,T. Lyles REBOUND (Off:0 Def:1),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT09M10.00S,2022-03-13T02:14:41.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,7.440867279894875,53.92156862745098,1610612758,2,6,2022-03-13T02:14:53Z,330000,-20.0,17.0,1,left,MISS H. Barnes driving Layup - blocked,"[203084, 202355]",1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,2.62,Missed,,,,,,,,,,,,,,,,,Whiteside,202355.0
34,PT09M10.00S,2022-03-13T02:14:41.8Z,1,REGULAR,block,,[],202355,,,1610612758,2,6,2022-03-13T02:14:44Z,340000,,,0,,H. Whiteside BLOCK (1 BLK),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M07.00S,2022-03-13T02:14:44.8Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,2,6,2022-03-13T02:14:53Z,350000,,,0,,R. O'Neale REBOUND (Off:0 Def:2),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,,
36,PT09M06.00S,2022-03-13T02:14:46.7Z,1,REGULAR,foul,personal,['2freethrow'],1628368,,,1610612762,2,6,2022-03-13T02:14:51Z,360000,,,0,,D. Fox shooting personal FOUL (1 PF) (Bogdanovic 2 FT),"[1628368, 202711]",1610612758.0,SAC,shooting,,,Fox,D. Fox,,,,,,,,,,,,,,,1148.0,1.0,0.0,Bogdanovic,202711.0,,,,,
38,PT09M06.00S,2022-03-13T02:15:16.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],202711,,,1610612762,3,6,2022-03-13T02:22:13Z,380000,,,0,,B. Bogdanovic Free Throw 1 of 2 (1 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
39,PT09M06.00S,2022-03-13T02:15:16.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],202711,,,1610612762,4,6,2022-03-13T02:22:13Z,390000,,,0,,B. Bogdanovic Free Throw 2 of 2 (2 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
40,PT08M58.00S,2022-03-13T02:15:41.7Z,1,REGULAR,3pt,Jump Shot,[],203200,25.969119579500656,82.59803921568627,1610612758,4,9,2022-03-13T02:15:48Z,400000,-163.0,192.0,1,left,J. Holiday 25' 3PT  (3 PTS) (D. Fox 2 AST),"[203200, 1628368]",1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,25.16,Made,,,,,,,,3.0,,,,,,D. Fox,1628368.0,2.0,,
42,PT08M46.00S,2022-03-13T02:15:53.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,92.85479632063075,53.18627450980392,1610612762,6,9,2022-03-13T02:16:00Z,420000,16.0,15.0,1,right,D. Mitchell driving Layup (4 PTS),[1628378],1610612762.0,UTA,driving,,,Mitchell,D. Mitchell,,,,,2.17,Made,,,,,,,,4.0,,,,,,,,,,
43,PT08M37.00S,2022-03-13T02:16:02.3Z,1,REGULAR,3pt,Jump Shot,[],1628368,27.808804204993432,75.98039215686273,1610612758,6,12,2022-03-13T02:23:50Z,430000,-130.0,209.0,1,left,D. Fox 24' 3PT pullup (5 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,24.6,Made,,,,,,,,5.0,,,,,,,,,,
