actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-11-17T03:06:49.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-17T03:06:49Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-17T03:06:51.6Z,1,REGULAR,jumpball,recovered,[],203552,,,1610612755,0,0,2021-11-17T03:06:51Z,40000,,,0,,Jump Ball A. Drummond vs. R. Gobert: Tip to S. Curry,"[203552, 203083, 203497]",1610612755.0,PHI,startperiod,S. Curry,203552.0,Curry,S. Curry,Drummond,203083.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-11-17T03:07:06.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203083,11.251642575558476,48.77450980392157,1610612755,0,2,2021-11-17T03:07:12Z,70000,6.0,53.0,1,left,A. Drummond turnaround Jump Shot (2 PTS),[203083],1610612755.0,PHI,turnaround,,,Drummond,A. Drummond,,,,,5.36,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2021-11-17T03:07:19.7Z,1,REGULAR,foul,personal,[],203552,,,1610612762,0,2,2021-11-17T03:07:27Z,80000,,,0,,S. Curry personal FOUL (1 PF),"[203552, 1626220]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,1162.0,1.0,0.0,O'Neale,1626220.0,,,,,,,,,,,,
10,PT11M25.00S,2021-11-17T03:07:41.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201144,91.80354796320631,60.29411764705882,1610612762,2,2,2021-11-17T03:07:51Z,100000,51.0,25.0,1,right,M. Conley driving Layup (2 PTS),[201144],1610612762.0,UTA,driving,,,Conley,M. Conley,,,,,5.7,Made,2.0,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2021-11-17T03:07:53.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629003,18.873193166885677,45.83333333333333,1610612755,2,4,2021-11-17T03:07:59Z,110000,21.0,125.0,1,left,S. Milton 12' floating Jump Shot (2 PTS) (A. Drummond 1 AST),"[1629003, 203083]",1610612755.0,PHI,floating,,,Milton,S. Milton,,,,,12.66,Made,2.0,,,,,,A. Drummond,203083.0,1.0,,,,,,,,,
12,PT10M55.00S,2021-11-17T03:08:10.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,92.06636005256242,38.48039215686275,1610612762,4,4,2021-11-17T03:08:16Z,120000,-58.0,22.0,1,right,D. Mitchell 6' Layup (2 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,6.17,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M31.00S,2021-11-17T03:08:34.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,5.601182654402102,54.166666666666664,1610612755,4,4,2021-11-17T03:08:43Z,130000,-21.0,0.0,1,left,MISS T. Harris reverse Layup - blocked,"[202699, 203497]",1610612755.0,PHI,reverse,,,Harris,T. Harris,,,,,2.08,Missed,,,,,,,,,,Gobert,203497.0,,,,,,,
14,PT10M31.00S,2021-11-17T03:08:34.5Z,1,REGULAR,block,,[],203497,,,1610612755,4,4,2021-11-17T03:08:36Z,140000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M29.00S,2021-11-17T03:08:36.5Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,4,4,2021-11-17T03:08:43Z,150000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,
16,PT10M16.00S,2021-11-17T03:08:49.6Z,1,REGULAR,3pt,Jump Shot,[],202711,67.88764783180025,68.13725490196079,1610612762,4,4,2021-11-17T03:08:54Z,160000,91.0,249.0,1,right,MISS B. Bogdanovic 26' 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,26.54,Missed,,,,,,,,,,,,,,,,,,
17,PT10M14.00S,2021-11-17T03:08:51.6Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,4,4,2021-11-17T03:08:54Z,170000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,
18,PT09M56.00S,2021-11-17T03:09:10.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629003,6.389618922470433,57.107843137254896,1610612755,4,6,2021-11-17T03:09:16Z,180000,-36.0,8.0,1,left,S. Milton driving Layup (4 PTS),[1629003],1610612755.0,PHI,driving,,,Milton,S. Milton,,,,,3.63,Made,4.0,,,,,,,,,,,,,,,,,
19,PT09M49.00S,2021-11-17T03:09:17.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,92.32917214191852,54.65686274509803,1610612762,6,6,2021-11-17T03:10:21Z,190000,23.0,20.0,1,right,D. Mitchell running Layup (4 PTS),[1628378],1610612762.0,UTA,running,,,Mitchell,D. Mitchell,,,,,3.04,Made,4.0,,,,,,,,,,,,,,,,,
20,PT09M26.00S,2021-11-17T03:09:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,6.1268068331143235,55.88235294117647,1610612755,6,8,2021-11-17T03:09:46Z,200000,-29.0,5.0,1,left,T. Harris driving Layup (2 PTS) (S. Milton 1 AST),"[202699, 1629003]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,2.98,Made,2.0,,,,,,S. Milton,1629003.0,1.0,,,,,,,,,
21,PT09M09.00S,2021-11-17T03:09:56.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,91.93495400788436,53.431372549019606,1610612762,8,8,2021-11-17T03:10:02Z,210000,17.0,23.0,1,right,R. Gobert cutting DUNK (2 PTS) (B. Bogdanovic 1 AST),"[203497, 202711]",1610612762.0,UTA,cutting,,,Gobert,R. Gobert,,,,,2.9,Made,2.0,,,,,,B. Bogdanovic,202711.0,1.0,,,,,,,,,
23,PT08M55.00S,2021-11-17T03:10:10.6Z,1,REGULAR,2pt,Jump Shot,[],1630178,25.18068331143233,53.431372549019606,1610612755,8,8,2021-11-17T03:10:18Z,230000,-17.0,184.0,1,left,MISS T. Maxey 18' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,18.5,Missed,,,,,,,,,,,,,,,,,,
24,PT08M51.00S,2021-11-17T03:10:14.6Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,8,8,2021-11-17T03:10:18Z,240000,,,0,,R. O'Neale REBOUND (Off:0 Def:2),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,23.0,2.0,2.0,0.0,,,
25,PT08M46.00S,2021-11-17T03:10:20.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626220,69.46452036793693,76.9607843137255,1610612762,8,8,2021-11-17T03:10:26Z,250000,135.0,235.0,1,right,MISS R. O'Neale 27' 3PT,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,27.05,Missed,,,,,,,,,,,,,,,,,,
26,PT08M43.00S,2021-11-17T03:10:22.5Z,1,REGULAR,rebound,offensive,[],201144,,,1610612762,8,8,2021-11-17T03:10:22Z,260000,,,0,,M. Conley REBOUND (Off:1 Def:0),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,25.0,1.0,0.0,1.0,,,
27,PT08M42.00S,2021-11-17T03:10:24.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201144,82.7365308804205,44.6078431372549,1610612762,10,8,2021-11-17T03:10:31Z,270000,-27.0,110.0,1,right,M. Conley 11' floating Jump Shot (4 PTS),[201144],1610612762.0,UTA,floating,,,Conley,M. Conley,,,,,11.31,Made,4.0,,,,,,,,,,,,,,,,,
28,PT08M24.00S,2021-11-17T03:10:41.9Z,1,REGULAR,2pt,Jump Shot,[],203552,24.392247043363994,56.61764705882353,1610612755,10,8,2021-11-17T03:12:06Z,280000,-33.0,177.0,1,left,MISS S. Curry 17' pullup Shot,[203552],1610612755.0,PHI,pullup,,,Curry,S. Curry,,,,,17.99,Missed,,,,,,,,,,,,,,,,,,
29,PT08M22.00S,2021-11-17T03:10:43.9Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612762,10,8,2021-11-17T03:10:46Z,290000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,
30,PT08M17.00S,2021-11-17T03:10:48.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628378,92.85479632063075,44.6078431372549,1610612762,10,8,2021-11-17T03:10:57Z,300000,-27.0,15.0,1,right,MISS D. Mitchell running Layup,[1628378],1610612762.0,UTA,running,,,Mitchell,D. Mitchell,,,,,3.07,Missed,,,,,,,,,,,,,,,,,,
31,PT08M15.00S,2021-11-17T03:10:50.5Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,10,8,2021-11-17T03:10:57Z,310000,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,30.0,2.0,2.0,0.0,,,
32,PT08M04.00S,2021-11-17T03:11:01.3Z,1,REGULAR,2pt,Jump Shot,[],1629003,15.062417871222076,70.34313725490196,1610612755,10,8,2021-11-17T03:11:08Z,320000,-102.0,89.0,1,left,MISS S. Milton 13' pullup Shot,[1629003],1610612755.0,PHI,pullup,,,Milton,S. Milton,,,,,13.52,Missed,,,,,,,,,,,,,,,,,,
33,PT08M03.00S,2021-11-17T03:11:02.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,10,8,2021-11-17T03:11:08Z,330000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,32.0,1.0,1.0,0.0,,,
34,PT07M56.00S,2021-11-17T03:11:13.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,89.30683311432325,63.48039215686274,1610612762,12,8,2021-11-17T03:11:18Z,340000,67.0,48.0,1,right,D. Mitchell 8' driving bank Jump Shot (6 PTS),[1628378],1610612762.0,UTA,driving bank,,,Mitchell,D. Mitchell,,,,,8.27,Made,6.0,,,,,,,,,,,,,,,,,
35,PT07M56.00S,2021-11-17T03:11:15.5Z,1,REGULAR,foul,personal,['1freethrow'],1629003,,,1610612762,12,8,2021-11-17T03:12:01Z,350000,,,0,,S. Milton shooting personal FOUL (1 PF) (Mitchell 1 FT),"[1629003, 1628378]",1610612755.0,PHI,shooting,,,Milton,S. Milton,,,,,,,,201246.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,,,,
37,PT07M56.00S,2021-11-17T03:11:54.6Z,1,REGULAR,freethrow,1 of 1,[],1628378,,,1610612762,12,8,2021-11-17T03:11:57Z,370000,,,0,,MISS D. Mitchell Free Throw 1 of 1,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,Missed,,,,,,,,,,,,,,,,,,
38,PT07M54.00S,2021-11-17T03:11:56.6Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,12,8,2021-11-17T03:11:57Z,380000,,,0,,A. Drummond REBOUND (Off:0 Def:3),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,37.0,3.0,3.0,0.0,,,
39,PT07M34.00S,2021-11-17T03:12:16.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203083,9.543363994743759,48.77450980392157,1610612755,12,8,2021-11-17T03:12:22Z,390000,6.0,37.0,1,left,MISS A. Drummond Hook - blocked,"[203083, 203497]",1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,3.77,Missed,,,,,,,,,,Gobert,203497.0,,,,,,,
40,PT07M34.00S,2021-11-17T03:12:16.7Z,1,REGULAR,block,,[],203497,,,1610612755,12,8,2021-11-17T03:12:18Z,400000,,,0,,R. Gobert BLOCK (2 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
41,PT07M31.00S,2021-11-17T03:12:19.7Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,12,8,2021-11-17T03:12:22Z,410000,,,0,,A. Drummond REBOUND (Off:1 Def:3),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,39.0,4.0,3.0,1.0,,,
42,PT07M28.00S,2021-11-17T03:12:22.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203083,10.33180026281209,50.98039215686274,1610612755,12,8,2021-11-17T03:12:26Z,420000,-5.0,45.0,1,left,MISS A. Drummond Hook,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,4.49,Missed,,,,,,,,,,,,,,,,,,
43,PT07M26.00S,2021-11-17T03:12:23.9Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,12,8,2021-11-17T03:12:23Z,430000,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,42.0,2.0,2.0,0.0,,,
44,PT07M22.00S,2021-11-17T03:12:27.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628378,92.72339027595268,53.92156862745098,1610612762,12,8,2021-11-17T03:12:34Z,440000,20.0,16.0,1,right,MISS D. Mitchell Layup - blocked,"[1628378, 202699]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,2.52,Missed,,,,,,,,,,Harris,202699.0,,,,,,,
45,PT07M22.00S,2021-11-17T03:12:27.7Z,1,REGULAR,block,,[],202699,,,1610612762,12,8,2021-11-17T03:12:29Z,450000,,,0,,T. Harris BLOCK (1 BLK),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M20.00S,2021-11-17T03:12:29.7Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,12,8,2021-11-17T03:15:02Z,460000,,,0,,A. Drummond REBOUND (Off:1 Def:4),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,44.0,5.0,4.0,1.0,,,
47,PT07M17.00S,2021-11-17T03:12:59.3Z,1,REGULAR,jumpball,recovered,[],203497,,,1610612755,12,8,2021-11-17T03:12:59Z,470000,,,0,,Jump Ball R. O'Neale vs. S. Curry: Tip to R. Gobert,"[203497, 1626220, 203552]",1610612762.0,UTA,unclearpass,R. Gobert,203497.0,Gobert,R. Gobert,O'Neale,1626220.0,Curry,203552.0,,,,,,,,,,,,,,,,,,,,
50,PT07M17.00S,2021-11-17T03:12:59.3Z,1,REGULAR,turnover,lost ball,[],203552,,,1610612755,12,8,2021-11-17T03:12:59Z,500000,,,0,,S. Curry lost ball TURNOVER (1 TO),"[203552, 1626220]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,1.0,O'Neale,1626220.0
