actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
51,PT07M17.00S,2021-11-17T03:12:59.3Z,1,REGULAR,steal,,[],1626220,,,1610612762,12,8,2021-11-17T03:12:59Z,510000,,,0,,R. O'Neale STEAL (1 STL),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M08.00S,2021-11-17T03:13:07.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201144,66.70499342969777,23.774509803921568,1610612762,12,8,2021-11-17T03:13:12Z,520000,-131.0,260.0,1,right,MISS M. Conley 29' 3PT,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,29.16,Missed,,,,,,,,,,,,,,,,,,
53,PT07M05.00S,2021-11-17T03:13:10.8Z,1,REGULAR,rebound,defensive,[],1629003,,,1610612755,12,8,2021-11-17T03:13:12Z,530000,,,0,,S. Milton REBOUND (Off:0 Def:1),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,52.0,1.0,1.0,0.0,,,
54,PT06M59.00S,2021-11-17T03:13:15.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629003,13.222733245729303,40.68627450980392,1610612755,12,8,2021-11-17T03:13:24Z,540000,47.0,72.0,1,left,MISS S. Milton 8' Layup - blocked,"[1629003, 1628378]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,8.56,Missed,,,,,,,,,,Mitchell,1628378.0,,,,,,,
55,PT06M59.00S,2021-11-17T03:13:15.8Z,1,REGULAR,block,,[],1628378,,,1610612755,12,8,2021-11-17T03:13:17Z,550000,,,0,,D. Mitchell BLOCK (1 BLK),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M55.00S,2021-11-17T03:13:19.8Z,1,REGULAR,rebound,defensive,[],201144,,,1610612762,12,8,2021-11-17T03:13:24Z,560000,,,0,,M. Conley REBOUND (Off:1 Def:1),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,54.0,2.0,1.0,1.0,,,
57,PT06M54.00S,2021-11-17T03:13:21.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202711,94.69448094612353,3.1862745098039214,1610612762,15,8,2021-11-17T03:13:29Z,570000,-234.0,-3.0,1,right,B. Bogdanovic 3PT  (3 PTS) (M. Conley 1 AST),"[202711, 201144]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,23.41,Made,3.0,,,,,,M. Conley,201144.0,1.0,,,,,,,,,
59,PT06M53.00S,2021-11-17T03:13:27.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,15,8,2021-11-17T03:13:27Z,590000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M53.00S,2021-11-17T03:16:26.4Z,1,REGULAR,substitution,out,[],201144,,,1610612755,15,8,2021-11-17T03:16:30Z,600000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M53.00S,2021-11-17T03:16:26.4Z,1,REGULAR,substitution,out,[],203497,,,1610612755,15,8,2021-11-17T03:16:30Z,610000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M53.00S,2021-11-17T03:16:26.4Z,1,REGULAR,substitution,in,[],202355,,,1610612755,15,8,2021-11-17T03:16:30Z,620000,,,0,,SUB in: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M53.00S,2021-11-17T03:16:26.4Z,1,REGULAR,substitution,in,[],204060,,,1610612755,15,8,2021-11-17T03:16:30Z,630000,,,0,,SUB in: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M37.00S,2021-11-17T03:17:09.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203552,10.33180026281209,38.72549019607843,1610612755,15,8,2021-11-17T03:17:15Z,640000,56.0,45.0,1,left,MISS S. Curry 7' floating Shot - blocked,"[203552, 202355]",1610612755.0,PHI,floating,,,Curry,S. Curry,,,,,7.19,Missed,,,,,,,,,,Whiteside,202355.0,,,,,,,
67,PT06M37.00S,2021-11-17T03:17:09.8Z,1,REGULAR,block,,[],202355,,,1610612755,15,8,2021-11-17T03:17:12Z,650000,,,0,,H. Whiteside BLOCK (1 BLK),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M34.00S,2021-11-17T03:17:12.8Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,15,8,2021-11-17T03:17:15Z,660000,,,0,,R. O'Neale REBOUND (Off:0 Def:3),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,66.0,3.0,3.0,0.0,,,
69,PT06M28.00S,2021-11-17T03:17:18.7Z,1,REGULAR,turnover,bad pass,[],1626220,,,1610612762,15,8,2021-11-17T03:17:22Z,670000,,,0,,R. O'Neale bad pass TURNOVER (1 TO),"[1626220, 203552]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,1.0,Curry,203552.0
70,PT06M28.00S,2021-11-17T03:17:18.7Z,1,REGULAR,steal,,[],203552,,,1610612755,15,8,2021-11-17T03:17:20Z,680000,,,0,,S. Curry STEAL (1 STL),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M25.00S,2021-11-17T03:17:21.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203552,28.33442838370565,23.284313725490197,1610612755,15,8,2021-11-17T03:18:15Z,690000,134.0,214.0,1,left,MISS S. Curry 25' running pullup 3PT,[203552],1610612755.0,PHI,running pullup,,,Curry,S. Curry,,,,,25.21,Missed,,,,,,,,,,,,,,,,,,
72,PT06M23.00S,2021-11-17T03:17:23.6Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612762,15,8,2021-11-17T03:17:30Z,700000,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,71.0,2.0,2.0,0.0,,,
73,PT06M15.00S,2021-11-17T03:17:31.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202711,93.24901445466492,54.166666666666664,1610612762,17,8,2021-11-17T03:17:43Z,710000,21.0,11.0,1,right,B. Bogdanovic Layup (5 PTS) (D. Mitchell 1 AST),"[202711, 1628378]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,2.35,Made,5.0,,,,,,D. Mitchell,1628378.0,1.0,,,,,,,,,
75,PT06M03.00S,2021-11-17T03:17:43.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203083,5.338370565045992,51.9607843137255,1610612755,17,10,2021-11-17T03:17:50Z,730000,-10.0,-2.0,1,left,A. Drummond alley-oop DUNK (4 PTS) (T. Harris 1 AST),"[203083, 202699]",1610612755.0,PHI,alley-oop,,,Drummond,A. Drummond,,,,,1.01,Made,4.0,,,,,,T. Harris,202699.0,1.0,,,,,,,,,
77,PT05M56.00S,2021-11-17T03:17:50.5Z,1,REGULAR,3pt,Jump Shot,[],204060,85.89027595269383,95.83333333333334,1610612762,17,10,2021-11-17T03:17:55Z,750000,229.0,80.0,1,right,MISS J. Ingles 24' 3PT,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,24.28,Missed,,,,,,,,,,,,,,,,,,
78,PT05M54.00S,2021-11-17T03:17:52.5Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,17,10,2021-11-17T03:17:55Z,760000,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,77.0,1.0,1.0,0.0,,,
79,PT05M48.00S,2021-11-17T03:17:57.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,33.196452036793694,28.431372549019606,1610612755,17,13,2021-11-17T03:18:11Z,770000,108.0,260.0,1,left,T. Maxey 28' 3PT pullup (3 PTS),[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,28.1,Made,3.0,,,,,,,,,,,,,,,,,
80,PT05M18.00S,2021-11-17T03:18:28.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202355,92.19776609724047,49.26470588235294,1610612762,19,13,2021-11-17T03:18:33Z,780000,-4.0,21.0,1,right,H. Whiteside DUNK (2 PTS) (B. Bogdanovic 2 AST),"[202355, 202711]",1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,2.11,Made,2.0,,,,,,B. Bogdanovic,202711.0,2.0,,,,,,,,,
82,PT05M04.00S,2021-11-17T03:18:42.3Z,1,REGULAR,turnover,bad pass,[],203083,,,1610612755,19,13,2021-11-17T03:18:47Z,800000,,,0,,A. Drummond bad pass TURNOVER (1 TO),"[203083, 1628378]",1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,1.0,Mitchell,1628378.0
83,PT05M04.00S,2021-11-17T03:18:42.3Z,1,REGULAR,steal,,[],1628378,,,1610612762,19,13,2021-11-17T03:18:45Z,810000,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M58.00S,2021-11-17T03:18:48.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202355,85.62746386333771,50.73529411764706,1610612762,21,13,2021-11-17T03:18:52Z,820000,4.0,83.0,1,right,H. Whiteside 8' floating Jump Shot (4 PTS) (J. Ingles 1 AST),"[202355, 204060]",1610612762.0,UTA,floating,,,Whiteside,H. Whiteside,,,,,8.27,Made,4.0,,,,,,J. Ingles,204060.0,1.0,,,,,,,,,
86,PT04M39.00S,2021-11-17T03:19:07.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629003,14.14257555847569,47.794117647058826,1610612755,21,13,2021-11-17T03:19:12Z,840000,11.0,80.0,1,left,MISS S. Milton 8' turnaround fadeaway Shot,[1629003],1610612755.0,PHI,turnaround fadeaway,,,Milton,S. Milton,,,,,8.11,Missed,,,,,,,,,,,,,,,,,,
87,PT04M36.00S,2021-11-17T03:19:10.0Z,1,REGULAR,rebound,defensive,[],202355,,,1610612762,21,13,2021-11-17T03:19:12Z,850000,,,0,,H. Whiteside REBOUND (Off:0 Def:1),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,86.0,1.0,1.0,0.0,,,
