actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,shotActionNumber,turnoverTotal,shotDistance,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-04-01T02:02:57.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-01T02:02:57Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-04-01T02:03:01.7Z,1,REGULAR,jumpball,recovered,[],2772,,,1610612747,0,0,2022-04-01T02:03:01Z,40000,,,0,,Jump Ball D. Howard vs. R. Gobert: Tip to T. Ariza,"[2772, 2730, 203497]",1610612747.0,LAL,startperiod,T. Ariza,2772.0,Ariza,T. Ariza,Howard,2730.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-04-01T02:03:20.2Z,1,REGULAR,foul,technical,['1freethrow'],203497,,,1610612747,0,0,2022-04-01T02:03:26Z,70000,,,0,,R. Gobert defensive-3-second technical FOUL (1 Tech),[203497],1610612762.0,UTA,defensive-3-second,,,Gobert,R. Gobert,,,,,2715.0,0.0,1.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-04-01T02:03:37.0Z,1,REGULAR,freethrow,1 of 1,[],201566,,,1610612747,0,0,2022-04-01T02:03:37Z,80000,,,0,,MISS R. Westbrook technical Free Throw 1 of 1,[201566],1610612747.0,LAL,technical,,,Westbrook,R. Westbrook,,,,,,,,Missed,,,,,,,,,,,,,,,,
9,PT11M43.00S,2022-04-01T02:03:37.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,0,0,2022-04-01T02:03:37Z,90000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,
10,PT11M37.00S,2022-04-01T02:03:57.0Z,1,REGULAR,turnover,out-of-bounds,[],201566,,,1610612747,0,0,2022-04-01T02:04:05Z,100000,,,0,,R. Westbrook lost ball out-of-bounds TURNOVER (1 TO),[201566],1610612747.0,LAL,lost ball,,,Westbrook,R. Westbrook,,,,,2715.0,,,,,1.0,,,,,,,,,,,,,,
11,PT11M26.00S,2022-04-01T02:04:15.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628378,92.06636005256242,54.65686274509803,1610612762,2,0,2022-04-01T02:04:20Z,110000,23.0,22.0,1,right,D. Mitchell driving Layup (2 PTS) (B. Bogdanovic 1 AST),"[1628378, 202711]",1610612762.0,UTA,driving,,,Mitchell,D. Mitchell,,,,,,,,Made,,,3.21,2.0,B. Bogdanovic,202711.0,1.0,,,,,,,,,
13,PT11M09.00S,2022-04-01T02:04:32.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2730,6.783837056504599,53.431372549019606,1610612747,2,2,2022-04-01T02:04:38Z,130000,-17.0,11.0,1,left,D. Howard Layup (2 PTS) (R. Westbrook 1 AST),"[2730, 201566]",1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,Made,,,2.06,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,
15,PT10M53.00S,2022-04-01T02:04:48.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,92.32917214191852,49.50980392156863,1610612762,4,2,2022-04-01T02:04:52Z,150000,-2.0,20.0,1,right,R. Gobert Layup (2 PTS) (B. Bogdanovic 2 AST),"[203497, 202711]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,Made,,,1.98,2.0,B. Bogdanovic,202711.0,2.0,,,,,,,,,
17,PT10M35.00S,2022-04-01T02:05:06.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,6.389618922470433,41.911764705882355,1610612747,4,2,2022-04-01T02:05:10Z,170000,40.0,8.0,1,left,MISS R. Westbrook Layup,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,Missed,,,4.11,,,,,,,,,,,,,
