actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-12-24T02:10:04.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-24T02:10:04Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-24T02:10:08.2Z,1,REGULAR,jumpball,recovered,[],202711,,,1610612762,0,0,2021-12-24T02:10:08Z,40000,,,0,,Jump Ball R. Gobert vs. N. Reid: Tip to B. Bogdanovic,"[202711, 203497, 1629675]",1610612762.0,UTA,startperiod,B. Bogdanovic,202711.0,Bogdanovic,B. Bogdanovic,Gobert,203497.0,Reid,1629675.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-12-24T02:10:28.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203497,90.22667542706965,47.549019607843135,1610612762,0,0,2021-12-24T02:10:32Z,70000,-12.0,39.0,1,right,MISS R. Gobert Jump Shot - blocked,"[203497, 1629675]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,4.13,Missed,Reid,1629675.0,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2021-12-24T02:10:28.4Z,1,REGULAR,block,,[],1629675,,,1610612762,0,0,2021-12-24T02:10:30Z,80000,,,0,,N. Reid BLOCK (1 BLK),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2021-12-24T02:10:30.4Z,1,REGULAR,rebound,defensive,[],1627774,,,1610612750,0,0,2021-12-24T02:23:18Z,90000,,,0,,J. Layman REBOUND (Off:0 Def:1),[1627774],1610612750.0,MIN,,,,Layman,J. Layman,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M30.00S,2021-12-24T02:10:33.8Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612750,0,0,2021-12-24T02:10:38Z,100000,,,0,,D. Russell bad pass TURNOVER (1 TO),"[1626156, 1626220]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,1.0,O'Neale,1626220.0,,,,,,,,,,
11,PT11M30.00S,2021-12-24T02:10:33.8Z,1,REGULAR,steal,,[],1626220,,,1610612762,0,0,2021-12-24T02:10:35Z,110000,,,0,,R. O'Neale STEAL (1 STL),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M26.00S,2021-12-24T02:10:37.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201144,92.46057818659659,44.36274509803921,1610612762,2,0,2021-12-24T02:10:46Z,120000,-28.0,18.0,1,right,M. Conley running Layup (2 PTS) (D. Mitchell 1 AST),"[201144, 1628378]",1610612762.0,UTA,running,,,Conley,M. Conley,,,,,3.37,Made,,,,,,,,,,2.0,D. Mitchell,1628378.0,1.0,,,,,,
14,PT11M03.00S,2021-12-24T02:11:00.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630183,7.835085413929041,49.01960784313725,1610612750,2,2,2021-12-24T02:11:06Z,140000,5.0,21.0,1,left,J. McDaniels cutting DUNK (2 PTS) (D. Russell 1 AST),"[1630183, 1626156]",1610612750.0,MIN,cutting,,,McDaniels,J. McDaniels,,,,,2.17,Made,,,,,,,,,,2.0,D. Russell,1626156.0,1.0,,,,,,
16,PT10M42.00S,2021-12-24T02:11:22.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,83.13074901445466,48.77450980392157,1610612762,2,2,2021-12-24T02:11:27Z,160000,-6.0,106.0,1,right,MISS B. Bogdanovic 10' floating Shot,[202711],1610612762.0,UTA,floating,,,Bogdanovic,B. Bogdanovic,,,,,10.63,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M41.00S,2021-12-24T02:11:24.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,2,2,2021-12-24T02:11:24Z,170000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,
18,PT10M41.00S,2021-12-24T02:11:25.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,2,2,2021-12-24T02:11:25Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M36.00S,2021-12-24T02:11:47.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628378,92.46057818659659,94.85294117647058,1610612762,2,2,2021-12-24T02:11:52Z,190000,224.0,18.0,1,right,MISS D. Mitchell 3PT,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,22.51,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M34.00S,2021-12-24T02:11:49.9Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,2,2,2021-12-24T02:23:11Z,200000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
21,PT10M32.00S,2021-12-24T02:12:01.3Z,1,REGULAR,foul,personal,[],1626220,,,1610612750,2,2,2021-12-24T02:12:07Z,210000,,,0,,R. O'Neale personal FOUL (1 PF),"[1626220, 1626156]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Russell,1626156.0,
