actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-01-01T02:10:29.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-01T02:10:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-01T02:10:31.3Z,1,REGULAR,jumpball,recovered,[],202711,,,1610612762,0,0,2022-01-01T02:10:31Z,40000,,,0,,Jump Ball R. Gobert vs. N. Reid: Tip to B. Bogdanovic,"[202711, 203497, 1629675]",1610612762.0,UTA,startperiod,B. Bogdanovic,202711.0,Bogdanovic,B. Bogdanovic,Gobert,203497.0,Reid,1629675.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-01T02:10:46.7Z,1,REGULAR,turnover,lost ball,[],202711,,,1610612762,0,0,2022-01-01T02:10:54Z,70000,,,0,,B. Bogdanovic lost ball TURNOVER (1 TO),"[202711, 1629020]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,1.0,Vanderbilt,1629020.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-01-01T02:10:46.7Z,1,REGULAR,steal,,[],1629020,,,1610612750,0,0,2022-01-01T03:25:55Z,80000,,,0,,J. Vanderbilt STEAL (1 STL),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-01-01T02:10:53.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630162,8.09789750328515,45.83333333333333,1610612750,0,2,2022-01-01T02:11:00Z,90000,21.0,24.0,1,left,A. Edwards driving DUNK (2 PTS),[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,,,,3.15,Made,2.0,,,,,,,,,,,,,,
10,PT11M23.00S,2022-01-01T02:11:05.2Z,1,REGULAR,foul,personal,['2freethrow'],1630162,,,1610612762,0,2,2022-01-01T02:11:19Z,100000,,,0,,A. Edwards shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1630162, 1628378]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,,,,,,,1628484.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,
12,PT11M23.00S,2022-01-01T02:11:37.0Z,1,REGULAR,freethrow,1 of 2,[],1628378,,,1610612762,1,2,2022-01-01T02:11:57Z,120000,,,0,,D. Mitchell Free Throw 1 of 2 (1 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
13,PT11M23.00S,2022-01-01T02:11:37.0Z,1,REGULAR,freethrow,2 of 2,[],1628378,,,1610612762,1,2,2022-01-01T02:11:57Z,130000,,,0,,MISS D. Mitchell Free Throw 2 of 2,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,Missed,,,,,,,,,,,,,,,
14,PT11M22.00S,2022-01-01T02:11:38.0Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,1,2,2022-01-01T02:11:57Z,140000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT11M03.00S,2022-01-01T02:12:14.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629020,10.33180026281209,48.529411764705884,1610612750,1,2,2022-01-01T02:12:19Z,150000,7.0,45.0,1,left,MISS J. Vanderbilt Layup,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,4.52,Missed,,,,,,,,,,,,,,,
16,PT11M01.00S,2022-01-01T02:12:16.1Z,1,REGULAR,rebound,offensive,[],1629675,,,1610612750,1,2,2022-01-01T02:12:16Z,160000,,,0,,N. Reid REBOUND (Off:1 Def:0),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,
17,PT11M00.00S,2022-01-01T02:12:17.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627736,29.25427069645204,76.22549019607843,1610612750,1,2,2022-01-01T02:12:24Z,170000,-131.0,222.0,1,left,MISS M. Beasley 25' 3PT,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,25.83,Missed,,,,,,,,,,,,,,,
18,PT10M56.00S,2022-01-01T02:12:21.7Z,1,REGULAR,rebound,defensive,[],1630235,,,1610612762,1,2,2022-01-01T02:12:24Z,180000,,,0,,T. Forrest REBOUND (Off:0 Def:1),[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,
19,PT10M55.00S,2022-01-01T02:12:25.9Z,1,REGULAR,foul,personal,[],1629020,,,1610612762,1,2,2022-01-01T02:12:37Z,190000,,,0,,J. Vanderbilt personal FOUL (1 PF),"[1629020, 1630235]",1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,204059.0,1.0,0.0,Forrest,1630235.0,,,,,,,,,
21,PT10M37.00S,2022-01-01T02:13:03.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,1,2,2022-01-01T02:13:03Z,210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M37.00S,2022-01-01T02:13:13.8Z,1,REGULAR,stoppage,blood rule,[],0,,,1610612762,1,2,2022-01-01T02:13:13Z,220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M34.00S,2022-01-01T02:14:05.4Z,1,REGULAR,3pt,Jump Shot,[],1628378,76.2976346911958,90.19607843137256,1610612762,1,2,2022-01-01T02:14:13Z,230000,201.0,170.0,1,right,MISS D. Mitchell 26' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,,,,26.34,Missed,,,,,,,,,,,,,,,
