actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-02-12T02:10:03.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-12T02:10:03Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-12T02:10:05.6Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2022-02-12T02:10:05Z,40000,,,0,,Jump Ball U. Azubuike vs. M. Bamba: Tip to R. O'Neale,"[1626220, 1628962, 1628964]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Azubuike,1628962.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-02-12T02:10:22.2Z,1,REGULAR,turnover,lost ball,[],1628378,,,1610612762,0,0,2022-02-12T02:10:28Z,70000,,,0,,D. Mitchell lost ball TURNOVER (1 TO),"[1628378, 1630591]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,1.0,Suggs,1630591.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-02-12T02:10:22.2Z,1,REGULAR,steal,,[],1630591,,,1610612753,0,0,2022-02-12T02:10:23Z,80000,,,0,,J. Suggs STEAL (1 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2022-02-12T02:10:33.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628964,84.1819973718791,95.34313725490196,1610612753,0,0,2022-02-12T02:10:40Z,90000,227.0,96.0,1,right,MISS M. Bamba 24' step back 3PT,[1628964],1610612753.0,ORL,step back,,,Bamba,M. Bamba,,,,,,,,24.63,Missed,,,,,,,,,,,,,,,
10,PT11M28.00S,2022-02-12T02:10:35.0Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,0,0,2022-02-12T02:10:40Z,100000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M21.00S,2022-02-12T02:10:41.9Z,1,REGULAR,3pt,Jump Shot,[],1628378,4.812746386333772,95.83333333333334,1610612762,0,0,2022-02-12T02:10:46Z,110000,-229.0,-7.0,1,left,MISS D. Mitchell 3PT,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,22.93,Missed,,,,,,,,,,,,,,,
12,PT11M17.00S,2022-02-12T02:10:45.9Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,0,0,2022-02-12T02:10:46Z,120000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M05.00S,2022-02-12T02:10:57.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,91.40932982917214,63.725490196078425,1610612753,0,0,2022-02-12T02:11:09Z,130000,69.0,28.0,1,right,MISS F. Wagner 7' driving floating Shot - blocked,"[1630532, 1628962]",1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,,,,7.42,Missed,,,,,Azubuike,1628962.0,,,,,,,,,
14,PT11M05.00S,2022-02-12T02:10:57.5Z,1,REGULAR,block,,[],1628962,,,1610612753,0,0,2022-02-12T02:10:59Z,140000,,,0,,U. Azubuike BLOCK (1 BLK),[1628962],1610612762.0,UTA,,,,Azubuike,U. Azubuike,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M02.00S,2022-02-12T02:11:00.5Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,0,0,2022-02-12T02:11:09Z,150000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:2),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,,
16,PT11M00.00S,2022-02-12T02:11:03.1Z,1,REGULAR,turnover,lost ball,[],202711,,,1610612762,0,0,2022-02-12T02:11:12Z,160000,,,0,,B. Bogdanovic lost ball TURNOVER (1 TO),"[202711, 1630532]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,1.0,Wagner,1630532.0,,,,,,,,,,,,,,,,,
17,PT11M00.00S,2022-02-12T02:11:03.1Z,1,REGULAR,steal,,[],1630532,,,1610612753,0,0,2022-02-12T02:11:05Z,170000,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M51.00S,2022-02-12T02:11:11.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628976,91.93495400788436,50.49019607843137,1610612753,0,2,2022-02-12T02:11:24Z,180000,2.0,23.0,1,right,W. Carter Jr. running DUNK (2 PTS) (J. Suggs 1 AST),"[1628976, 1630591]",1610612753.0,ORL,running,,,Carter Jr.,W. Carter Jr.,,,,,,,,2.34,Made,,,,,,,2.0,J. Suggs,1630591.0,1.0,,,,,
20,PT10M35.00S,2022-02-12T02:11:28.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628962,6.1268068331143235,52.94117647058824,1610612762,2,2,2022-02-12T02:11:33Z,200000,-15.0,5.0,1,left,U. Azubuike alley-oop Layup (2 PTS) (M. Conley 1 AST),"[1628962, 201144]",1610612762.0,UTA,alley-oop,,,Azubuike,U. Azubuike,,,,,,,,1.56,Made,,,,,,,2.0,M. Conley,201144.0,1.0,,,,,
22,PT10M09.00S,2022-02-12T02:11:53.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,81.2910643889619,37.5,1610612753,2,2,2022-02-12T02:11:58Z,220000,-62.0,123.0,1,right,MISS W. Carter Jr. 13' Jump Shot,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,13.83,Missed,,,,,,,,,,,,,,,
23,PT10M06.00S,2022-02-12T02:11:56.8Z,1,REGULAR,rebound,defensive,[],1628962,,,1610612762,2,2,2022-02-12T02:11:56Z,230000,,,0,,U. Azubuike REBOUND (Off:0 Def:1),[1628962],1610612762.0,UTA,,,,Azubuike,U. Azubuike,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT09M55.00S,2022-02-12T02:12:08.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,11.514454664914586,48.529411764705884,1610612762,2,2,2022-02-12T02:12:14Z,240000,7.0,56.0,1,left,MISS D. Mitchell floating Shot,[1628378],1610612762.0,UTA,floating,,,Mitchell,D. Mitchell,,,,,,,,5.62,Missed,,,,,,,,,,,,,,,
25,PT09M52.00S,2022-02-12T02:12:11.5Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,2,2,2022-02-12T02:12:14Z,250000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,
26,PT09M44.00S,2022-02-12T02:12:19.7Z,1,REGULAR,3pt,Jump Shot,[],1628964,94.56307490144546,95.09803921568627,1610612753,2,2,2022-02-12T02:12:23Z,260000,225.0,-1.0,1,right,MISS M. Bamba 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,22.55,Missed,,,,,,,,,,,,,,,
27,PT09M41.00S,2022-02-12T02:12:22.7Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,2,2,2022-02-12T02:12:23Z,270000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:3),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,26.0,3.0,3.0,0.0,,,,,,,,,,,
