actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-19T01:10:16.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-19T01:10:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-19T01:10:20.2Z,1,REGULAR,jumpball,recovered,[],202694,,,1610612746,0,0,2022-03-19T01:10:20Z,40000,,,0,,Jump Ball I. Zubac vs. R. Gobert: Tip to M. Morris Sr.,"[202694, 1627826, 203497]",1610612746.0,LAC,startperiod,M. Morris Sr.,202694.0,Morris Sr.,M. Morris Sr.,Zubac,1627826.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-03-19T01:10:30.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,84.83902759526939,62.00980392156863,1610612746,0,0,2022-03-19T01:10:34Z,70000,60.0,90.0,1,right,MISS R. Jackson 10' floating Shot,[202704],1610612746.0,LAC,floating,,,Jackson,R. Jackson,,,,,10.82,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-03-19T01:10:32.4Z,1,REGULAR,rebound,defensive,[],1627823,,,1610612762,0,0,2022-03-19T01:10:34Z,80000,,,0,,J. Hernangomez REBOUND (Off:0 Def:1),[1627823],1610612762.0,UTA,,,,Hernangomez,J. Hernangomez,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2022-03-19T01:10:43.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,13.61695137976347,50.98039215686274,1610612762,2,0,2022-03-19T01:10:48Z,90000,-5.0,75.0,1,left,M. Conley 7' driving floating Jump Shot (2 PTS) (R. Gobert 1 AST),"[201144, 203497]",1610612762.0,UTA,driving floating,,,Conley,M. Conley,,,,,7.57,Made,,,,,2.0,R. Gobert,203497.0,1.0,,,,,,,,,,
11,PT11M16.00S,2022-03-19T01:11:00.3Z,1,REGULAR,2pt,Jump Shot,[],202694,81.553876478318,69.36274509803921,1610612746,2,2,2022-03-19T01:11:05Z,110000,97.0,121.0,1,right,M. Morris Sr. 15' pullup Jump Shot (2 PTS),[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,15.49,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M01.00S,2022-03-19T01:11:14.7Z,1,REGULAR,2pt,Jump Shot,[],1629638,18.2161629434954,27.696078431372552,1610612762,4,2,2022-03-19T01:11:19Z,120000,112.0,119.0,1,left,N. Alexander-Walker 16' pullup Jump Shot (2 PTS) (R. Gobert 2 AST),"[1629638, 203497]",1610612762.0,UTA,pullup,,,Alexander-Walker,N. Alexander-Walker,,,,,16.29,Made,,,,,2.0,R. Gobert,203497.0,2.0,,,,,,,,,,
14,PT10M41.00S,2022-03-19T01:11:35.0Z,1,REGULAR,2pt,Hook,[],1627826,91.80354796320631,65.93137254901961,1610612746,4,2,2022-03-19T01:11:40Z,140000,80.0,25.0,1,right,MISS I. Zubac 8' turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,8.34,Missed,,,,,,,,,,,,,,,,,,
15,PT10M39.00S,2022-03-19T01:11:37.0Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,4,2,2022-03-19T01:11:40Z,150000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M34.00S,2022-03-19T01:11:41.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627823,26.231931668856767,18.137254901960784,1610612762,7,2,2022-03-19T01:11:48Z,160000,159.0,194.0,1,left,J. Hernangomez 25' 3PT  (3 PTS) (R. O'Neale 1 AST),"[1627823, 1626220]",1610612762.0,UTA,,,,Hernangomez,J. Hernangomez,,,,,25.11,Made,,,,,3.0,R. O'Neale,1626220.0,1.0,,,,,,,,,,
