actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-04-07T01:10:19.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-07T01:10:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-04-07T01:10:21.0Z,1,REGULAR,jumpball,recovered,[],1627823,,,1610612762,0,0,2022-04-07T01:10:21Z,40000,,,0,,Jump Ball R. Gobert vs. I. Roby: Tip to J. Hernangomez,"[1627823, 203497, 1629676]",1610612762.0,UTA,startperiod,J. Hernangomez,1627823.0,Hernangomez,J. Hernangomez,Gobert,203497.0,Roby,1629676.0,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2022-04-07T01:10:31.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,0,0,2022-04-07T01:10:31Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-04-07T01:10:43.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630235,91.14651773981603,43.872549019607845,1610612762,2,0,2022-04-07T01:10:53Z,80000,-31.0,31.0,1,right,T. Forrest driving Layup (2 PTS),[1630235],1610612762.0,UTA,driving,,,Forrest,T. Forrest,,,,,4.33,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-04-07T01:11:05.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,2,0,2022-04-07T01:11:05Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2022-04-07T01:11:20.7Z,1,REGULAR,3pt,Jump Shot,[],1629676,27.414586070959263,78.43137254901961,1610612760,2,0,2022-04-07T01:11:27Z,100000,-142.0,205.0,1,left,MISS I. Roby 24' 3PT,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,24.97,Missed,,,,,,,,,,,,,,,,,,
11,PT11M17.00S,2022-04-07T01:11:25.7Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,2,0,2022-04-07T01:11:27Z,110000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M08.00S,2022-04-07T01:11:35.6Z,1,REGULAR,foul,personal,['2freethrow'],1630686,,,1610612762,2,0,2022-04-07T01:11:40Z,120000,,,0,,G. Kalaitzakis shooting personal FOUL (1 PF) (Bogdanovic 2 FT),"[1630686, 202711]",1610612760.0,OKC,shooting,,,Kalaitzakis,G. Kalaitzakis,,,,,,,,,,,,204058.0,1.0,0.0,Bogdanovic,202711.0,,,,,,,,
14,PT11M08.00S,2022-04-07T01:12:01.2Z,1,REGULAR,freethrow,1 of 2,[],202711,,,1610612762,3,0,2022-04-07T01:12:01Z,140000,,,0,,B. Bogdanovic Free Throw 1 of 2 (1 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
15,PT11M08.00S,2022-04-07T01:12:24.4Z,1,REGULAR,freethrow,2 of 2,[],202711,,,1610612762,4,0,2022-04-07T01:12:24Z,150000,,,0,,B. Bogdanovic Free Throw 2 of 2 (2 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M51.00S,2022-04-07T01:12:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630285,9.937582128777924,47.549019607843135,1610612760,4,2,2022-04-07T01:13:11Z,160000,12.0,41.0,1,left,Z. Simpson driving finger roll Layup (2 PTS) (I. Roby 1 AST),"[1630285, 1629676]",1610612760.0,OKC,driving finger roll,,,Simpson,Z. Simpson,,,,,4.27,Made,2.0,,,,,,,,,,I. Roby,1629676.0,1.0,,,,,
18,PT10M33.00S,2022-04-07T01:13:17.8Z,1,REGULAR,turnover,lost ball,[],1630235,,,1610612762,4,2,2022-04-07T01:13:22Z,180000,,,0,,T. Forrest lost ball TURNOVER (1 TO),"[1630235, 1630285]",1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,1.0,Simpson,1630285.0,,
19,PT10M33.00S,2022-04-07T01:13:17.8Z,1,REGULAR,steal,,[],1630285,,,1610612760,4,2,2022-04-07T01:13:19Z,190000,,,0,,Z. Simpson STEAL (1 STL),[1630285],1610612760.0,OKC,,,,Simpson,Z. Simpson,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M26.00S,2022-04-07T01:13:25.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629676,30.831143232588698,41.911764705882355,1610612760,4,5,2022-04-07T01:13:31Z,200000,40.0,237.0,1,left,I. Roby 24' 3PT  (3 PTS) (Z. Simpson 1 AST),"[1629676, 1630285]",1610612760.0,OKC,,,,Roby,I. Roby,,,,,24.07,Made,3.0,,,,,,,,,,Z. Simpson,1630285.0,1.0,,,,,
22,PT10M10.00S,2022-04-07T01:13:40.4Z,1,REGULAR,3pt,Jump Shot,[],1627863,92.59198423127464,96.32352941176471,1610612762,4,5,2022-04-07T01:13:46Z,220000,232.0,17.0,1,right,MISS D. House Jr. 3PT,[1627863],1610612762.0,UTA,,,,House Jr.,D. House Jr.,,,,,23.22,Missed,,,,,,,,,,,,,,,,,,
23,PT10M07.00S,2022-04-07T01:13:43.4Z,1,REGULAR,rebound,offensive,[],1627823,,,1610612762,4,5,2022-04-07T01:13:47Z,230000,,,0,,J. Hernangomez REBOUND (Off:1 Def:0),[1627823],1610612762.0,UTA,,,,Hernangomez,J. Hernangomez,,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,
24,PT10M04.00S,2022-04-07T01:13:49.7Z,1,REGULAR,foul,personal,['2freethrow'],1630285,,,1610612762,4,5,2022-04-07T01:14:06Z,240000,,,0,,Z. Simpson shooting personal FOUL (1 PF) (Bogdanovic 2 FT),"[1630285, 202711]",1610612760.0,OKC,shooting,,,Simpson,Z. Simpson,,,,,,,,,,,,1146.0,1.0,0.0,Bogdanovic,202711.0,,,,,,,,
26,PT10M04.00S,2022-04-07T01:14:18.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202711,,,1610612762,5,5,2022-04-07T01:14:18Z,260000,,,0,,B. Bogdanovic Free Throw 1 of 2 (3 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
27,PT10M04.00S,2022-04-07T01:14:34.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202711,,,1610612762,6,5,2022-04-07T01:14:34Z,270000,,,0,,B. Bogdanovic Free Throw 2 of 2 (4 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
28,PT10M03.00S,2022-04-07T01:14:41.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,6,5,2022-04-07T01:14:41Z,280000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M47.00S,2022-04-07T01:15:07.3Z,1,REGULAR,3pt,Jump Shot,[],1629676,4.944152431011826,94.11764705882352,1610612760,6,8,2022-04-07T01:15:12Z,290000,-221.0,-6.0,1,left,I. Roby 3PT  (6 PTS) (V. Krejci 1 AST),"[1629676, 1630249]",1610612760.0,OKC,,,,Roby,I. Roby,,,,,22.07,Made,6.0,,,,,,,,,,V. Krejci,1630249.0,1.0,,,,,
31,PT09M32.00S,2022-04-07T01:15:20.9Z,1,REGULAR,3pt,Jump Shot,[],1627863,71.43561103810775,22.54901960784314,1610612762,6,8,2022-04-07T01:16:18Z,310000,-137.0,216.0,1,right,MISS D. House Jr. 25' pullup 3PT,[1627863],1610612762.0,UTA,pullup,,,House Jr.,D. House Jr.,,,,,25.59,Missed,,,,,,,,,,,,,,,,,,
32,PT09M30.00S,2022-04-07T01:15:22.9Z,1,REGULAR,rebound,defensive,[],1630249,,,1610612760,6,8,2022-04-07T01:15:26Z,320000,,,0,,V. Krejci REBOUND (Off:0 Def:1),[1630249],1610612760.0,OKC,,,,Krejci,V. Krejci,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,
33,PT09M17.00S,2022-04-07T01:15:36.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630686,6.521024967148489,44.6078431372549,1610612760,6,10,2022-04-07T01:15:42Z,330000,27.0,9.0,1,left,G. Kalaitzakis driving Layup (2 PTS) (Z. Simpson 2 AST),"[1630686, 1630285]",1610612760.0,OKC,driving,,,Kalaitzakis,G. Kalaitzakis,,,,,2.84,Made,2.0,,,,,,,,,,Z. Simpson,1630285.0,2.0,,,,,
35,PT09M05.00S,2022-04-07T01:15:48.2Z,1,REGULAR,foul,personal,['3freethrow'],1629676,,,1610612762,6,10,2022-04-07T01:16:04Z,350000,,,0,,I. Roby shooting personal FOUL (1 PF) (Hernangomez 3 FT),"[1629676, 1627823]",1610612760.0,OKC,shooting,,,Roby,I. Roby,,,,,,,,,,,,204058.0,1.0,0.0,Hernangomez,1627823.0,,,,,,,,
37,PT09M05.00S,2022-04-07T01:16:18.9Z,1,REGULAR,freethrow,1 of 3,[],1627823,,,1610612762,7,10,2022-04-07T01:16:18Z,370000,,,0,,J. Hernangomez Free Throw 1 of 3 (1 PTS),[1627823],1610612762.0,UTA,,,,Hernangomez,J. Hernangomez,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
38,PT09M05.00S,2022-04-07T01:16:31.4Z,1,REGULAR,freethrow,2 of 3,[],1627823,,,1610612762,7,10,2022-04-07T01:16:31Z,380000,,,0,,MISS J. Hernangomez Free Throw 2 of 3,[1627823],1610612762.0,UTA,,,,Hernangomez,J. Hernangomez,,,,,,Missed,,,,,,,,,,,,,,,,,,
39,PT09M05.00S,2022-04-07T01:16:31.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,7,10,2022-04-07T01:16:31Z,390000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,
40,PT09M05.00S,2022-04-07T01:16:44.7Z,1,REGULAR,freethrow,3 of 3,[],1627823,,,1610612762,8,10,2022-04-07T01:16:44Z,400000,,,0,,J. Hernangomez Free Throw 3 of 3 (2 PTS),[1627823],1610612762.0,UTA,,,,Hernangomez,J. Hernangomez,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
41,PT08M42.00S,2022-04-07T01:17:09.4Z,1,REGULAR,3pt,Jump Shot,[],1630686,24.52365308804205,15.196078431372548,1610612760,8,10,2022-04-07T01:17:14Z,410000,174.0,178.0,1,left,MISS G. Kalaitzakis 24' 3PT,[1630686],1610612760.0,OKC,,,,Kalaitzakis,G. Kalaitzakis,,,,,24.89,Missed,,,,,,,,,,,,,,,,,,
42,PT08M39.00S,2022-04-07T01:17:12.4Z,1,REGULAR,rebound,defensive,[],1627823,,,1610612762,8,10,2022-04-07T01:17:15Z,420000,,,0,,J. Hernangomez REBOUND (Off:1 Def:1),[1627823],1610612762.0,UTA,,,,Hernangomez,J. Hernangomez,,,,,,,,41.0,2.0,1.0,1.0,,,,,,,,,,,,,
