actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-18T02:10:16.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-18T02:10:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-18T02:10:19.1Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2021-12-18T02:10:19Z,40000,,,0,,Jump Ball J. Poeltl vs. R. Gobert: Tip to K. Johnson,"[1629640, 1627751, 203497]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-12-18T02:10:35.2Z,1,REGULAR,2pt,Jump Shot,[],203926,22.421156373193167,69.85294117647058,1610612759,0,2,2021-12-18T02:10:40Z,70000,-99.0,158.0,1,left,D. McDermott 18' pullup Jump Shot (2 PTS) (K. Johnson 1 AST),"[203926, 1629640]",1610612759.0,SAS,pullup,,,McDermott,D. McDermott,,,,,18.69,Made,2.0,K. Johnson,1629640.0,1.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2021-12-18T02:10:51.2Z,1,REGULAR,3pt,Jump Shot,[],201144,71.96123521681997,81.37254901960785,1610612762,0,2,2021-12-18T02:10:58Z,90000,157.0,211.0,1,right,MISS M. Conley 26' 3PT,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,26.3,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2021-12-18T02:10:56.2Z,1,REGULAR,rebound,offensive,[],1628378,,,1610612762,0,2,2021-12-18T02:10:58Z,100000,,,0,,D. Mitchell REBOUND (Off:1 Def:0),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M19.00S,2021-12-18T02:10:58.7Z,1,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612762,0,2,2021-12-18T02:11:05Z,110000,,,0,,D. White shooting personal FOUL (1 PF) (Bogdanovic 2 FT),"[1628401, 202711]",1610612759.0,SAS,shooting,,,White,D. White,,,,,,,,,,,,,,,201640.0,1.0,0.0,Bogdanovic,202711.0,,,,,,
13,PT11M19.00S,2021-12-18T02:11:25.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202711,,,1610612762,1,2,2021-12-18T02:11:25Z,130000,,,0,,B. Bogdanovic Free Throw 1 of 2 (1 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
14,PT11M19.00S,2021-12-18T02:11:40.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202711,,,1610612762,2,2,2021-12-18T02:11:40Z,140000,,,0,,B. Bogdanovic Free Throw 2 of 2 (2 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
15,PT11M10.00S,2021-12-18T02:11:52.1Z,1,REGULAR,3pt,Jump Shot,[],1627749,30.56833114323259,27.696078431372552,1610612759,2,2,2021-12-18T02:12:01Z,150000,112.0,235.0,1,left,MISS D. Murray 25' 3PT,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,25.99,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M06.00S,2021-12-18T02:11:56.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,2,2,2021-12-18T02:12:00Z,160000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,
