actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-28T02:10:30.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-28T02:10:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-28T02:10:32.6Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612740,0,0,2021-11-28T02:10:32Z,40000,,,0,,Jump Ball J. Valanciunas vs. R. Gobert: Tip to J. Hart,"[1628404, 202685, 203497]",1610612740.0,NOP,startperiod,J. Hart,1628404.0,Hart,J. Hart,Valanciunas,202685.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-28T02:10:43.7Z,1,REGULAR,2pt,Jump Shot,[],1628984,80.76544021024968,76.7156862745098,1610612740,0,2,2021-11-28T02:10:53Z,70000,134.0,128.0,1,right,D. Graham 18' Jump Shot (2 PTS),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,18.52,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2021-11-28T02:11:08.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,8.360709592641262,56.127450980392155,1610612762,2,2,2021-11-28T02:11:14Z,80000,-31.0,26.0,1,left,R. Gobert Layup (2 PTS) (D. Mitchell 1 AST),"[203497, 1628378]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,4.02,Made,2.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,,,,
10,PT11M12.00S,2021-11-28T02:11:17.4Z,1,REGULAR,3pt,Jump Shot,[],202685,67.49342969776609,55.392156862745104,1610612740,2,2,2021-11-28T02:11:23Z,100000,27.0,253.0,1,right,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,25.45,Missed,,,,,,,,,,,,,,,,,,
11,PT11M10.00S,2021-11-28T02:11:19.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,2,2,2021-11-28T02:11:23Z,110000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
12,PT11M10.00S,2021-11-28T02:11:23.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,2,2,2021-11-28T02:11:23Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M55.00S,2021-11-28T02:11:40.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201144,8.229303547963205,38.48039215686275,1610612762,4,2,2021-11-28T02:11:53Z,130000,58.0,25.0,1,left,M. Conley 6' driving Layup (2 PTS) (D. Mitchell 2 AST),"[201144, 1628378]",1610612762.0,UTA,driving,,,Conley,M. Conley,,,,,6.28,Made,2.0,D. Mitchell,1628378.0,2.0,,,,,,,,,,,,,,
15,PT10M38.00S,2021-11-28T02:11:59.8Z,1,REGULAR,foul,personal,[],204060,,,1610612740,4,2,2021-11-28T02:12:12Z,150000,,,0,,J. Ingles personal FOUL (1 PF),"[204060, 1627742]",1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,1627964.0,1.0,0.0,Ingram,1627742.0,,,,,,,,
17,PT10M28.00S,2021-11-28T02:12:23.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,87.07293035479631,44.85294117647059,1610612740,4,4,2021-11-28T02:12:31Z,170000,-26.0,69.0,1,right,J. Valanciunas 7' turnaround Jump Shot (2 PTS) (B. Ingram 1 AST),"[202685, 1627742]",1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,7.36,Made,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,
19,PT10M14.00S,2021-11-28T02:12:37.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,13.485545335085414,52.450980392156865,1610612762,6,4,2021-11-28T02:12:45Z,190000,-12.0,74.0,1,left,M. Conley 7' floating Jump Shot (4 PTS),[201144],1610612762.0,UTA,floating,,,Conley,M. Conley,,,,,7.53,Made,4.0,,,,,,,,,,,,,,,,,
20,PT09M55.00S,2021-11-28T02:12:57.0Z,1,REGULAR,3pt,Jump Shot,[],1627742,69.99014454664915,28.431372549019606,1610612740,6,4,2021-11-28T02:13:37Z,200000,-108.0,230.0,1,right,MISS B. Ingram 25' pullup 3PT,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,25.36,Missed,,,,,,,,,,,,,,,,,,
21,PT09M54.00S,2021-11-28T02:13:00.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,6,4,2021-11-28T02:13:00Z,210000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
