actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-27T02:02:46.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-27T02:02:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-27T02:02:48.3Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2021-10-27T02:02:48Z,40000,,,0,,Jump Ball N. Jokic vs. R. Gobert: Tip to A. Gordon,"[203932, 203999, 203497]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-10-27T02:03:02.0Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,0,0,2021-10-27T02:03:08Z,70000,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1628378]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,1.0,Mitchell,1628378.0,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-10-27T02:03:02.0Z,1,REGULAR,steal,,[],1628378,,,1610612762,0,0,2021-10-27T02:03:03Z,80000,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2021-10-27T02:03:05.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628378,91.40932982917214,49.754901960784316,1610612762,2,0,2021-10-27T02:03:17Z,90000,-1.0,28.0,1,right,D. Mitchell running DUNK (2 PTS),[1628378],1610612762.0,UTA,running,,,Mitchell,D. Mitchell,,,,,,,,2.83,Made,2.0,,,,,,,,,,,,,,,
10,PT11M27.00S,2021-10-27T02:03:24.9Z,1,REGULAR,2pt,Jump Shot,[],1628420,4.944152431011826,25.0,1610612743,2,2,2021-10-27T02:03:31Z,100000,125.0,-6.0,1,left,M. Morris 12' step back Jump Shot (2 PTS),[1628420],1610612743.0,DEN,step back,,,Morris,M. Morris,,,,,,,,12.51,Made,2.0,,,,,,,,,,,,,,,
11,PT11M14.00S,2021-10-27T02:03:39.0Z,1,REGULAR,foul,personal,['2freethrow'],203999,,,1610612762,2,2,2021-10-27T02:03:47Z,110000,,,0,,N. Jokic shooting personal FOUL (1 PF) (Gobert 2 FT),"[203999, 203497]",1610612743.0,DEN,shooting,,,Jokic,N. Jokic,,,,,,,,,,,2714.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,
13,PT11M14.00S,2021-10-27T02:04:12.3Z,1,REGULAR,freethrow,1 of 2,[],203497,,,1610612762,3,2,2021-10-27T02:04:12Z,130000,,,0,,R. Gobert Free Throw 1 of 2 (1 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
14,PT11M14.00S,2021-10-27T02:04:12.3Z,1,REGULAR,freethrow,2 of 2,[],203497,,,1610612762,3,2,2021-10-27T02:04:32Z,140000,,,0,,MISS R. Gobert Free Throw 2 of 2,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,Missed,,,,,,,,,,,,,,,,
15,PT11M13.00S,2021-10-27T02:04:13.3Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,3,2,2021-10-27T02:04:32Z,150000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,
16,PT10M57.00S,2021-10-27T02:04:46.6Z,1,REGULAR,3pt,Jump Shot,[],1629008,28.597240473061763,76.22549019607843,1610612743,3,2,2021-10-27T02:04:53Z,160000,-131.0,216.0,1,left,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,25.29,Missed,,,,,,,,,,,,,,,,
17,PT10M54.00S,2021-10-27T02:04:49.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,3,2,2021-10-27T02:04:53Z,170000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,
18,PT10M54.00S,2021-10-27T02:04:52.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,3,2,2021-10-27T02:04:53Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M32.00S,2021-10-27T02:05:22.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202711,87.59855453350855,56.86274509803921,1610612762,3,2,2021-10-27T02:05:27Z,190000,34.0,64.0,1,right,MISS B. Bogdanovic 7' driving Hook,[202711],1610612762.0,UTA,driving,,,Bogdanovic,B. Bogdanovic,,,,,,,,7.27,Missed,,,,,,,,,,,,,,,,
20,PT10M31.00S,2021-10-27T02:05:23.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,2,2021-10-27T02:05:27Z,200000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,
21,PT10M14.00S,2021-10-27T02:05:41.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,6.783837056504599,52.94117647058824,1610612743,3,4,2021-10-27T02:05:48Z,210000,-15.0,11.0,1,left,A. Gordon reverse Layup (2 PTS) (M. Morris 1 AST),"[203932, 1628420]",1610612743.0,DEN,reverse,,,Gordon,A. Gordon,,,,,,,,1.85,Made,2.0,,,,,,,,,,M. Morris,1628420.0,1.0,,,
23,PT10M05.00S,2021-10-27T02:05:49.4Z,1,REGULAR,3pt,Jump Shot,[],201144,72.22404730617609,21.07843137254902,1610612762,6,4,2021-10-27T02:06:39Z,230000,-145.0,209.0,1,right,M. Conley 25' 3PT step back (3 PTS),[201144],1610612762.0,UTA,step back,,,Conley,M. Conley,,,,,,,,25.38,Made,3.0,,,,,,,,,,,,,,,
24,PT09M51.00S,2021-10-27T02:06:03.9Z,1,REGULAR,3pt,Jump Shot,[],203999,31.35676741130092,58.08823529411765,1610612743,6,7,2021-10-27T02:06:08Z,240000,-40.0,242.0,1,left,N. Jokic 24' 3PT  (3 PTS) (M. Morris 2 AST),"[203999, 1628420]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,24.56,Made,3.0,,,,,,,,,,M. Morris,1628420.0,2.0,,,
26,PT09M36.00S,2021-10-27T02:06:18.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,86.94152431011827,50.0,1610612762,8,7,2021-10-27T02:06:25Z,260000,0.0,70.0,1,right,M. Conley 7' driving floating Jump Shot (5 PTS) (D. Mitchell 1 AST),"[201144, 1628378]",1610612762.0,UTA,driving floating,,,Conley,M. Conley,,,,,,,,7.02,Made,5.0,,,,,,,,,,D. Mitchell,1628378.0,1.0,,,
28,PT09M25.00S,2021-10-27T02:06:32.9Z,1,REGULAR,foul,personal,[],1626220,,,1610612743,8,7,2021-10-27T02:06:45Z,280000,,,0,,R. O'Neale personal FOUL (1 PF),"[1626220, 1628420]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,2002.0,1.0,0.0,Morris,1628420.0,,,,,,,,,,
