actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-15T02:12:36.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-15T02:12:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-15T02:12:40.0Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612762,0,0,2022-03-15T02:12:40Z,40000,,,0,,Jump Ball R. Gobert vs. B. Portis: Tip to M. Conley,"[201144, 203497, 1626171]",1610612762.0,UTA,startperiod,M. Conley,201144.0,Conley,M. Conley,Gobert,203497.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-03-15T02:12:52.5Z,1,REGULAR,3pt,Jump Shot,[],201144,30.042706964520367,29.65686274509804,1610612762,0,0,2022-03-15T02:12:58Z,70000,102.0,230.0,1,left,MISS M. Conley 25' 3PT,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,25.14,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-03-15T02:12:54.5Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,0,0,2022-03-15T02:12:58Z,80000,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2022-03-15T02:13:07.0Z,1,REGULAR,3pt,Jump Shot,[],1628960,70.77858081471747,72.79411764705883,1610612749,0,3,2022-03-15T02:13:13Z,90000,114.0,222.0,1,right,G. Allen 24' 3PT  (3 PTS) (J. Holiday 1 AST),"[1628960, 201950]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,24.97,Made,,,,,3.0,J. Holiday,201950.0,1.0,,,,,,,,,,,
11,PT11M09.00S,2022-03-15T02:13:26.2Z,1,REGULAR,3pt,Jump Shot,[],1628378,28.07161629434954,79.41176470588235,1610612762,0,3,2022-03-15T02:13:40Z,110000,-147.0,211.0,1,left,MISS D. Mitchell 25' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,25.75,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2022-03-15T02:13:29.2Z,1,REGULAR,rebound,offensive,[],1626220,,,1610612762,0,3,2022-03-15T02:13:31Z,120000,,,0,,R. O'Neale REBOUND (Off:1 Def:0),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
13,PT10M57.00S,2022-03-15T02:13:38.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626220,28.991458607095925,12.745098039215685,1610612762,3,3,2022-03-15T02:13:43Z,130000,186.0,220.0,1,left,R. O'Neale 28' 3PT  (3 PTS) (D. Mitchell 1 AST),"[1626220, 1628378]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,28.83,Made,,,,,3.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,
15,PT10M42.00S,2022-03-15T02:13:54.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203114,92.06636005256242,44.6078431372549,1610612749,3,5,2022-03-15T02:13:59Z,150000,-27.0,22.0,1,right,K. Middleton driving Layup (2 PTS) (J. Holiday 2 AST),"[203114, 201950]",1610612749.0,MIL,driving,,,Middleton,K. Middleton,,,,,3.49,Made,,,,,2.0,J. Holiday,201950.0,2.0,,,,,,,,,,,
17,PT10M27.00S,2022-03-15T02:14:08.4Z,1,REGULAR,3pt,Jump Shot,[],1627863,9.674770039421814,3.1862745098039214,1610612762,3,5,2022-03-15T02:14:13Z,170000,234.0,38.0,1,left,MISS D. House Jr. 3PT,[1627863],1610612762.0,UTA,,,,House Jr.,D. House Jr.,,,,,23.72,Missed,,,,,,,,,,,,,,,,,,,
