actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-10-21T01:14:02.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-21T01:14:02Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-21T01:14:04.5Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2021-10-21T01:14:04Z,40000,,,0,,Jump Ball R. Gobert vs. D. Favors: Tip to R. O'Neale,"[1626220, 203497, 202324]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Favors,202324.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-10-21T01:14:21.1Z,1,REGULAR,turnover,out-of-bounds,[],1628378,,,1610612762,0,0,2021-10-21T01:14:32Z,70000,,,0,,D. Mitchell lost ball out-of-bounds TURNOVER (1 TO),[1628378],1610612762.0,UTA,lost ball,,,Mitchell,D. Mitchell,,,,,1626300.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2021-10-21T01:14:49.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628983,6.652431011826544,54.65686274509803,1610612760,0,2,2021-10-21T01:15:33Z,80000,-23.0,10.0,1,left,S. Gilgeous-Alexander driving Layup (2 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,2.54,Made,2.0,,,,,,,,,,,,,,,
9,PT11M12.00S,2021-10-21T01:14:57.5Z,1,REGULAR,3pt,Jump Shot,[],201144,70.38436268068331,13.23529411764706,1610612762,3,2,2021-10-21T01:15:02Z,90000,-184.0,226.0,1,right,M. Conley 29' 3PT  (3 PTS) (B. Bogdanovic 1 AST),"[201144, 202711]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,29.12,Made,3.0,B. Bogdanovic,202711.0,1.0,,,,,,,,,,,,
11,PT10M58.00S,2021-10-21T01:15:11.4Z,1,REGULAR,2pt,Jump Shot,[],1630581,25.57490144546649,64.2156862745098,1610612760,3,2,2021-10-21T01:15:16Z,110000,-71.0,188.0,1,left,MISS J. Giddey 20' pullup Shot,[1630581],1610612760.0,OKC,pullup,,,Giddey,J. Giddey,,,,,,,20.09,Missed,,,,,,,,,,,,,,,,
12,PT10M56.00S,2021-10-21T01:15:13.4Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,3,2,2021-10-21T01:15:16Z,120000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT10M47.00S,2021-10-21T01:15:23.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,93.77463863337714,45.34313725490196,1610612762,5,2,2021-10-21T01:15:28Z,130000,-23.0,6.0,1,right,R. Gobert alley-oop DUNK (2 PTS) (M. Conley 1 AST),"[203497, 201144]",1610612762.0,UTA,alley-oop,,,Gobert,R. Gobert,,,,,,,2.41,Made,2.0,M. Conley,201144.0,1.0,,,,,,,,,,,,
15,PT10M20.00S,2021-10-21T01:15:49.8Z,1,REGULAR,3pt,Jump Shot,[],1629647,30.699737187910642,13.970588235294118,1610612760,5,2,2021-10-21T01:15:55Z,150000,180.0,236.0,1,left,MISS D. Bazley 29' 3PT,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,29.69,Missed,,,,,,,,,,,,,,,,
16,PT10M17.00S,2021-10-21T01:15:52.8Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,5,2,2021-10-21T01:15:55Z,160000,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,
17,PT09M57.00S,2021-10-21T01:16:13.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202711,91.80354796320631,55.14705882352941,1610612762,7,2,2021-10-21T01:16:18Z,170000,26.0,25.0,1,right,B. Bogdanovic driving Layup (2 PTS),[202711],1610612762.0,UTA,driving,,,Bogdanovic,B. Bogdanovic,,,,,,,3.55,Made,2.0,,,,,,,,,,,,,,,
18,PT09M41.00S,2021-10-21T01:16:28.6Z,1,REGULAR,3pt,Jump Shot,[],1628983,31.488173455978973,34.068627450980394,1610612760,7,2,2021-10-21T01:16:33Z,180000,80.0,243.0,1,left,MISS S. Gilgeous-Alexander 25' 3PT,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,25.62,Missed,,,,,,,,,,,,,,,,
19,PT09M40.00S,2021-10-21T01:16:29.6Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,7,2,2021-10-21T01:16:33Z,190000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,
20,PT09M34.00S,2021-10-21T01:16:36.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,66.5735873850197,13.725490196078432,1610612762,7,2,2021-10-21T01:16:42Z,200000,-181.0,262.0,1,right,MISS D. Mitchell 31' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,,,31.84,Missed,,,,,,,,,,,,,,,,
21,PT09M33.00S,2021-10-21T01:16:37.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,7,2,2021-10-21T01:16:42Z,210000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
22,PT09M33.00S,2021-10-21T01:16:40.2Z,1,REGULAR,foul,personal,[],1628983,,,1610612762,7,2,2021-10-21T01:16:49Z,220000,,,0,,S. Gilgeous-Alexander loose ball personal FOUL (1 PF),"[1628983, 202711]",1610612760.0,OKC,loose ball,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,1626300.0,,,,,,,,,,,,1.0,0.0,Bogdanovic,202711.0,,,,
24,PT09M25.00S,2021-10-21T01:17:08.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201144,83.39356110381078,31.127450980392158,1610612762,7,2,2021-10-21T01:17:19Z,240000,-94.0,104.0,1,right,MISS M. Conley 14' driving floating Shot,[201144],1610612762.0,UTA,driving floating,,,Conley,M. Conley,,,,,,,14.02,Missed,,,,,,,,,,,,,,,,
25,PT09M22.00S,2021-10-21T01:17:11.7Z,1,REGULAR,rebound,offensive,[],203497,,,1610612762,7,2,2021-10-21T01:17:16Z,250000,,,0,,R. Gobert REBOUND (Off:1 Def:2),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,24.0,3.0,2.0,1.0,,,,,,,,
26,PT09M21.00S,2021-10-21T01:17:11.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,92.19776609724047,49.50980392156863,1610612762,9,2,2021-10-21T01:17:22Z,260000,-2.0,21.0,1,right,R. Gobert tip Layup (4 PTS),[203497],1610612762.0,UTA,tip,,,Gobert,R. Gobert,,,,,,,2.09,Made,4.0,,,,,,,,,,,,,,,
27,PT09M12.00S,2021-10-21T01:17:21.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629652,10.33180026281209,49.754901960784316,1610612760,9,4,2021-10-21T01:17:37Z,270000,1.0,45.0,1,left,L. Dort driving floating Jump Shot (2 PTS),[1629652],1610612760.0,OKC,driving floating,,,Dort,L. Dort,,,,,,,4.46,Made,2.0,,,,,,,,,,,,,,,
28,PT09M03.00S,2021-10-21T01:17:30.7Z,1,REGULAR,3pt,Jump Shot,[],1628378,68.41327201051249,36.51960784313725,1610612762,9,4,2021-10-21T01:17:35Z,280000,-67.0,244.0,1,right,MISS D. Mitchell 25' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,,,25.35,Missed,,,,,,,,,,,,,,,,
