actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-11-03T01:10:10.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-03T01:10:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-03T01:10:13.2Z,1,REGULAR,jumpball,recovered,[],203090,,,1610612758,0,0,2021-11-03T01:10:13Z,40000,,,0,,Jump Ball R. Holmes vs. R. Gobert: Tip to M. Harkless,"[203090, 1626158, 203497]",1610612758.0,SAC,startperiod,M. Harkless,203090.0,Harkless,M. Harkless,Holmes,1626158.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-11-03T01:10:22.8Z,1,REGULAR,2pt,Jump Shot,[],1628368,25.969119579500656,54.65686274509803,1610612758,0,0,2021-11-03T01:10:29Z,70000,-23.0,192.0,1,left,MISS D. Fox 19' step back Shot,[1628368],1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,19.3,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-11-03T01:10:24.8Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,0,0,2021-11-03T01:10:29Z,80000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2021-11-03T01:10:30.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628378,92.72339027595268,54.90196078431373,1610612762,2,0,2021-11-03T01:10:38Z,90000,25.0,16.0,1,right,D. Mitchell running Layup (2 PTS),[1628378],1610612762.0,UTA,running,,,Mitchell,D. Mitchell,,,,,2.92,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M27.00S,2021-11-03T01:10:43.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203084,7.835085413929041,56.127450980392155,1610612758,2,0,2021-11-03T01:10:48Z,100000,-31.0,21.0,1,left,MISS H. Barnes driving Hook,[203084],1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,3.72,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2021-11-03T01:10:45.4Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,2,0,2021-11-03T01:10:48Z,110000,,,0,,R. O'Neale REBOUND (Off:0 Def:2),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,10.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
12,PT11M18.00S,2021-11-03T01:10:52.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201144,91.01511169513797,53.67647058823529,1610612762,2,0,2021-11-03T01:11:00Z,120000,18.0,32.0,1,right,MISS M. Conley driving Layup,[201144],1610612762.0,UTA,driving,,,Conley,M. Conley,,,,,3.69,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2021-11-03T01:10:53.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,2,0,2021-11-03T01:11:00Z,130000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2021-11-03T01:10:55.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,2,0,2021-11-03T01:10:55Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M16.00S,2021-11-03T01:11:14.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628378,77.21747700394218,9.558823529411764,1610612762,2,0,2021-11-03T01:11:20Z,150000,-202.0,162.0,1,right,MISS D. Mitchell 25' 3PT,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,25.89,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M12.00S,2021-11-03T01:11:18.6Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612758,2,0,2021-11-03T01:11:20Z,160000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT11M01.00S,2021-11-03T01:11:29.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,11.908672798948752,44.36274509803921,1610612758,2,0,2021-11-03T01:11:34Z,170000,28.0,59.0,1,left,MISS D. Fox 6' driving floating bank Shot,[1628368],1610612758.0,SAC,driving floating bank,,,Fox,D. Fox,,,,,6.58,Missed,,,,,,,,,,,,,,,,,,,
