actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-02-03T03:13:01.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-03T03:13:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-03T03:13:04.7Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2022-02-03T03:13:04Z,40000,,,0,,Jump Ball U. Azubuike vs. J. Green: Tip to R. O'Neale,"[1626220, 1628962, 201145]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Azubuike,1628962.0,Green,201145.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-02-03T03:13:19.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,86.28449408672799,41.66666666666667,1610612762,0,0,2022-02-03T03:13:24Z,70000,-42.0,76.0,1,right,MISS M. Conley 8' driving floating Shot,[201144],1610612762.0,UTA,driving floating,,,Conley,M. Conley,,,,,8.7,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-02-03T03:13:21.1Z,1,REGULAR,rebound,defensive,[],1630192,,,1610612743,0,0,2022-02-03T03:13:24Z,80000,,,0,,Z. Nnaji REBOUND (Off:0 Def:1),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2022-02-03T03:13:26.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203115,14.14257555847569,41.66666666666667,1610612743,0,0,2022-02-03T03:13:34Z,90000,42.0,80.0,1,left,MISS W. Barton 9' floating Shot,[203115],1610612743.0,DEN,floating,,,Barton,W. Barton,,,,,9.06,Missed,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2022-02-03T03:13:30.9Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,0,0,2022-02-03T03:13:34Z,100000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M12.00S,2022-02-03T03:13:49.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626220,89.70105124835742,48.03921568627451,1610612762,2,0,2022-02-03T03:14:00Z,110000,-10.0,44.0,1,right,R. O'Neale driving finger roll Layup (2 PTS) (B. Bogdanovic 1 AST),"[1626220, 202711]",1610612762.0,UTA,driving finger roll,,,O'Neale,R. O'Neale,,,,,4.54,Made,,,,,2.0,B. Bogdanovic,202711.0,1.0,,,,,,,,,,
13,PT10M55.00S,2022-02-03T03:14:04.8Z,1,REGULAR,3pt,Jump Shot,[],203085,28.465834428383708,78.43137254901961,1610612743,2,0,2022-02-03T03:14:10Z,130000,-142.0,215.0,1,left,MISS A. Rivers 25' 3PT,[203085],1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,25.79,Missed,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2022-02-03T03:14:05.8Z,1,REGULAR,rebound,defensive,[],1628962,,,1610612762,2,0,2022-02-03T03:14:10Z,140000,,,0,,U. Azubuike REBOUND (Off:0 Def:1),[1628962],1610612762.0,UTA,,,,Azubuike,U. Azubuike,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M49.00S,2022-02-03T03:14:15.1Z,1,REGULAR,foul,personal,[],201145,,,1610612762,2,0,2022-02-03T03:14:23Z,150000,,,0,,J. Green personal FOUL (1 PF),"[201145, 1626220]",1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,200833.0,1.0,0.0,O'Neale,1626220.0,,,,,
17,PT10M33.00S,2022-02-03T03:14:49.5Z,1,REGULAR,2pt,Jump Shot,[],201144,92.85479632063075,73.0392156862745,1610612762,2,0,2022-02-03T03:14:54Z,170000,115.0,15.0,1,right,MISS M. Conley 11' turnaround Shot,[201144],1610612762.0,UTA,turnaround,,,Conley,M. Conley,,,,,11.61,Missed,,,,,,,,,,,,,,,,,,
18,PT10M30.00S,2022-02-03T03:14:52.5Z,1,REGULAR,rebound,defensive,[],1630192,,,1610612743,2,0,2022-02-03T03:14:54Z,180000,,,0,,Z. Nnaji REBOUND (Off:0 Def:2),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,,,
19,PT10M23.00S,2022-02-03T03:15:01.8Z,1,REGULAR,foul,personal,['2freethrow'],202711,,,1610612743,2,0,2022-02-03T03:15:08Z,190000,,,0,,B. Bogdanovic shooting personal FOUL (1 PF) (Green 2 FT),"[202711, 201145]",1610612762.0,UTA,shooting,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,203593.0,1.0,0.0,Green,201145.0,,,,,
21,PT10M23.00S,2022-02-03T03:15:28.3Z,1,REGULAR,freethrow,1 of 2,[],201145,,,1610612743,2,1,2022-02-03T03:15:28Z,210000,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
22,PT10M23.00S,2022-02-03T03:15:44.5Z,1,REGULAR,freethrow,2 of 2,[],201145,,,1610612743,2,2,2022-02-03T03:15:44Z,220000,,,0,,J. Green Free Throw 2 of 2 (2 PTS),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
