actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-13T02:10:20.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-13T02:10:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-13T02:10:22.6Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612762,0,0,2022-01-13T02:10:22Z,40000,,,0,,Jump Ball R. O'Neale vs. J. Allen: Tip to D. Mitchell,"[1628378, 1626220, 1628386]",1610612762.0,UTA,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,O'Neale,1626220.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-01-13T02:10:41.3Z,1,REGULAR,3pt,Jump Shot,[],1628378,30.929697766097235,93.62745098039215,1610612762,0,0,2022-01-13T02:10:48Z,70000,-218.0,238.0,1,left,MISS D. Mitchell 32' 3PT,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,32.3,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-01-13T02:10:44.3Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,0,0,2022-01-13T02:10:48Z,80000,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2022-01-13T02:10:52.3Z,1,REGULAR,foul,personal,[],1628378,,,1610612739,0,0,2022-01-13T02:11:13Z,90000,,,0,,D. Mitchell personal FOUL (1 PF),"[1628378, 1628386]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,1146.0,1.0,0.0,Allen,1628386.0,,,,,,,,,
13,PT11M15.00S,2022-01-13T02:11:36.0Z,1,REGULAR,2pt,Jump Shot,[],1628374,88.09132720105124,69.36274509803921,1610612739,0,0,2022-01-13T02:11:40Z,130000,97.0,59.0,1,right,MISS L. Markkanen 11' turnaround Shot,[1628374],1610612739.0,CLE,turnaround,,,Markkanen,L. Markkanen,,,,,11.36,Missed,,,,,,,,,,,,,,,,,,
14,PT11M11.00S,2022-01-13T02:11:40.0Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,0,0,2022-01-13T02:11:40Z,140000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M01.00S,2022-01-13T02:11:48.9Z,1,REGULAR,3pt,Jump Shot,[],204060,18.05190538764782,94.8529411764706,1610612762,0,0,2022-01-13T02:11:55Z,150000,-224.0,117.0,1,left,MISS J. Ingles 25' step back 3PT,[204060],1610612762.0,UTA,step back,,,Ingles,J. Ingles,,,,,25.31,Missed,,,,,,,,,,,,,,,,,,
16,PT10M58.00S,2022-01-13T02:11:51.9Z,1,REGULAR,rebound,offensive,[],201144,,,1610612762,0,0,2022-01-13T02:11:51Z,160000,,,0,,M. Conley REBOUND (Off:1 Def:0),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
17,PT10M53.00S,2022-01-13T02:11:59.0Z,1,REGULAR,foul,personal,[],1630596,,,1610612762,0,0,2022-01-13T02:12:15Z,170000,,,0,,E. Mobley personal FOUL (1 PF),"[1630596, 1628378]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,1627963.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,
19,PT10M53.00S,2022-01-13T02:12:24.8Z,1,REGULAR,stoppage,blood rule,[],0,,,1610612762,0,0,2022-01-13T02:12:24Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M41.00S,2022-01-13T02:13:34.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201144,15.292378449408673,60.294117647058826,1610612762,0,0,2022-01-13T02:14:27Z,200000,-51.0,91.0,1,left,MISS M. Conley 10' driving floating Shot,[201144],1610612762.0,UTA,driving floating,,,Conley,M. Conley,,,,,10.47,Missed,,,,,,,,,,,,,,,,,,
21,PT10M39.00S,2022-01-13T02:13:36.9Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,0,2022-01-13T02:13:39Z,210000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M24.00S,2022-01-13T02:13:51.7Z,1,REGULAR,turnover,bad pass,[],1630596,,,1610612739,0,0,2022-01-13T02:13:56Z,220000,,,0,,E. Mobley bad pass TURNOVER (1 TO),"[1630596, 1626220]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,1.0,O'Neale,1626220.0,,,,,,
23,PT10M24.00S,2022-01-13T02:13:51.7Z,1,REGULAR,steal,,[],1626220,,,1610612762,0,0,2022-01-13T02:13:54Z,230000,,,0,,R. O'Neale STEAL (1 STL),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M21.00S,2022-01-13T02:13:55.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",204060,28.43298291721419,21.568627450980387,1610612762,0,0,2022-01-13T02:15:15Z,240000,142.0,215.0,1,left,MISS J. Ingles 25' running 3PT,[204060],1610612762.0,UTA,running,,,Ingles,J. Ingles,,,,,25.76,Missed,,,,,,,,,,,,,,,,,,
25,PT10M18.00S,2022-01-13T02:13:58.6Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,0,2022-01-13T02:14:03Z,250000,,,0,,E. Mobley REBOUND (Off:0 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,,
26,PT10M12.00S,2022-01-13T02:14:08.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,0,0,2022-01-13T02:14:08Z,260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M10.00S,2022-01-13T02:14:19.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,94.66162943495401,55.3921568627451,1610612739,0,2,2022-01-13T02:14:25Z,270000,27.0,-2.0,1,right,L. Markkanen cutting Layup (2 PTS) (L. Stevens 1 AST),"[1628374, 1630205]",1610612739.0,CLE,cutting,,,Markkanen,L. Markkanen,,,,,2.71,Made,,,,,,,,,,,,,2.0,L. Stevens,1630205.0,1.0,,
