actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-12T02:11:20.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-12T02:11:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-12T02:11:24.6Z,1,REGULAR,jumpball,recovered,[],1627763,,,1610612754,0,0,2021-11-12T02:11:24Z,40000,,,0,,Jump Ball M. Turner vs. R. Gobert: Tip to M. Brogdon,"[1627763, 1626167, 203497]",1610612754.0,IND,startperiod,M. Brogdon,1627763.0,Brogdon,M. Brogdon,Turner,1626167.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-11-12T02:11:37.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630537,14.668199737187912,46.07843137254902,1610612754,0,0,2021-11-12T02:36:23Z,70000,20.0,85.0,1,left,MISS C. Duarte 8' driving floating Shot,[1630537],1610612754.0,IND,driving floating,,,Duarte,C. Duarte,,,,,8.76,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-11-12T02:11:39.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,0,0,2021-11-12T02:11:47Z,80000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2021-11-12T02:11:46.1Z,1,REGULAR,3pt,Jump Shot,[],202711,94.82588699080158,3.431372549019608,1610612762,3,0,2021-11-12T02:11:51Z,90000,-233.0,-4.0,1,right,B. Bogdanovic 3PT  (3 PTS) (D. Mitchell 1 AST),"[202711, 1628378]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,23.28,Made,,,,,3.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,
11,PT11M22.00S,2021-11-12T02:11:57.1Z,1,REGULAR,3pt,Jump Shot,[],203200,28.203022339027594,75.49019607843137,1610612754,3,3,2021-11-12T02:12:08Z,110000,-127.0,213.0,1,left,J. Holiday 24' 3PT  (3 PTS) (D. Sabonis 1 AST),"[203200, 1627734]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,24.79,Made,,,,,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,
12,PT11M05.00S,2021-11-12T02:12:14.2Z,1,REGULAR,3pt,Jump Shot,[],1628378,70.77858081471747,72.54901960784314,1610612762,6,3,2021-11-12T02:12:18Z,120000,113.0,222.0,1,right,D. Mitchell 24' 3PT  (3 PTS) (R. O'Neale 1 AST),"[1628378, 1626220]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,24.91,Made,,,,,3.0,R. O'Neale,1626220.0,1.0,,,,,,,,,,
16,PT10M49.00S,2021-11-12T02:12:30.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627734,16.90210249671485,48.77450980392157,1610612754,6,3,2021-11-12T02:12:41Z,150000,6.0,106.0,1,left,MISS D. Sabonis 10' Jump Shot,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,10.66,Missed,,,,,,,,,,,,,,,,,,
17,PT10M47.00S,2021-11-12T02:12:33.2Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,6,3,2021-11-12T02:12:33Z,160000,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,
18,PT10M40.00S,2021-11-12T02:12:42.7Z,1,REGULAR,foul,personal,[],1627734,,,1610612762,6,3,2021-11-12T02:12:49Z,170000,,,0,,D. Sabonis personal FOUL (1 PF),"[1627734, 203497]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,1626300.0,1.0,0.0,Gobert,203497.0,,,,,
