actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-02-26T02:10:30.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-26T02:10:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-26T02:10:31.9Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2022-02-26T02:10:31Z,40000,,,0,,Jump Ball R. Gobert vs. D. Powell: Tip to R. O'Neale,"[1626220, 203497, 203939]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-02-26T02:10:46.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202711,91.40932982917214,55.14705882352941,1610612762,2,0,2022-02-26T02:10:51Z,70000,26.0,28.0,1,right,B. Bogdanovic driving Layup (2 PTS) (R. Gobert 1 AST),"[202711, 203497]",1610612762.0,UTA,driving,,,Bogdanovic,B. Bogdanovic,,,,,3.82,Made,2.0,R. Gobert,203497.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-02-26T02:11:03.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,5.601182654402102,52.94117647058824,1610612742,2,2,2022-02-26T02:11:10Z,90000,-15.0,0.0,1,left,D. Powell alley-oop DUNK (2 PTS) (L. Doncic 1 AST),"[203939, 1629029]",1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,1.47,Made,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,
11,PT11M14.00S,2022-02-26T02:11:14.8Z,1,REGULAR,2pt,Jump Shot,[],1628378,92.59198423127464,79.65686274509804,1610612762,2,2,2022-02-26T02:11:20Z,110000,148.0,17.0,1,right,MISS D. Mitchell 14' step back Shot,[1628378],1610612762.0,UTA,step back,,,Mitchell,D. Mitchell,,,,,14.93,Missed,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2022-02-26T02:11:16.8Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,2,2,2022-02-26T02:11:20Z,120000,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M57.00S,2022-02-26T02:11:32.3Z,1,REGULAR,3pt,Jump Shot,[],203493,3.892904073587385,3.6764705882352944,1610612742,2,5,2022-02-26T02:11:37Z,130000,232.0,-16.0,1,left,R. Bullock 3PT  (3 PTS) (L. Doncic 2 AST),"[203493, 1629029]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,23.21,Made,3.0,L. Doncic,1629029.0,2.0,,,,,,,,,,,,,,
15,PT10M41.00S,2022-02-26T02:11:48.0Z,1,REGULAR,turnover,bad pass,[],202711,,,1610612762,2,5,2022-02-26T02:11:52Z,150000,,,0,,B. Bogdanovic bad pass TURNOVER (1 TO),"[202711, 1629029]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,1.0,Doncic,1629029.0,,,,,,,
16,PT10M41.00S,2022-02-26T02:11:48.0Z,1,REGULAR,steal,,[],1629029,,,1610612742,2,5,2022-02-26T02:11:49Z,160000,,,0,,L. Doncic STEAL (1 STL),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M36.00S,2022-02-26T02:11:52.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628973,7.440867279894875,55.14705882352941,1610612742,2,7,2022-02-26T02:12:01Z,170000,-26.0,17.0,1,left,J. Brunson running Layup (2 PTS) (L. Doncic 3 AST),"[1628973, 1629029]",1610612742.0,DAL,running,,,Brunson,J. Brunson,,,,,3.1,Made,2.0,L. Doncic,1629029.0,3.0,,,,,,,,,,,,,,
