actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-27T03:10:56.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-27T03:10:56Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-27T03:10:58.7Z,1,REGULAR,jumpball,recovered,[],202711,,,1610612762,0,0,2022-01-27T03:10:58Z,40000,,,0,,Jump Ball H. Whiteside vs. B. Biyombo: Tip to B. Bogdanovic,"[202711, 202355, 202687]",1610612762.0,UTA,startperiod,B. Bogdanovic,202711.0,Bogdanovic,B. Bogdanovic,Whiteside,202355.0,Biyombo,202687.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-01-27T03:11:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626220,7.966491458607096,43.872549019607845,1610612762,2,0,2022-01-27T03:11:16Z,70000,31.0,22.0,1,left,R. O'Neale cutting Layup (2 PTS) (M. Conley 1 AST),"[1626220, 201144]",1610612762.0,UTA,cutting,,,O'Neale,R. O'Neale,,,,,3.79,Made,2.0,M. Conley,201144.0,1.0,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-01-27T03:11:22.2Z,1,REGULAR,2pt,Jump Shot,[],1629661,76.82325886990802,49.01960784313725,1610612756,2,0,2022-01-27T03:11:27Z,90000,-5.0,165.0,1,right,MISS C. Johnson 16' pullup Shot,[1629661],1610612756.0,PHX,pullup,,,Johnson,C. Johnson,,,,,16.55,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2022-01-27T03:11:26.2Z,1,REGULAR,rebound,defensive,[],202355,,,1610612762,2,0,2022-01-27T03:11:27Z,100000,,,0,,H. Whiteside REBOUND (Off:0 Def:1),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M25.00S,2022-01-27T03:11:36.1Z,1,REGULAR,turnover,palming,[],202711,,,1610612762,2,0,2022-01-27T03:11:44Z,110000,,,0,,B. Bogdanovic palming TURNOVER (1 TO),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,1626301.0,1.0,,,,,,,,,
12,PT11M15.00S,2022-01-27T03:11:52.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626164,92.19776609724047,22.794117647058822,1610612756,2,2,2022-01-27T03:12:20Z,120000,-136.0,21.0,1,right,D. Booker 13' fadeaway Jump Shot (2 PTS) (C. Paul 1 AST),"[1626164, 101108]",1610612756.0,PHX,fadeaway,,,Booker,D. Booker,,,,,13.76,Made,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,,
14,PT10M53.00S,2022-01-27T03:12:13.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,18.2161629434954,47.549019607843135,1610612762,2,2,2022-01-27T03:12:19Z,140000,12.0,119.0,1,left,MISS B. Bogdanovic 11' step back Shot,[202711],1610612762.0,UTA,step back,,,Bogdanovic,B. Bogdanovic,,,,,11.93,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M51.00S,2022-01-27T03:12:15.8Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,2,2,2022-01-27T03:12:19Z,150000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
16,PT10M43.00S,2022-01-27T03:12:24.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202687,85.49605781865965,46.81372549019608,1610612756,2,2,2022-01-27T03:12:29Z,160000,-16.0,84.0,1,right,MISS B. Biyombo 8' floating Shot,[202687],1610612756.0,PHX,floating,,,Biyombo,B. Biyombo,,,,,8.53,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M41.00S,2022-01-27T03:12:26.8Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,2,2,2022-01-27T03:12:29Z,170000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M20.00S,2022-01-27T03:12:48.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,19.004599211563733,45.588235294117645,1610612762,2,2,2022-01-27T03:12:53Z,180000,22.0,126.0,1,left,MISS M. Conley 12' pullup Shot,[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,12.8,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M17.00S,2022-01-27T03:12:51.1Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,2,2,2022-01-27T03:12:53Z,190000,,,0,,D. Booker REBOUND (Off:0 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,,
