actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2021-11-19T02:09:56.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-19T02:09:56Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-19T02:09:59.2Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2021-11-19T02:09:59Z,40000,,,0,,Jump Ball R. Gobert vs. S. Barnes: Tip to R. O'Neale,"[1626220, 203497, 1630567]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-11-19T02:10:15.7Z,1,REGULAR,3pt,Jump Shot,[],202711,93.9060446780552,96.56862745098039,1610612762,0,0,2021-11-19T02:10:19Z,70000,233.0,5.0,1,right,MISS B. Bogdanovic 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,23.28,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2021-11-19T02:10:21.3Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,0,0,2021-11-19T02:10:21Z,80000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2021-11-19T02:10:26.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,28.597240473061763,24.264705882352942,1610612761,0,0,2021-11-19T02:10:31Z,90000,129.0,216.0,1,left,MISS F. VanVleet 25' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,25.17,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2021-11-19T02:10:32.5Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,0,0,2021-11-19T02:10:32Z,100000,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M22.00S,2021-11-19T02:10:34.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630567,21.50131406044678,7.598039215686274,1610612761,0,0,2021-11-19T02:10:35Z,110000,212.0,150.0,1,left,MISS S. Barnes 25' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,25.95,Missed,,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2021-11-19T02:10:36.6Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,0,0,2021-11-19T02:10:36Z,120000,,,0,,S. Barnes REBOUND (Off:2 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,11.0,2.0,0.0,2.0,,,,,,,,,,,,,,
13,PT11M13.00S,2021-11-19T02:10:42.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627783,8.886333771353483,54.90196078431373,1610612761,0,0,2021-11-19T02:34:39Z,130000,-25.0,31.0,1,left,MISS P. Siakam driving Layup - blocked,"[1627783, 203497]",1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,3.95,Missed,,,,,Gobert,203497.0,,,,,,,,,,,,
14,PT11M13.00S,2021-11-19T02:10:42.1Z,1,REGULAR,block,,[],203497,,,1610612761,0,0,2021-11-19T02:10:46Z,140000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
