actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-16T03:16:03.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-16T03:16:03Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-16T03:16:06.0Z,1,REGULAR,jumpball,recovered,[],202711,,,1610612762,0,0,2021-12-16T03:16:06Z,40000,,,0,,Jump Ball R. Gobert vs. I. Zubac: Tip to B. Bogdanovic,"[202711, 203497, 1627826]",1610612762.0,UTA,startperiod,B. Bogdanovic,202711.0,Bogdanovic,B. Bogdanovic,Gobert,203497.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-12-16T03:16:18.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,5.256241787122208,35.78048406862745,1610612762,2,0,2021-12-16T03:16:57Z,70000,71.0,-3.0,1,left,D. Mitchell 7' turnaround Jump Shot (2 PTS) (R. Gobert 1 AST),"[1628378, 203497]",1610612762.0,UTA,turnaround,,,Mitchell,D. Mitchell,,,,,7.12,Made,2.0,R. Gobert,203497.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2021-12-16T03:16:44.3Z,1,REGULAR,foul,personal,['2freethrow'],1626220,,,1610612746,2,0,2021-12-16T03:16:50Z,90000,,,0,,R. O'Neale shooting personal FOUL (1 PF) (Morris Sr. 2 FT),"[1626220, 202694]",1610612762.0,UTA,shooting,,,O'Neale,R. O'Neale,,,,,,,,,,,200833.0,1.0,0.0,Morris Sr.,202694.0,,,,,,,,,
11,PT11M19.00S,2021-12-16T03:17:13.8Z,1,REGULAR,freethrow,1 of 2,[],202694,,,1610612746,2,0,2021-12-16T03:17:13Z,110000,,,0,,MISS M. Morris Sr. Free Throw 1 of 2,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,Missed,,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2021-12-16T03:17:13.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612746,2,0,2021-12-16T03:17:13Z,120000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,
13,PT11M19.00S,2021-12-16T03:17:34.6Z,1,REGULAR,freethrow,2 of 2,[],202694,,,1610612746,2,1,2021-12-16T03:17:34Z,130000,,,0,,M. Morris Sr. Free Throw 2 of 2 (1 PTS),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2021-12-16T03:17:50.7Z,1,REGULAR,3pt,Jump Shot,[],202711,28.86005256241787,73.77450980392157,1610612762,5,1,2021-12-16T03:17:56Z,140000,-119.0,219.0,1,left,B. Bogdanovic 24' 3PT  (3 PTS) (M. Conley 1 AST),"[202711, 201144]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,24.9,Made,3.0,M. Conley,201144.0,1.0,,,,,,,,,,,,,,
16,PT10M40.00S,2021-12-16T03:18:14.8Z,1,REGULAR,3pt,Jump Shot,[],1628379,69.33311432325887,29.411764705882355,1610612746,5,4,2021-12-16T03:18:20Z,160000,-103.0,236.0,1,right,L. Kennard 25' 3PT pullup (3 PTS),[1628379],1610612746.0,LAC,pullup,,,Kennard,L. Kennard,,,,,25.73,Made,3.0,,,,,,,,,,,,,,,,,
17,PT10M30.00S,2021-12-16T03:18:25.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,16.245072273324574,57.107843137254896,1610612762,5,4,2021-12-16T03:18:54Z,170000,-36.0,100.0,1,left,MISS M. Conley 10' driving floating Shot,[201144],1610612762.0,UTA,driving floating,,,Conley,M. Conley,,,,,10.63,Missed,,,,,,,,,,,,,,,,,,
