actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-08T01:40:44.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-08T01:40:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-08T01:40:46.6Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2026-03-08T01:40:46Z,40000,False,,,0,,Jump Ball A. Horford vs. J. Williams: Tip to D. Green,"[203110, 201143, 1631119]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Horford,201143.0,Williams,1631119.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-03-08T01:40:57.8Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,0,0,2026-03-08T01:41:02Z,70000,False,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1629652]",1610612744.0,GSW,,,,Green,D. Green,,,,,Mid-Range,8-16 Left,1.0,Dort,1629652.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2026-03-08T01:40:57.8Z,1,REGULAR,steal,,[],1629652,,,1610612760,0,0,2026-03-08T01:40:59Z,80000,False,,,0,,L. Dort STEAL (1 STL),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2026-03-08T01:41:05.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641717,69.72733245729303,26.225490196078432,1610612760,3,0,2026-03-08T01:41:39Z,90000,False,-119.0,232.0,1,right,C. Wallace 26' 3PT pullup (3 PTS) (J. Williams 1 AST),"[1641717, 1631119]",1610612760.0,OKC,pullup,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Left Center,,,,26.08,Made,3.0,J. Williams,1631119.0,1.0,,,,,,,,,,,
11,PT11M22.00S,2026-03-08T01:41:21.0Z,1,REGULAR,3pt,Jump Shot,[],1641764,30.56833114323259,23.284313725490197,1610612744,3,0,2026-03-08T01:41:28Z,110000,False,134.0,235.0,1,left,MISS B. Podziemski 27' 3PT,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Right Center,,,,27.01,Missed,,,,,,,,,,,,,,,
12,PT11M16.00S,2026-03-08T01:41:27.0Z,1,REGULAR,rebound,defensive,[],1630198,,,1610612760,3,0,2026-03-08T01:41:28Z,120000,False,,,0,,I. Joe REBOUND (Off:0 Def:1),[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,
13,PT11M11.00S,2026-03-08T01:41:31.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628983,67.49342969776609,70.09803921568627,1610612760,3,0,2026-03-08T01:42:02Z,130000,False,100.0,253.0,1,right,MISS S. Gilgeous-Alexander 27' running pullup 3PT,[1628983],1610612760.0,OKC,running pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Right Center,,,,27.23,Missed,,,,,,,,,,,,,,,
14,PT11M10.00S,2026-03-08T01:41:32.5Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,3,0,2026-03-08T01:41:36Z,140000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT11M04.00S,2026-03-08T01:41:39.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641764,21.23850197109067,89.2156862745098,1610612744,3,0,2026-03-08T01:42:39Z,150000,False,-196.0,147.0,1,left,MISS B. Podziemski 24' running 3PT,[1641764],1610612744.0,GSW,running,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Left Center,,,,24.51,Missed,,,,,,,,,,,,,,,
