actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-11-13T02:48:03.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-13T02:48:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-13T02:48:05.8Z,1,REGULAR,jumpball,recovered,[],1629060,,,1610612747,0,0,2025-11-13T02:48:05Z,40000,False,,,0,,Jump Ball D. Ayton vs. C. Holmgren: Tip to R. Hachimura,"[1629060, 1629028, 1631096]",1610612747.0,LAL,startperiod,R. Hachimura,1629060.0,Hachimura,R. Hachimura,Ayton,1629028.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-11-13T02:48:17.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,90.3580814717477,50.73529411764706,1610612747,0,0,2025-11-13T02:49:33Z,70000,False,4.0,38.0,1,right,MISS D. Ayton cutting Layup - blocked,"[1629028, 1631096]",1610612747.0,LAL,cutting,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,3.83,Missed,Holmgren,1631096.0,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-11-13T02:48:17.6Z,1,REGULAR,block,,[],1631096,,,1610612747,0,0,2025-11-13T02:48:20Z,80000,False,,,0,,C. Holmgren BLOCK (1 BLK),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2025-11-13T02:48:20.6Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,0,0,2025-11-13T02:48:22Z,90000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M37.00S,2025-11-13T02:48:25.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642349,12.434296977660972,4.166666666666666,1610612760,0,0,2025-11-13T02:50:13Z,100000,False,229.0,64.0,1,left,MISS A. Mitchell running 3PT,[1642349],1610612760.0,OKC,running,,,Mitchell,A. Mitchell,,,,,Right Corner 3,24+ Right,23.81,Missed,,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2025-11-13T02:48:30.5Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,0,0,2025-11-13T02:48:31Z,110000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Right Corner 3,24+ Right,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M24.00S,2025-11-13T02:48:37.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,92.9862023653088,52.450980392156865,1610612747,0,2,2025-11-13T02:50:46Z,120000,False,12.0,13.0,1,right,L. Dončić driving Layup (2 PTS),[1629029],1610612747.0,LAL,driving,,,Dončić,L. Dončić,,,,,Restricted Area,0-8 Center,1.82,Made,,,,,,,2.0,,,,,,,,,,,
13,PT10M58.00S,2025-11-13T02:49:03.9Z,1,REGULAR,2pt,Jump Shot,[],1631096,6.521024967148489,81.12745098039215,1610612760,0,2,2025-11-13T02:49:11Z,130000,False,-156.0,9.0,1,left,MISS C. Holmgren 15' step back Shot,[1631096],1610612760.0,OKC,step back,,,Holmgren,C. Holmgren,,,,,Mid-Range,8-16 Left,15.58,Missed,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2025-11-13T02:49:08.9Z,1,REGULAR,rebound,defensive,[],203935,,,1610612747,0,2,2025-11-13T02:49:11Z,140000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,Mid-Range,8-16 Left,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,
