actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-02-13T00:43:05.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-13T00:43:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-13T00:43:07.5Z,1,REGULAR,jumpball,recovered,[],1641717,,,1610612760,0,0,2026-02-13T00:43:07Z,40000,False,,,0,,Jump Ball C. Holmgren vs. J. Sims: Tip to C. Wallace,"[1641717, 1631096, 1630579]",1610612760.0,OKC,startperiod,C. Wallace,1641717.0,Wallace,C. Wallace,Holmgren,1631096.0,Sims,1630579.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-02-13T00:43:20.8Z,1,REGULAR,2pt,Jump Shot,[],1631096,5.732588699080158,33.82352941176471,1610612760,0,0,2026-02-13T00:43:24Z,70000,False,81.0,1.0,1,left,MISS C. Holmgren 8' turnaround fadeaway Shot,[1631096],1610612760.0,OKC,turnaround fadeaway,,,Holmgren,C. Holmgren,,,,,Mid-Range,0-8 Center,8.09,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2026-02-13T00:43:21.8Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612749,0,0,2026-02-13T00:43:24Z,80000,False,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2026-02-13T00:43:44.6Z,1,REGULAR,foul,offensive,[],1630579,,,1610612749,0,0,2026-02-13T00:43:52Z,90000,False,,,0,,J. Sims offensive FOUL (1 PF),"[1630579, 1641717]",1610612749.0,MIL,,,,Sims,J. Sims,,,,,Mid-Range,8-16 Right,,,,,,,204059.0,1.0,0.0,Wallace,1641717.0,,,,,,,,,
11,PT11M23.00S,2026-02-13T00:43:44.6Z,1,REGULAR,turnover,offensive foul,[],1630579,,,1610612749,0,0,2026-02-13T00:43:44Z,110000,False,,,0,,J. Sims offensive foul TURNOVER (1 TO),[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,Mid-Range,8-16 Right,,,,,,,204059.0,,,,,1.0,,,,,,,,
12,PT11M05.00S,2026-02-13T00:44:15.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630198,31.61957950065703,60.049019607843135,1610612760,3,0,2026-02-13T00:44:19Z,120000,False,-50.0,245.0,1,left,I. Joe 24' 3PT  (3 PTS) (C. Wallace 1 AST),"[1630198, 1641717]",1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Center,24.98,Made,,,,,,,,,,,3.0,C. Wallace,1641717.0,1.0,,,,
14,PT10M46.00S,2026-02-13T00:44:34.0Z,1,REGULAR,3pt,Jump Shot,[],1631260,68.41327201051249,42.8921568627451,1610612749,3,3,2026-02-13T00:44:38Z,140000,False,-36.0,244.0,1,right,A. Green 24' 3PT pullup (3 PTS),[1631260],1610612749.0,MIL,pullup,,,Green,A. Green,,,,,Above the Break 3,24+ Center,24.7,Made,,,,,,,,,,,3.0,,,,,,,
15,PT10M36.00S,2026-02-13T00:44:45.1Z,1,REGULAR,3pt,Jump Shot,[],1631096,31.225361366622867,67.40196078431373,1610612760,3,3,2026-02-13T00:44:48Z,150000,False,-87.0,241.0,1,left,MISS C. Holmgren 25' 3PT,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,25.62,Missed,,,,,,,,,,,,,,,,,,
16,PT10M34.00S,2026-02-13T00:44:47.1Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612749,3,3,2026-02-13T00:44:48Z,160000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
