actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-14T01:12:31.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-14T01:12:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-14T01:12:33.3Z,1,REGULAR,jumpball,recovered,[],1642264,,,1610612759,0,0,2026-01-14T01:12:33Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. C. Holmgren: Tip to S. Castle,"[1642264, 1641705, 1631096]",1610612759.0,SAS,startperiod,S. Castle,1642264.0,Castle,S. Castle,Wembanyama,1641705.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-01-14T01:12:44.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642264,93.38042049934296,49.01960784313725,1610612759,0,2,2026-01-14T01:12:47Z,70000,False,-5.0,10.0,1,right,S. Castle driving DUNK (2 PTS),[1642264],1610612759.0,SAS,driving,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,1.09,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2026-01-14T01:13:00.8Z,1,REGULAR,foul,personal,['2freethrow'],203084,,,1610612760,0,2,2026-01-14T01:13:07Z,80000,False,,,0,,H. Barnes shooting personal FOUL (1 PF) (Holmgren 2 FT),"[203084, 1631096]",1610612759.0,SAS,shooting,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,,,,204059.0,1.0,0.0,Holmgren,1631096.0,,,,,,,,,,,,
10,PT11M31.00S,2026-01-14T01:13:28.1Z,1,REGULAR,freethrow,1 of 2,[],1631096,,,1610612760,1,2,2026-01-14T01:13:28Z,100000,False,,,0,,C. Holmgren Free Throw 1 of 2 (1 PTS),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
11,PT11M31.00S,2026-01-14T01:13:51.5Z,1,REGULAR,freethrow,2 of 2,[],1631096,,,1610612760,2,2,2026-01-14T01:13:51Z,110000,False,,,0,,C. Holmgren Free Throw 2 of 2 (2 PTS),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2026-01-14T01:14:16.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641705,93.77463863337714,47.794117647058826,1610612759,2,4,2026-01-14T01:15:32Z,120000,False,-11.0,6.0,1,right,V. Wembanyama driving DUNK (2 PTS),[1641705],1610612759.0,SAS,driving,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,1.25,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M55.00S,2026-01-14T01:14:28.6Z,1,REGULAR,2pt,Jump Shot,[],1631114,7.30946123521682,23.774509803921568,1610612760,2,4,2026-01-14T01:14:33Z,130000,False,131.0,16.0,1,left,MISS J. Williams 13' fadeaway Shot,[1631114],1610612760.0,OKC,fadeaway,,,Williams,J. Williams,,,,,Mid-Range,8-16 Right,13.21,Missed,,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2026-01-14T01:14:31.6Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,2,4,2026-01-14T01:14:33Z,140000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Right,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M45.00S,2026-01-14T01:14:38.4Z,1,REGULAR,3pt,Jump Shot,[],203084,95.0886990801577,95.58823529411765,1610612759,2,4,2026-01-14T01:14:51Z,150000,False,228.0,-6.0,1,right,MISS H. Barnes 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Right Corner 3,24+ Right,22.8,Missed,,,,,,,,,,,,,,,,,,
