actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-02-22T18:10:55.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-22T18:10:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-02-22T18:10:58.4Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612739,0,0,2026-02-22T18:10:58Z,40000,False,,,0,,Jump Ball J. Allen vs. C. Holmgren: Tip to J. Harden,"[201935, 1628386, 1631096]",1610612739.0,CLE,startperiod,J. Harden,201935.0,Harden,J. Harden,Allen,1628386.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-02-22T18:11:07.7Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612739,0,0,2026-02-22T18:11:10Z,70000,False,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1630198]",1610612739.0,CLE,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,1.0,Joe,1630198.0,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2026-02-22T18:11:07.7Z,1,REGULAR,steal,,[],1630198,,,1610612760,0,0,2026-02-22T18:11:09Z,80000,False,,,0,,I. Joe STEAL (1 STL),[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2026-02-22T18:11:21.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641717,95.22010512483574,36.76470588235294,1610612760,0,0,2026-02-22T18:11:28Z,90000,False,-66.0,-8.0,1,right,MISS C. Wallace 6' driving Layup - blocked,"[1641717, 201935]",1610612760.0,OKC,driving,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),0-8 Center,,,,6.66,Missed,Harden,201935.0,,,,,,,,,,,,,
10,PT11M32.00S,2026-02-22T18:11:21.9Z,1,REGULAR,block,,[],201935,,,1610612760,0,0,2026-02-22T18:12:14Z,100000,False,,,0,,J. Harden BLOCK (1 BLK),[201935],1610612739.0,CLE,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M29.00S,2026-02-22T18:11:24.9Z,1,REGULAR,rebound,offensive,[],1641717,,,1610612760,0,0,2026-02-22T18:11:28Z,110000,False,,,0,,C. Wallace REBOUND (Off:1 Def:0),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,
12,PT11M28.00S,2026-02-22T18:11:26.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1631096,89.30683311432325,4.901960784313726,1610612760,3,0,2026-02-22T18:11:31Z,120000,False,-225.0,48.0,1,right,C. Holmgren 3PT  (3 PTS) (C. Wallace 1 AST),"[1631096, 1641717]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Left Corner 3,24+ Left,,,,23.06,Made,,,,,,,3.0,C. Wallace,1641717.0,1.0,,,,,
14,PT11M02.00S,2026-02-22T18:11:52.0Z,1,REGULAR,2pt,Jump Shot,[],1630596,11.383048620236531,33.57843137254902,1610612739,3,0,2026-02-22T18:11:57Z,140000,False,82.0,55.0,1,left,MISS E. Mobley 9' turnaround Shot,[1630596],1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Right,,,,9.85,Missed,,,,,,,,,,,,,,,
15,PT10M59.00S,2026-02-22T18:11:54.7Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,3,0,2026-02-22T18:11:54Z,150000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Right,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
16,PT10M54.00S,2026-02-22T18:11:59.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641717,95.87713534822602,4.166666666666666,1610612760,3,0,2026-02-22T18:15:07Z,160000,False,-229.0,-14.0,1,right,MISS C. Wallace running 3PT,[1641717],1610612760.0,OKC,running,,,Wallace,C. Wallace,,,,,Left Corner 3,24+ Left,,,,22.96,Missed,,,,,,,,,,,,,,,
17,PT10M52.00S,2026-02-22T18:12:01.6Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,3,0,2026-02-22T18:12:11Z,170000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Left Corner 3,24+ Left,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M40.00S,2026-02-22T18:12:16.6Z,1,REGULAR,turnover,out-of-bounds,[],1630596,,,1610612739,3,0,2026-02-22T18:12:21Z,180000,False,,,0,,E. Mobley lost ball out-of-bounds TURNOVER (1 TO),[1630596],1610612739.0,CLE,lost ball,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,,,,,,,1179.0,,,,
19,PT10M23.00S,2026-02-22T18:12:46.6Z,1,REGULAR,turnover,out-of-bounds,[],1629652,,,1610612760,3,0,2026-02-22T18:12:52Z,190000,False,,,0,,L. Dort bad pass out-of-bounds TURNOVER (1 TO),[1629652],1610612760.0,OKC,bad pass,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,1.0,,,,,,,,,,,,,,,202901.0,,,,
20,PT10M16.00S,2026-02-22T18:13:02.7Z,1,REGULAR,foul,offensive,[],201935,,,1610612739,3,0,2026-02-22T18:13:12Z,200000,False,,,0,,J. Harden offensive FOUL (1 PF),"[201935, 1641717]",1610612739.0,CLE,,,,Harden,J. Harden,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,2534.0,1.0,0.0,Wallace,1641717.0
