actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-12-30T01:10:31.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-30T01:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-30T01:10:34.9Z,1,REGULAR,jumpball,recovered,[],1641717,,,1610612760,0,0,2025-12-30T01:10:34Z,40000,False,,,0,,Jump Ball C. Holmgren vs. O. Okongwu: Tip to C. Wallace,"[1641717, 1631096, 1630168]",1610612760.0,OKC,startperiod,C. Wallace,1641717.0,Wallace,C. Wallace,Holmgren,1631096.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
324,PT11M48.00S,2025-12-30T01:11:36.2Z,1,REGULAR,turnover,lost ball,[],1631114,,,1610612760,0,0,2025-12-30T02:00:58Z,105000,False,,,0,,J. Williams lost ball TURNOVER (1 TO),"[1631114, 1629638]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,1.0,Alexander-Walker,1629638.0,,,,,,,,,,,,,,,,,
325,PT11M48.00S,2025-12-30T01:11:36.2Z,1,REGULAR,steal,,[],1629638,,,1610612737,0,0,2025-12-30T02:00:58Z,107500,False,,,0,,N. Alexander-Walker STEAL (1 STL),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M43.00S,2025-12-30T01:11:38.6Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630249,87.46714848883047,95.83333333333334,1610612737,0,0,2025-12-30T02:00:58Z,110000,False,229.0,65.0,1,right,MISS V. Krejčí running 3PT,[1630249],1610612737.0,ATL,running,,,Krejčí,V. Krejčí,,,,,Right Corner 3,24+ Right,,,,23.83,Missed,,,,,,,,,,,,,,,
12,PT11M38.00S,2025-12-30T01:11:43.6Z,1,REGULAR,rebound,offensive,[],1630700,,,1610612737,0,0,2025-12-30T01:11:45Z,120000,False,,,0,,D. Daniels REBOUND (Off:1 Def:0),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Right Corner 3,24+ Right,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,
13,PT11M38.00S,2025-12-30T01:11:44.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'fromturnover']",1630700,94.40999984741211,50.0,1610612737,0,2,2025-12-30T02:00:58Z,130000,False,0.0,0.0,1,right,D. Daniels tip Layup (2 PTS),[1630700],1610612737.0,ATL,tip,,,Daniels,D. Daniels,,,,,Mid-Range,8-16 Left,,,,0.0,Made,,,,,2.0,,,,,,,,,,
14,PT11M29.00S,2025-12-30T01:11:52.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631096,10.068988173455978,52.450980392156865,1610612760,0,2,2025-12-30T03:03:54Z,140000,False,-12.0,42.0,1,left,MISS C. Holmgren driving floating Shot - blocked,"[1631096, 1630700]",1610612760.0,OKC,driving floating,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,4.39,Missed,,,,,,Daniels,1630700.0,,,,,,,,
15,PT11M29.00S,2025-12-30T01:11:52.9Z,1,REGULAR,block,,[],1630700,,,1610612760,0,2,2025-12-30T01:12:02Z,150000,False,,,0,,D. Daniels BLOCK (1 BLK),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT11M25.00S,2025-12-30T01:11:56.9Z,1,REGULAR,rebound,offensive,[],1631096,,,1610612760,0,2,2025-12-30T01:12:17Z,160000,False,,,0,,C. Holmgren REBOUND (Off:1 Def:0),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,
17,PT11M23.00S,2025-12-30T01:11:58.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628983,10.988830486202366,75.49019607843137,1610612760,2,2,2025-12-30T01:12:17Z,170000,False,-127.0,51.0,1,left,S. Gilgeous-Alexander 13' Jump Shot (2 PTS) (C. Holmgren 1 AST),"[1628983, 1631096]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,,13.72,Made,,,,,2.0,,,C. Holmgren,1631096.0,1.0,,,,,
19,PT11M07.00S,2025-12-30T01:12:14.7Z,1,REGULAR,3pt,Jump Shot,[],1630249,64.60249671484888,57.59803921568627,1610612737,2,5,2025-12-30T01:12:19Z,190000,False,38.0,280.0,1,right,V. Krejčí 28' 3PT  (3 PTS) (N. Alexander-Walker 1 AST),"[1630249, 1629638]",1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Above the Break 3,24+ Center,,,,28.28,Made,,,,,3.0,,,N. Alexander-Walker,1629638.0,1.0,,,,,
21,PT10M55.00S,2025-12-30T01:12:27.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,6.521024967148489,41.66666666666667,1610612760,4,5,2025-12-30T02:03:39Z,210000,False,42.0,9.0,1,left,S. Gilgeous-Alexander driving Layup (4 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,4.26,Made,,,,,4.0,,,,,,,,,,
