actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-04-05T23:12:25.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-05T23:12:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-04-05T23:12:28.4Z,1,REGULAR,jumpball,recovered,[],1642262,,,1610612762,0,0,2026-04-05T23:12:28Z,40000,False,,,0,,Jump Ball O. Tshiebwe vs. C. Holmgren: Tip to C. Williams,"[1642262, 1631131, 1631096]",1610612762.0,UTA,startperiod,C. Williams,1642262.0,Williams,C. Williams,Tshiebwe,1631131.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-04-05T23:12:44.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642271,10.33180026281209,45.83333333333333,1610612762,0,0,2026-04-05T23:12:48Z,70000,False,21.0,45.0,1,left,MISS K. Filipowski cutting Layup,[1642271],1610612762.0,UTA,cutting,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,4.92,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-04-05T23:12:45.9Z,1,REGULAR,rebound,offensive,[],1642271,,,1610612762,0,0,2026-04-05T23:12:45Z,80000,False,,,0,,K. Filipowski REBOUND (Off:1 Def:0),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2026-04-05T23:12:48.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1642271,12.302890932982917,33.088235294117645,1610612762,0,2,2026-04-05T23:13:05Z,90000,False,85.0,63.0,1,left,K. Filipowski 10' fadeaway Jump Shot (2 PTS),[1642271],1610612762.0,UTA,fadeaway,,,Filipowski,K. Filipowski,,,,,Mid-Range,8-16 Right,10.55,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M23.00S,2026-04-05T23:13:01.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628392,93.11760840998686,51.225490196078425,1610612760,0,2,2026-04-05T23:13:05Z,100000,False,6.0,12.0,1,right,MISS I. Hartenstein alley-oop DUNK,[1628392],1610612760.0,OKC,alley-oop,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,1.36,Missed,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2026-04-05T23:13:03.7Z,1,REGULAR,rebound,defensive,[],1641729,,,1610612762,0,2,2026-04-05T23:13:05Z,110000,False,,,0,,B. Sensabaugh REBOUND (Off:0 Def:1),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Restricted Area,0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M13.00S,2026-04-05T23:13:11.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642846,3.892904073587385,52.20588235294118,1610612762,0,2,2026-04-05T23:13:16Z,120000,False,-11.0,-16.0,1,left,MISS A. Bailey driving reverse Layup,[1642846],1610612762.0,UTA,driving reverse,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),0-8 Center,1.93,Missed,,,,,,,,,,,,,,,,,,
13,PT11M13.00S,2026-04-05T23:13:11.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,0,2,2026-04-05T23:13:16Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,12.0,,,,,,,,,,,,,,,,,
15,PT10M59.00S,2026-04-05T23:13:42.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1642271,14.011169513797633,32.1078431372549,1610612762,0,4,2026-04-05T23:13:47Z,150000,False,89.0,79.0,1,left,K. Filipowski 11' turnaround fadeaway Jump Shot (4 PTS),[1642271],1610612762.0,UTA,turnaround fadeaway,,,Filipowski,K. Filipowski,,,,,Mid-Range,8-16 Right,11.95,Made,,,,,4.0,,,,,,,,,,,,,
