actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-06T02:43:02.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-06T02:43:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-12-06T02:43:06.1Z,1,REGULAR,jumpball,recovered,[],1642948,,,1610612742,0,0,2025-12-06T02:43:06Z,40000,False,,,0,,Jump Ball A. Davis vs. C. Holmgren: Tip to R. Nembhard,"[1642948, 203076, 1631096]",1610612742.0,DAL,startperiod,R. Nembhard,1642948.0,Nembhard,R. Nembhard,Davis,203076.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2025-12-06T02:43:13.4Z,1,REGULAR,violation,kicked ball,[],1641717,,,1610612742,0,0,2025-12-06T02:43:18Z,70000,False,,,0,,C. Wallace kicked ball VIOLATION,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,201245.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2025-12-06T02:43:36.4Z,1,REGULAR,3pt,Jump Shot,[],1642948,95.74572930354796,95.09803921568627,1610612742,0,3,2025-12-06T02:43:42Z,80000,False,225.0,-13.0,1,right,R. Nembhard 3PT  (3 PTS) (C. Flagg 1 AST),"[1642948, 1642843]",1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,,Right Corner 3,24+ Right,22.58,Made,3.0,C. Flagg,1642843.0,1.0,,,,,,,,,,,,,
11,PT11M16.00S,2025-12-06T02:44:28.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,6.915243101182654,49.26470588235294,1610612760,2,3,2025-12-06T02:44:43Z,110000,False,4.0,13.0,1,left,S. Gilgeous-Alexander cutting Layup (2 PTS) (J. Williams 1 AST),"[1628983, 1631119]",1610612760.0,OKC,cutting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Restricted Area,0-8 Center,1.3,Made,2.0,J. Williams,1631119.0,1.0,,,,,,,,,,,,,
13,PT11M02.00S,2025-12-06T02:44:40.0Z,1,REGULAR,3pt,Jump Shot,[],1630230,96.92838370565046,3.1862745098039214,1610612742,2,3,2025-12-06T02:44:44Z,130000,False,-234.0,-24.0,1,right,MISS N. Marshall 3PT,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,Left Corner 3,24+ Left,23.53,Missed,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2025-12-06T02:44:42.0Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,2,3,2025-12-06T02:44:44Z,140000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,Left Corner 3,24+ Left,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT10M52.00S,2025-12-06T02:44:50.5Z,1,REGULAR,turnover,lost ball,[],1631114,,,1610612760,2,3,2025-12-06T02:44:55Z,150000,False,,,0,,J. Williams lost ball TURNOVER (1 TO),"[1631114, 1630230]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,Marshall,1630230.0,,,,,,
16,PT10M52.00S,2025-12-06T02:44:50.5Z,1,REGULAR,steal,,[],1630230,,,1610612742,2,3,2025-12-06T02:44:52Z,160000,False,,,0,,N. Marshall STEAL (1 STL),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,
17,PT10M49.00S,2025-12-06T02:44:54.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630230,92.85479632063075,52.20588235294118,1610612742,2,5,2025-12-06T02:45:00Z,170000,False,11.0,15.0,1,right,N. Marshall running Layup (2 PTS),[1630230],1610612742.0,DAL,running,,,Marshall,N. Marshall,,,,,,Restricted Area,0-8 Center,1.84,Made,2.0,,,,,,,,,,,,,,,,
