actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-10-31T00:10:24.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-31T00:10:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-10-31T00:10:27.6Z,1,REGULAR,jumpball,recovered,[],1641731,,,1610612764,0,0,2025-10-31T00:10:27Z,40000,False,,,0,,Jump Ball A. Sarr vs. I. Hartenstein: Tip to B. Coulibaly,"[1641731, 1642259, 1628392]",1610612764.0,WAS,startperiod,B. Coulibaly,1641731.0,Coulibaly,B. Coulibaly,Sarr,1642259.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-10-31T00:10:38.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642259,90.3580814717477,57.35294117647059,1610612764,0,0,2025-10-31T00:11:40Z,70000,False,37.0,38.0,1,right,MISS A. Sarr floating Shot,[1642259],1610612764.0,WAS,floating,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,5.3,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-10-31T00:10:40.4Z,1,REGULAR,rebound,offensive,[],203114,,,1610612764,0,0,2025-10-31T00:11:03Z,80000,False,,,0,,K. Middleton REBOUND (Off:1 Def:0),[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M40.00S,2025-10-31T00:10:44.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203114,89.96386333771353,34.55882352941176,1610612764,0,2,2025-10-31T00:12:33Z,90000,False,-77.0,42.0,1,right,K. Middleton 8' turnaround bank Jump Shot (2 PTS),[203114],1610612764.0,WAS,turnaround bank,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Left,8.78,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M24.00S,2025-10-31T00:11:00.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641717,7.046649145860711,61.274509803921575,1610612760,0,2,2025-10-31T00:13:43Z,100000,False,-56.0,14.0,1,left,MISS C. Wallace driving Layup,[1641717],1610612760.0,OKC,driving,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),0-8 Center,5.8,Missed,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2025-10-31T00:11:02.2Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612760,0,2,2025-10-31T00:13:43Z,110000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:0),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M20.00S,2025-10-31T00:11:03.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628392,5.601182654402102,47.549019607843135,1610612760,0,2,2025-10-31T00:11:22Z,120000,False,12.0,0.0,1,left,MISS I. Hartenstein Layup,[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,1.23,Missed,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2025-10-31T00:11:05.6Z,1,REGULAR,rebound,offensive,[],1641717,,,1610612760,0,2,2025-10-31T00:11:22Z,130000,False,,,0,,C. Wallace REBOUND (Off:1 Def:0),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M16.00S,2025-10-31T00:11:08.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628983,32.53942181340342,52.450980392156865,1610612760,0,2,2025-10-31T00:11:24Z,140000,False,-12.0,253.0,1,left,MISS S. Gilgeous-Alexander 25' 3PT,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Center,25.37,Missed,,,,,,,,,,,,,,,,,,
