actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-04-13T00:40:29.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-13T00:40:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-13T00:40:36.6Z,1,REGULAR,jumpball,recovered,[],0,,,1610612760,0,0,2026-04-13T00:40:36Z,40000,False,,,0,,Jump Ball B. Carlson vs. O. Ighodaro: Tip to Team (OKC),"[1642382, 1642345]",1610612760.0,OKC,startperiod,Team (OKC),Carlson,1642382.0,Ighodaro,1642345.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2026-04-13T00:40:55.9Z,1,REGULAR,3pt,Jump Shot,[],1629652,33.065045992115635,56.86274509803921,1610612760,0,0,2026-04-13T00:41:01Z,80000,False,-34.0,258.0,1,left,MISS L. Dort 26' 3PT,[1629652],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Center,26.06,Missed,Dort,L. Dort,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2026-04-13T00:40:59.9Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,0,0,2026-04-13T00:41:01Z,90000,False,,,0,,R. Dunn REBOUND (Off:0 Def:1),[1642346],1610612756.0,PHX,,,,,,,Above the Break 3,24+ Center,,,Dunn,R. Dunn,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M29.00S,2026-04-13T00:41:08.9Z,1,REGULAR,3pt,Jump Shot,[],1631123,66.5735873850197,41.42156862745098,1610612756,0,3,2026-04-13T00:41:13Z,100000,False,-43.0,262.0,1,right,J. Bouyea 26' 3PT pullup (3 PTS) (R. Dunn 1 AST),"[1631123, 1642346]",1610612756.0,PHX,pullup,,,,,,Above the Break 3,24+ Center,26.52,Made,Bouyea,J. Bouyea,,,,,3.0,R. Dunn,1642346.0,1.0,,,,,,,,,,
12,PT11M15.00S,2026-04-13T00:41:22.0Z,1,REGULAR,3pt,Jump Shot,[],1642272,6.915243101182654,4.166666666666666,1610612760,0,3,2026-04-13T00:41:25Z,120000,False,229.0,13.0,1,left,MISS J. McCain 3PT,[1642272],1610612760.0,OKC,,,,,,,Right Corner 3,24+ Right,22.95,Missed,McCain,J. McCain,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2026-04-13T00:41:23.0Z,1,REGULAR,rebound,defensive,[],1642345,,,1610612756,0,3,2026-04-13T00:41:25Z,130000,False,,,0,,O. Ighodaro REBOUND (Off:0 Def:1),[1642345],1610612756.0,PHX,,,,,,,Right Corner 3,24+ Right,,,Ighodaro,O. Ighodaro,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M09.00S,2026-04-13T00:41:29.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631123,94.69448094612353,51.470588235294116,1610612756,0,5,2026-04-13T00:41:34Z,140000,False,7.0,-3.0,1,right,J. Bouyea running Layup (5 PTS) (O. Ighodaro 1 AST),"[1631123, 1642345]",1610612756.0,PHX,running,,,,,,Restricted Area,0-8 Center,0.78,Made,Bouyea,J. Bouyea,,,,,5.0,O. Ighodaro,1642345.0,1.0,,,,,,,,,,
15,PT10M57.00S,2026-04-13T00:41:40.7Z,1,REGULAR,3pt,Jump Shot,[],1629652,15.325229960578188,4.411764705882353,1610612760,3,5,2026-04-13T00:41:45Z,150000,False,228.0,92.0,1,left,L. Dort 24' 3PT  (3 PTS) (N. Topić 1 AST),"[1629652, 1642260]",1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right,24.56,Made,Dort,L. Dort,,,,,3.0,N. Topić,1642260.0,1.0,,,,,,,,,,
17,PT10M35.00S,2026-04-13T00:42:02.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631123,93.64323258869908,43.872549019607845,1610612756,3,5,2026-04-13T00:42:07Z,170000,False,-31.0,7.0,1,right,MISS J. Bouyea driving Layup,[1631123],1610612756.0,PHX,driving,,,,,,Restricted Area,0-8 Center,3.15,Missed,Bouyea,J. Bouyea,,,,,,,,,,,,,,,,,,
18,PT10M34.00S,2026-04-13T00:42:03.6Z,1,REGULAR,rebound,defensive,[],1642272,,,1610612760,3,5,2026-04-13T00:42:07Z,180000,False,,,0,,J. McCain REBOUND (Off:0 Def:1),[1642272],1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,,,McCain,J. McCain,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M28.00S,2026-04-13T00:42:09.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642272,5.601182654402102,47.549019607843135,1610612760,5,5,2026-04-13T00:42:14Z,190000,False,12.0,0.0,1,left,J. McCain running Layup (2 PTS),[1642272],1610612760.0,OKC,running,,,,,,Restricted Area,0-8 Center,1.23,Made,McCain,J. McCain,,,,,2.0,,,,,,,,,,,,,
20,PT10M11.00S,2026-04-13T00:42:27.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642345,91.01511169513797,59.55882352941176,1610612756,5,5,2026-04-13T00:42:30Z,200000,False,48.0,32.0,1,right,MISS O. Ighodaro floating Shot,[1642345],1610612756.0,PHX,floating,,,,,,In The Paint (Non-RA),0-8 Center,5.75,Missed,Ighodaro,O. Ighodaro,,,,,,,,,,,,,,,,,,
21,PT10M09.00S,2026-04-13T00:42:29.3Z,1,REGULAR,rebound,defensive,[],1642382,,,1610612760,5,5,2026-04-13T00:42:30Z,210000,False,,,0,,B. Carlson REBOUND (Off:0 Def:1),[1642382],1610612760.0,OKC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Carlson,B. Carlson,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M00.00S,2026-04-13T00:42:37.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642272,5.863994743758213,44.85294117647059,1610612760,5,5,2026-04-13T00:42:43Z,220000,False,26.0,3.0,1,left,MISS J. McCain driving Layup - blocked,"[1642272, 1642346]",1610612760.0,OKC,driving,,,,,,Restricted Area,0-8 Center,2.58,Missed,McCain,J. McCain,,,,,,,,,Dunn,1642346.0,,,,,,,,
23,PT10M00.00S,2026-04-13T00:42:37.8Z,1,REGULAR,block,,[],1642346,,,1610612760,5,5,2026-04-13T00:42:39Z,230000,False,,,0,,R. Dunn BLOCK (1 BLK),[1642346],1610612756.0,PHX,,,,,,,Restricted Area,0-8 Center,,,Dunn,R. Dunn,,,,,,,,,,,,,,,,,,
24,PT09M58.00S,2026-04-13T00:42:39.8Z,1,REGULAR,rebound,offensive,[],1642382,,,1610612760,5,5,2026-04-13T00:42:43Z,240000,False,,,0,,B. Carlson REBOUND (Off:1 Def:1),[1642382],1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,,,Carlson,B. Carlson,22.0,2.0,1.0,1.0,,,,,,,,,,,,,,
25,PT09M57.00S,2026-04-13T00:42:41.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642382,7.835085413929041,44.36274509803921,1610612760,5,5,2026-04-13T00:42:46Z,250000,False,28.0,21.0,1,left,MISS B. Carlson putback Layup - blocked,"[1642382, 1642345]",1610612760.0,OKC,putback,,,,,,Restricted Area,0-8 Center,3.52,Missed,Carlson,B. Carlson,,,,,,,,,Ighodaro,1642345.0,,,,,,,,
52,PT09M57.00S,2026-04-13T00:42:41.3Z,1,REGULAR,block,,[],1642345,,,1610612760,5,5,2026-04-13T00:47:45Z,255000,False,,,0,,O. Ighodaro BLOCK (1 BLK),[1642345],1610612756.0,PHX,,,,,,,Restricted Area,0-8 Center,,,Ighodaro,O. Ighodaro,,,,,,,,,,,,,,,,,,
26,PT09M56.00S,2026-04-13T00:42:42.3Z,1,REGULAR,rebound,defensive,[],1642345,,,1610612756,5,5,2026-04-13T00:42:46Z,260000,False,,,0,,O. Ighodaro REBOUND (Off:0 Def:2),[1642345],1610612756.0,PHX,,,,,,,Restricted Area,0-8 Center,,,Ighodaro,O. Ighodaro,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,
27,PT09M49.00S,2026-04-13T00:42:49.8Z,1,REGULAR,3pt,Jump Shot,[],1642346,94.82588699080158,95.34313725490196,1610612756,5,8,2026-04-13T00:42:53Z,270000,False,227.0,-4.0,1,right,R. Dunn 3PT  (3 PTS) (O. Ighodaro 2 AST),"[1642346, 1642345]",1610612756.0,PHX,,,,,,,Right Corner 3,24+ Right,22.67,Made,Dunn,R. Dunn,,,,,3.0,O. Ighodaro,1642345.0,2.0,,,,,,,,,,
29,PT09M34.00S,2026-04-13T00:43:04.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630598,11.645860709592641,62.5,1610612760,5,8,2026-04-13T00:43:08Z,290000,False,-62.0,57.0,1,left,MISS A. Wiggins 8' turnaround fadeaway Shot,[1630598],1610612760.0,OKC,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Left,8.46,Missed,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,
30,PT09M31.00S,2026-04-13T00:43:07.2Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,5,8,2026-04-13T00:43:08Z,300000,False,,,0,,R. Dunn REBOUND (Off:0 Def:2),[1642346],1610612756.0,PHX,,,,,,,In The Paint (Non-RA),8-16 Left,,,Dunn,R. Dunn,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,
32,PT09M13.00S,2026-04-13T00:43:24.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631123,83.39356110381078,50.73529411764706,1610612756,5,10,2026-04-13T00:43:28Z,310000,False,4.0,104.0,1,right,J. Bouyea 10' turnaround fadeaway Jump Shot (7 PTS),[1631123],1610612756.0,PHX,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,10.37,Made,Bouyea,J. Bouyea,,,,,7.0,,,,,,,,,,,,,
33,PT08M55.00S,2026-04-13T00:43:42.8Z,1,REGULAR,3pt,Jump Shot,[],1642260,8.09789750328515,3.9215686274509802,1610612760,5,10,2026-04-13T00:43:47Z,320000,False,230.0,24.0,1,left,MISS N. Topić 3PT,[1642260],1610612760.0,OKC,,,,,,,Right Corner 3,24+ Right,23.16,Missed,Topić,N. Topić,,,,,,,,,,,,,,,,,,
34,PT08M52.00S,2026-04-13T00:43:45.8Z,1,REGULAR,rebound,defensive,[],1642345,,,1610612756,5,10,2026-04-13T00:43:47Z,330000,False,,,0,,O. Ighodaro REBOUND (Off:0 Def:3),[1642345],1610612756.0,PHX,,,,,,,Right Corner 3,24+ Right,,,Ighodaro,O. Ighodaro,33.0,3.0,3.0,0.0,,,,,,,,,,,,,,
35,PT08M49.00S,2026-04-13T00:43:51.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631123,92.9862023653088,55.392156862745104,1610612756,5,10,2026-04-13T00:46:58Z,340000,False,27.0,13.0,1,right,MISS J. Bouyea running Layup - blocked,"[1631123, 1630598]",1610612756.0,PHX,running,,,,,,Restricted Area,0-8 Center,3.01,Missed,Bouyea,J. Bouyea,,,,,,,,,Wiggins,1630598.0,,,,,,,,
36,PT08M49.00S,2026-04-13T00:43:51.6Z,1,REGULAR,block,,[],1630598,,,1610612756,5,10,2026-04-13T00:44:15Z,350000,False,,,0,,A. Wiggins BLOCK (1 BLK),[1630598],1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,
37,PT08M47.00S,2026-04-13T00:43:53.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,5,10,2026-04-13T00:46:58Z,360000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,Restricted Area,0-8 Center,,,,,35.0,,,,,,,,,,,,,,,,,
39,PT08M35.00S,2026-04-13T00:44:19.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629599,84.05059132720105,66.42156862745098,1610612756,5,10,2026-04-13T00:44:24Z,380000,False,82.0,97.0,1,right,MISS A. Coffey 12' step back Shot,[1629599],1610612756.0,PHX,step back,,,,,,Mid-Range,8-16 Right,12.74,Missed,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,
40,PT08M33.00S,2026-04-13T00:44:21.4Z,1,REGULAR,rebound,defensive,[],1642272,,,1610612760,5,10,2026-04-13T00:44:24Z,390000,False,,,0,,J. McCain REBOUND (Off:0 Def:2),[1642272],1610612760.0,OKC,,,,,,,Mid-Range,8-16 Right,,,McCain,J. McCain,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,
41,PT08M26.00S,2026-04-13T00:44:28.7Z,1,REGULAR,3pt,Jump Shot,[],1642272,24.392247043363994,86.27450980392157,1610612760,5,10,2026-04-13T00:47:55Z,400000,False,-181.0,177.0,1,left,MISS J. McCain 25' step back 3PT,[1642272],1610612760.0,OKC,step back,,,,,,Above the Break 3,24+ Left Center,25.33,Missed,McCain,J. McCain,,,,,,,,,,,,,,,,,,
42,PT08M23.00S,2026-04-13T00:44:31.7Z,1,REGULAR,rebound,offensive,[],1642260,,,1610612760,5,10,2026-04-13T00:47:55Z,410000,False,,,0,,N. Topić REBOUND (Off:1 Def:0),[1642260],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,,,Topić,N. Topić,41.0,1.0,0.0,1.0,,,,,,,,,,,,,,
43,PT08M23.00S,2026-04-13T00:44:35.5Z,1,REGULAR,turnover,out-of-bounds,[],1642260,,,1610612760,5,10,2026-04-13T00:44:40Z,420000,False,,,0,,N. Topić bad pass out-of-bounds TURNOVER (1 TO),[1642260],1610612760.0,OKC,bad pass,,,,,,Mid-Range,8-16 Left,,,Topić,N. Topić,,,,,,,,,,,201639.0,1.0,,,,,,
44,PT08M09.00S,2026-04-13T00:45:00.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642346,80.23981603153744,92.8921568627451,1610612756,5,13,2026-04-13T00:45:05Z,430000,False,214.0,133.0,1,right,R. Dunn 25' 3PT  (6 PTS) (J. Bouyea 1 AST),"[1642346, 1631123]",1610612756.0,PHX,,,,,,,Above the Break 3,24+ Right Center,25.25,Made,Dunn,R. Dunn,,,,,6.0,J. Bouyea,1631123.0,1.0,,,,,,,,,,
47,PT07M50.00S,2026-04-13T00:45:33.6Z,1,REGULAR,2pt,Jump Shot,[],1630598,9.017739816031538,30.88235294117647,1610612760,5,13,2026-04-13T00:48:51Z,460000,False,96.0,32.0,1,left,MISS A. Wiggins 10' driving floating bank Shot,[1630598],1610612760.0,OKC,driving floating bank,,,,,,Mid-Range,8-16 Right,10.09,Missed,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,
48,PT07M48.00S,2026-04-13T00:45:35.6Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,5,13,2026-04-13T00:45:42Z,470000,False,,,0,,R. Dunn REBOUND (Off:0 Def:3),[1642346],1610612756.0,PHX,,,,,,,Mid-Range,8-16 Right,,,Dunn,R. Dunn,47.0,3.0,3.0,0.0,,,,,,,,,,,,,,
49,PT07M45.00S,2026-04-13T00:45:38.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629599,87.99277266754271,3.6764705882352944,1610612756,5,16,2026-04-13T00:45:46Z,480000,False,-232.0,60.0,1,right,A. Coffey 3PT running (3 PTS) (R. Dunn 2 AST),"[1629599, 1642346]",1610612756.0,PHX,running,,,,,,Left Corner 3,24+ Left,23.93,Made,Coffey,A. Coffey,,,,,3.0,R. Dunn,1642346.0,2.0,,,,,,,,,,
51,PT07M44.00S,2026-04-13T00:45:45.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,5,16,2026-04-13T00:45:45Z,500000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M23.00S,2026-04-13T00:48:58.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,11.12023653088042,41.42156862745098,1610612760,5,16,2026-04-13T00:49:03Z,510000,False,43.0,52.0,1,left,MISS A. Wiggins 6' driving Layup,[1630598],1610612760.0,OKC,driving,,,,,,In The Paint (Non-RA),0-8 Center,6.74,Missed,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,
54,PT07M21.00S,2026-04-13T00:49:00.7Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,5,16,2026-04-13T00:49:03Z,520000,False,,,0,,R. Dunn REBOUND (Off:0 Def:4),[1642346],1610612756.0,PHX,,,,,,,In The Paint (Non-RA),0-8 Center,,,Dunn,R. Dunn,53.0,4.0,4.0,0.0,,,,,,,,,,,,,,
55,PT07M16.00S,2026-04-13T00:49:05.9Z,1,REGULAR,3pt,Jump Shot,[],1642853,94.95729303547962,2.2058823529411766,1610612756,5,16,2026-04-13T00:49:11Z,530000,False,-239.0,-5.0,1,right,MISS R. Fleming 3PT,[1642853],1610612756.0,PHX,,,,,,,Left Corner 3,24+ Left,23.91,Missed,Fleming,R. Fleming,,,,,,,,,,,,,,,,,,
56,PT07M12.00S,2026-04-13T00:49:09.9Z,1,REGULAR,rebound,offensive,[],1642345,,,1610612756,5,16,2026-04-13T00:49:09Z,540000,False,,,0,,O. Ighodaro REBOUND (Off:1 Def:3),[1642345],1610612756.0,PHX,,,,,,,Left Corner 3,24+ Left,,,Ighodaro,O. Ighodaro,55.0,4.0,3.0,1.0,,,,,,,,,,,,,,
