actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-23T02:42:56.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-23T02:42:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-23T02:42:58.1Z,1,REGULAR,jumpball,recovered,[],1642907,,,1610612763,0,0,2025-12-23T02:42:58Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. B. Carlson: Tip to C. Coward,"[1642907, 1628991, 1642382]",1610612763.0,MEM,startperiod,C. Coward,1642907.0,Coward,C. Coward,Jackson Jr.,1628991.0,Carlson,1642382.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-12-23T02:43:22.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,83.26215505913272,58.08823529411765,1610612763,0,0,2025-12-23T02:43:30Z,80000,False,40.0,105.0,1,right,MISS J. Jackson Jr. 11' driving floating Shot,[1628991],1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Center,11.23,Missed,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2025-12-23T02:43:28.6Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,0,0,2025-12-23T02:43:30Z,90000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M29.00S,2025-12-23T02:43:35.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641717,4.02431011826544,52.69607843137255,1610612760,0,0,2025-12-23T02:43:41Z,100000,False,-13.0,-15.0,1,left,MISS C. Wallace driving finger roll Layup,[1641717],1610612760.0,OKC,driving finger roll,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),0-8 Center,2.0,Missed,,,,,,,,,,,,,,,,,,
11,PT11M27.00S,2025-12-23T02:43:37.0Z,1,REGULAR,rebound,defensive,[],1642907,,,1610612763,0,0,2025-12-23T02:43:41Z,110000,False,,,0,,C. Coward REBOUND (Off:0 Def:1),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,In The Paint (Non-RA),0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M20.00S,2025-12-23T02:43:45.2Z,1,REGULAR,3pt,Jump Shot,[],1629111,93.51182654402102,96.32352941176471,1610612763,0,3,2025-12-23T02:43:49Z,120000,False,232.0,8.0,1,right,J. Landale 3PT  (3 PTS) (C. Spencer 1 AST),"[1629111, 1642285]",1610612763.0,MEM,,,,Landale,J. Landale,,,,,Right Corner 3,24+ Right,23.18,Made,,,,,3.0,C. Spencer,1642285.0,1.0,,,,,,,,,,
14,PT11M05.00S,2025-12-23T02:43:59.8Z,1,REGULAR,3pt,Jump Shot,[],1631114,5.601182654402102,94.6078431372549,1610612760,0,3,2025-12-23T02:44:04Z,140000,False,-223.0,0.0,1,left,MISS J. Williams 3PT,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Left Corner 3,24+ Left,22.3,Missed,,,,,,,,,,,,,,,,,,
15,PT11M02.00S,2025-12-23T02:44:02.8Z,1,REGULAR,rebound,defensive,[],1642377,,,1610612763,0,3,2025-12-23T02:44:04Z,150000,False,,,0,,J. Wells REBOUND (Off:0 Def:1),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Left Corner 3,24+ Left,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M47.00S,2025-12-23T02:44:17.9Z,1,REGULAR,3pt,Jump Shot,[],1642285,78.66294349540078,5.88235294117647,1610612763,0,3,2025-12-23T02:44:23Z,160000,False,-221.0,148.0,1,right,MISS C. Spencer 26' 3PT,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Left Center,26.57,Missed,,,,,,,,,,,,,,,,,,
17,PT10M42.00S,2025-12-23T02:44:22.9Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,0,3,2025-12-23T02:44:23Z,170000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:2),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,
18,PT10M35.00S,2025-12-23T02:44:29.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,4.5499342969776615,59.31372549019608,1610612760,0,3,2025-12-23T02:46:01Z,180000,False,-47.0,-10.0,1,left,MISS S. Gilgeous-Alexander driving floating Shot,[1628983],1610612760.0,OKC,driving floating,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,4.76,Missed,,,,,,,,,,,,,,,,,,
