actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-28T20:40:48.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-28T20:40:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-12-28T20:40:51.9Z,1,REGULAR,jumpball,recovered,[],1631230,,,1610612755,0,0,2025-12-28T20:40:51Z,40000,False,,,0,,Jump Ball A. Drummond vs. C. Holmgren: Tip to D. Barlow,"[1631230, 203083, 1631096]",1610612755.0,PHI,startperiod,D. Barlow,1631230.0,Barlow,D. Barlow,Drummond,203083.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2025-12-28T20:40:59.3Z,1,REGULAR,turnover,bad pass,[],202331,,,1610612755,0,0,2025-12-28T20:41:02Z,70000,False,,,0,,P. George bad pass TURNOVER (1 TO),"[202331, 1628983]",1610612755.0,PHI,,,,George,P. George,,,,,Mid-Range,8-16 Right,1.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2025-12-28T20:40:59.3Z,1,REGULAR,steal,,[],1628983,,,1610612760,0,0,2025-12-28T20:41:00Z,80000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2025-12-28T20:41:08.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628983,16.90210249671485,35.78431372549019,1610612760,2,0,2025-12-28T20:41:12Z,90000,False,71.0,106.0,1,left,S. Gilgeous-Alexander 12' step back Jump Shot (2 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Right,,,,12.8,Made,2.0,,,,,,,,,,,,,,
10,PT11M17.00S,2025-12-28T20:41:29.5Z,1,REGULAR,2pt,Jump Shot,[],1642845,74.45795006570303,38.23529411764706,1610612755,2,2,2025-12-28T20:43:18Z,100000,False,-59.0,188.0,1,right,V. Edgecombe 19' step back Jump Shot (2 PTS),[1642845],1610612755.0,PHI,step back,,,Edgecombe,V. Edgecombe,,,,,Mid-Range,16-24 Center,,,,19.66,Made,2.0,,,,,,,,,,,,,,
12,PT10M52.00S,2025-12-28T20:41:54.4Z,1,REGULAR,2pt,Jump Shot,[],1631096,7.703679369250986,66.66666666666666,1610612760,4,2,2025-12-28T20:43:43Z,120000,False,-83.0,20.0,1,left,C. Holmgren 8' turnaround Jump Shot (2 PTS),[1631096],1610612760.0,OKC,turnaround,,,Holmgren,C. Holmgren,,,,,Mid-Range,8-16 Left,,,,8.56,Made,2.0,,,,,,,,,,,,,,
13,PT10M31.00S,2025-12-28T20:42:15.3Z,1,REGULAR,2pt,Jump Shot,[],202331,75.1149802890933,48.529411764705884,1610612755,4,2,2025-12-28T20:42:20Z,130000,False,-7.0,181.0,1,right,MISS P. George 18' pullup Shot,[202331],1610612755.0,PHI,pullup,,,George,P. George,,,,,Mid-Range,16-24 Center,,,,18.16,Missed,,,,,,,,,,,,,,,
14,PT10M29.00S,2025-12-28T20:42:17.3Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,4,2,2025-12-28T20:42:20Z,140000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Mid-Range,16-24 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M22.00S,2025-12-28T20:42:27.3Z,1,REGULAR,turnover,out-of-bounds,[],1629652,,,1610612760,4,2,2025-12-28T20:42:33Z,150000,False,,,0,,L. Dort step out-of-bounds TURNOVER (1 TO),[1629652],1610612760.0,OKC,step,,,Dort,L. Dort,,,,,Right Corner 3,24+ Right,1.0,,,,,,,,,,203591.0,,,,,,,,,
16,PT10M08.00S,2025-12-28T20:42:52.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,90.75229960578186,49.26470588235294,1610612755,4,4,2025-12-28T20:43:09Z,160000,False,-4.0,34.0,1,right,T. Maxey driving finger roll Layup (2 PTS) (V. Edgecombe 1 AST),"[1630178, 1642845]",1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,3.46,Made,2.0,,,,,,V. Edgecombe,1642845.0,1.0,,,,,,
17,PT09M53.00S,2025-12-28T20:43:07.3Z,1,REGULAR,3pt,Jump Shot,[],1629652,24.26084099868594,85.7843137254902,1610612760,7,4,2025-12-28T20:43:11Z,170000,False,-179.0,176.0,1,left,L. Dort 25' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1629652, 1628983]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,,,25.07,Made,3.0,,,,,,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,
19,PT09M32.00S,2025-12-28T20:43:30.9Z,1,REGULAR,foul,personal,['2freethrow'],1628392,,,1610612755,7,4,2025-12-28T20:43:41Z,190000,False,,,0,,I. Hartenstein shooting personal FOUL (1 PF) (Maxey 2 FT),"[1628392, 1630178]",1610612760.0,OKC,shooting,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Left,,,,,,,,,,,203591.0,,,,1.0,0.0,Maxey,1630178.0,,
22,PT09M32.00S,2025-12-28T20:44:04.1Z,1,REGULAR,freethrow,1 of 2,[],1630178,,,1610612755,7,5,2025-12-28T20:44:04Z,210000,False,,,0,,T. Maxey Free Throw 1 of 2 (3 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
23,PT09M32.00S,2025-12-28T20:44:21.8Z,1,REGULAR,freethrow,2 of 2,[],1630178,,,1610612755,7,6,2025-12-28T20:44:21Z,220000,False,,,0,,T. Maxey Free Throw 2 of 2 (4 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
24,PT09M20.00S,2025-12-28T20:44:36.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631114,5.469776609724048,48.529411764705884,1610612760,9,6,2025-12-28T20:44:40Z,230000,False,7.0,-1.0,1,left,J. Williams cutting DUNK (2 PTS) (I. Hartenstein 1 AST),"[1631114, 1628392]",1610612760.0,OKC,cutting,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,0.75,Made,2.0,,,,,,I. Hartenstein,1628392.0,1.0,,,,,,
26,PT09M06.00S,2025-12-28T20:44:49.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642845,80.89684625492772,38.72549019607843,1610612755,9,6,2025-12-28T20:44:54Z,250000,False,-56.0,127.0,1,right,MISS V. Edgecombe 13' driving floating Shot,[1642845],1610612755.0,PHI,driving floating,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),8-16 Center,,,,13.91,Missed,,,,,,,,,,,,,,,
27,PT09M03.00S,2025-12-28T20:44:52.4Z,1,REGULAR,rebound,offensive,[],1642845,,,1610612755,9,6,2025-12-28T20:44:54Z,260000,False,,,0,,V. Edgecombe REBOUND (Off:1 Def:0),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,26.0,1.0,0.0,1.0,,,,,,,,,,
28,PT09M01.00S,2025-12-28T20:44:55.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630178,63.288436268068324,48.03921568627451,1610612755,9,9,2025-12-28T20:44:59Z,270000,False,-10.0,293.0,1,right,T. Maxey 29' 3PT  (7 PTS) (V. Edgecombe 2 AST),"[1630178, 1642845]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,,,,29.28,Made,7.0,,,,,,V. Edgecombe,1642845.0,2.0,,,,,,
30,PT08M50.00S,2025-12-28T20:45:06.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628392,5.995400788436268,48.529411764705884,1610612760,11,9,2025-12-28T20:45:09Z,290000,False,7.0,4.0,1,left,I. Hartenstein alley-oop DUNK (2 PTS) (J. Williams 1 AST),"[1628392, 1631114]",1610612760.0,OKC,alley-oop,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,0.84,Made,2.0,,,,,,J. Williams,1631114.0,1.0,,,,,,
