actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-28T01:10:46.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-28T01:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-01-28T01:10:48.4Z,1,REGULAR,jumpball,recovered,[],1631119,,,1610612760,0,0,2026-01-28T01:10:48Z,40000,False,,,0,,Jump Ball C. Holmgren vs. D. Queen: Tip to J. Williams,"[1631119, 1631096, 1642852]",1610612760.0,OKC,startperiod,J. Williams,1631119.0,Williams,J. Williams,Holmgren,1631096.0,Queen,1642852.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-01-28T01:11:01.7Z,1,REGULAR,3pt,Jump Shot,[],1629652,27.283180026281208,20.098039215686274,1610612760,0,0,2026-01-28T01:11:06Z,70000,False,150.0,204.0,1,left,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,25.29,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2026-01-28T01:11:06.7Z,1,REGULAR,rebound,defensive,[],1642852,,,1610612740,0,0,2026-01-28T01:11:06Z,80000,False,,,0,,D. Queen REBOUND (Off:0 Def:1),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2026-01-28T01:11:15.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,83.52496714848883,50.49019607843137,1610612740,0,0,2026-01-28T01:11:20Z,90000,False,2.0,102.0,1,right,MISS S. Bey 10' turnaround fadeaway Shot,[1630180],1610612740.0,NOP,turnaround fadeaway,,,Bey,S. Bey,,,,,In The Paint (Non-RA),8-16 Center,10.24,Missed,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2026-01-28T01:11:18.8Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,0,0,2026-01-28T01:11:20Z,100000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),8-16 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M14.00S,2026-01-28T01:11:30.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630598,10.85742444152431,47.549019607843135,1610612760,0,0,2026-01-28T01:11:35Z,110000,False,12.0,50.0,1,left,MISS A. Wiggins pullup Shot - blocked,"[1630598, 1630530]",1610612760.0,OKC,pullup,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,5.11,Missed,,,,,Murphy III,1630530.0,,,,,,,,,,,,
12,PT11M14.00S,2026-01-28T01:11:30.9Z,1,REGULAR,block,,[],1630530,,,1610612760,0,0,2026-01-28T01:11:33Z,120000,False,,,0,,T. Murphy III BLOCK (1 BLK),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2026-01-28T01:11:32.9Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,0,0,2026-01-28T01:11:35Z,130000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M05.00S,2026-01-28T01:11:40.3Z,1,REGULAR,2pt,Jump Shot,[],1642852,79.05716162943496,36.76470588235294,1610612740,0,2,2026-01-28T01:11:44Z,140000,False,-66.0,144.0,1,right,D. Queen 15' Jump Shot (2 PTS) (T. Murphy III 1 AST),"[1642852, 1630530]",1610612740.0,NOP,,,,Queen,D. Queen,,,,,Mid-Range,8-16 Center,15.89,Made,,,,,,,2.0,T. Murphy III,1630530.0,1.0,,,,,,,,
