actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-24T01:10:42.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-24T01:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-24T01:10:46.4Z,1,REGULAR,jumpball,recovered,[],1641717,,,1610612760,0,0,2026-01-24T01:10:46Z,40000,False,,,0,,Jump Ball C. Holmgren vs. J. Walker: Tip to C. Wallace,"[1641717, 1631096, 1641716]",1610612760.0,OKC,startperiod,C. Wallace,1641717.0,Wallace,C. Wallace,Holmgren,1631096.0,Walker,1641716.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-01-24T01:10:59.4Z,1,REGULAR,2pt,Jump Shot,[],1631096,78.40013140604468,65.19607843137256,1610612760,2,0,2026-01-24T01:11:04Z,70000,False,76.0,151.0,1,right,C. Holmgren 16' turnaround fadeaway Jump Shot (2 PTS),[1631096],1610612760.0,OKC,turnaround fadeaway,,,Holmgren,C. Holmgren,,,,,Mid-Range,16-24 Right Center,16.86,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M35.00S,2026-01-24T01:11:10.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1630174,5.206964520367937,46.568627450980394,1610612754,2,2,2026-01-24T01:11:32Z,100000,False,17.0,-4.0,1,left,A. Nesmith Layup (2 PTS) (A. Nembhard 1 AST),"[1630174, 1629614]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,1.76,Made,2.0,A. Nembhard,1629614.0,1.0,,,,,,,,,,,,,,
11,PT11M35.00S,2026-01-24T01:11:13.6Z,1,REGULAR,violation,defensive goaltending,[],1631096,,,1610612754,2,2,2026-01-24T01:11:32Z,110000,False,,,0,,C. Holmgren defensive goaltending VIOLATION,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,201638.0,,,,,,,,,,,,,
12,PT11M22.00S,2026-01-24T01:11:33.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631096,93.11760840998686,50.98039215686274,1610612760,2,2,2026-01-24T01:11:39Z,120000,False,5.0,12.0,1,right,MISS C. Holmgren Layup,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,1.31,Missed,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2026-01-24T01:11:38.7Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,2,2,2026-01-24T01:11:39Z,130000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M05.00S,2026-01-24T01:11:49.8Z,1,REGULAR,3pt,Jump Shot,[],1642277,25.837713534822605,12.254901960784313,1610612754,2,2,2026-01-24T01:11:54Z,140000,False,189.0,190.0,1,left,MISS J. Furphy 26' 3PT,[1642277],1610612754.0,IND,,,,Furphy,J. Furphy,,,,,Above the Break 3,24+ Right Center,26.81,Missed,,,,,,,,,,,,,,,,,,
15,PT11M02.00S,2026-01-24T01:11:52.8Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,2,2,2026-01-24T01:11:54Z,150000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Right Center,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
16,PT10M55.00S,2026-01-24T01:12:00.5Z,1,REGULAR,2pt,Jump Shot,[],1628983,76.69185282522996,33.33333333333333,1610612760,2,2,2026-01-24T01:12:06Z,160000,False,-83.0,167.0,1,right,MISS S. Gilgeous-Alexander 18' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left Center,18.63,Missed,,,,,,,,,,,,,,,,,,
