actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-25T19:44:44.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-25T19:44:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-25T19:44:47.2Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612760,0,0,2025-12-25T19:44:47Z,40000,False,,,0,,Jump Ball C. Holmgren vs. L. Kornet: Tip to S. Gilgeous-Alexander,"[1628983, 1631096, 1628436]",1610612760.0,OKC,startperiod,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Holmgren,1631096.0,Kornet,1628436.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-12-25T19:44:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,5.206964520367937,46.568627450980394,1610612760,2,0,2025-12-25T19:45:04Z,70000,False,17.0,-4.0,1,left,J. Williams driving Layup (2 PTS),[1631114],1610612760.0,OKC,driving,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1.76,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2025-12-25T19:45:17.7Z,1,REGULAR,3pt,Jump Shot,[],1630170,67.36202365308804,59.80392156862745,1610612759,2,0,2025-12-25T19:45:22Z,80000,False,49.0,254.0,1,right,MISS D. Vassell 25' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,25.9,Missed,,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2025-12-25T19:45:21.7Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,2,0,2025-12-25T19:45:22Z,90000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M14.00S,2025-12-25T19:45:29.6Z,1,REGULAR,2pt,Jump Shot,[],1631114,19.92444152431012,33.33333333333333,1610612760,4,0,2025-12-25T19:45:33Z,100000,False,83.0,135.0,1,left,J. Williams 15' pullup Jump Shot (4 PTS),[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,Mid-Range,8-16 Right,15.85,Made,4.0,,,,,,,,,,,,,,,,,
11,PT11M02.00S,2025-12-25T19:45:44.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642264,84.97043363994744,51.470588235294116,1610612759,4,2,2025-12-25T19:45:49Z,110000,False,7.0,89.0,1,right,S. Castle 8' pullup Jump Shot (2 PTS),[1642264],1610612759.0,SAS,pullup,,,Castle,S. Castle,,,,,In The Paint (Non-RA),8-16 Center,8.91,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2025-12-25T19:45:46.6Z,1,REGULAR,foul,personal,['1freethrow'],1631114,,,1610612759,4,2,2025-12-25T19:45:54Z,120000,False,,,0,,J. Williams shooting personal FOUL (1 PF) (Castle 1 FT),"[1631114, 1642264]",1610612760.0,OKC,shooting,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,201246.0,1.0,0.0,Castle,1642264.0,,,,,,,,
14,PT11M02.00S,2025-12-25T19:46:12.0Z,1,REGULAR,freethrow,1 of 1,[],1642264,,,1610612759,4,2,2025-12-25T19:46:14Z,140000,False,,,0,,MISS S. Castle Free Throw 1 of 1,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2025-12-25T19:46:14.0Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,4,2,2025-12-25T19:46:14Z,150000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M44.00S,2025-12-25T19:46:29.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631096,7.046649145860711,58.82352941176471,1610612760,6,2,2025-12-25T19:46:34Z,160000,False,-44.0,14.0,1,left,C. Holmgren driving floating Jump Shot (2 PTS),[1631096],1610612760.0,OKC,driving floating,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,4.62,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M30.00S,2025-12-25T19:46:42.6Z,1,REGULAR,3pt,Jump Shot,[],203084,92.85479632063075,94.85294117647058,1610612759,6,5,2025-12-25T19:46:53Z,170000,False,224.0,15.0,1,right,H. Barnes 3PT  (3 PTS) (D. Fox 1 AST),"[203084, 1628368]",1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Right Corner 3,24+ Right,22.48,Made,3.0,,,,,,,,,,D. Fox,1628368.0,1.0,,,,,
19,PT10M10.00S,2025-12-25T19:47:02.3Z,1,REGULAR,turnover,lost ball,[],1631096,,,1610612760,6,5,2025-12-25T19:47:11Z,190000,False,,,0,,C. Holmgren lost ball TURNOVER (1 TO),"[1631096, 1628368]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,1.0,Fox,1628368.0,,
20,PT10M10.00S,2025-12-25T19:47:02.3Z,1,REGULAR,steal,,[],1628368,,,1610612759,6,5,2025-12-25T19:51:53Z,200000,False,,,0,,D. Fox STEAL (1 STL),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
21,PT10M05.00S,2025-12-25T19:47:07.4Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', 'fastbreak']",1628368,78.9257555847569,47.549019607843135,1610612759,6,7,2025-12-25T19:47:16Z,210000,False,-12.0,146.0,1,right,D. Fox 14' running pullup Jump Shot (2 PTS),[1628368],1610612759.0,SAS,running pullup,,,Fox,D. Fox,,,,,Mid-Range,8-16 Center,14.61,Made,2.0,,,,,,,,,,,,,,,,,
