actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-24T00:10:50.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-24T00:10:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-11-24T00:10:53.6Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612760,0,0,2025-11-24T00:10:53Z,40000,False,,,0,,Jump Ball C. Holmgren vs. D. Clingan: Tip to S. Gilgeous-Alexander,"[1628983, 1631096, 1642270]",1610612760.0,OKC,startperiod,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Holmgren,1631096.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-11-24T00:11:07.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628392,4.5499342969776615,52.450980392156865,1610612760,2,0,2025-11-24T00:11:12Z,70000,False,-12.0,-10.0,1,left,I. Hartenstein cutting Layup (2 PTS) (C. Holmgren 1 AST),"[1628392, 1631096]",1610612760.0,OKC,cutting,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,1.57,Made,2.0,C. Holmgren,1631096.0,1.0,,,,,,,,,,,,,,
9,PT11M18.00S,2025-11-24T00:11:31.1Z,1,REGULAR,turnover,lost ball,[],1631321,,,1610612757,2,0,2025-11-24T00:11:35Z,90000,False,,,0,,S. Cissoko lost ball TURNOVER (1 TO),"[1631321, 1628983]",1610612757.0,POR,,,,Cissoko,S. Cissoko,,,,,Mid-Range,8-16 Center,,,,,,,1.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,
10,PT11M18.00S,2025-11-24T00:11:31.1Z,1,REGULAR,steal,,[],1628983,,,1610612760,2,0,2025-11-24T00:11:32Z,100000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M08.00S,2025-11-24T00:11:40.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,24.78646517739816,14.950980392156863,1610612760,2,0,2025-11-24T00:11:47Z,110000,False,175.0,180.0,1,left,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,25.15,Missed,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2025-11-24T00:11:43.2Z,1,REGULAR,rebound,offensive,[],1631096,,,1610612760,2,0,2025-11-24T00:11:43Z,120000,False,,,0,,C. Holmgren REBOUND (Off:1 Def:0),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,
13,PT11M03.00S,2025-11-24T00:11:45.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628392,15.062417871222076,58.57843137254902,1610612760,4,0,2025-11-24T00:11:49Z,130000,False,-43.0,89.0,1,left,I. Hartenstein 9' floating Jump Shot (4 PTS) (C. Holmgren 2 AST),"[1628392, 1631096]",1610612760.0,OKC,floating,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,9.89,Made,4.0,C. Holmgren,1631096.0,2.0,,,,,,,,,,,,,,
15,PT10M48.00S,2025-11-24T00:12:00.3Z,1,REGULAR,3pt,Jump Shot,[],1630166,69.99014454664915,75.0,1610612757,4,0,2025-11-24T00:12:05Z,150000,False,125.0,230.0,1,right,MISS D. Avdija 26' 3PT,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,26.14,Missed,,,,,,,,,,,,,,,,,,
16,PT10M45.00S,2025-11-24T00:12:03.3Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,4,0,2025-11-24T00:12:05Z,160000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
17,PT10M44.00S,2025-11-24T00:12:05.3Z,1,REGULAR,turnover,bad pass,[],1628392,,,1610612760,4,0,2025-11-24T00:12:09Z,170000,False,,,0,,I. Hartenstein bad pass TURNOVER (1 TO),"[1628392, 1630166]",1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,Avdija,1630166.0,,,,,,,,,,,
18,PT10M44.00S,2025-11-24T00:12:05.3Z,1,REGULAR,steal,,[],1630166,,,1610612757,4,0,2025-11-24T00:12:06Z,180000,False,,,0,,D. Avdija STEAL (1 STL),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
19,PT10M40.00S,2025-11-24T00:12:09.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203924,94.82588699080158,94.6078431372549,1610612757,4,3,2025-11-24T03:43:15Z,190000,False,223.0,-4.0,1,right,J. Grant 3PT running (3 PTS) (D. Avdija 1 AST),"[203924, 1630166]",1610612757.0,POR,running,,,Grant,J. Grant,,,,,Right Corner 3,24+ Right,22.3,Made,3.0,D. Avdija,1630166.0,1.0,,,,,,,,,,,,,,
21,PT10M17.00S,2025-11-24T00:12:32.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631096,7.30946123521682,41.66666666666667,1610612760,4,3,2025-11-24T01:31:02Z,210000,False,42.0,16.0,1,left,MISS C. Holmgren driving floating bank Shot,[1631096],1610612760.0,OKC,driving floating bank,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,4.47,Missed,,,,,,,,,,,,,,,,,,
22,PT10M16.00S,2025-11-24T00:12:33.3Z,1,REGULAR,rebound,offensive,[],1631096,,,1610612760,4,3,2025-11-24T00:12:36Z,220000,False,,,0,,C. Holmgren REBOUND (Off:2 Def:0),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,21.0,2.0,0.0,2.0,,,,,,,
23,PT10M14.00S,2025-11-24T00:12:34.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631096,7.440867279894875,48.529411764705884,1610612760,4,3,2025-11-24T00:12:38Z,230000,False,7.0,17.0,1,left,MISS C. Holmgren putback Layup,[1631096],1610612760.0,OKC,putback,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,1.89,Missed,,,,,,,,,,,,,,,,,,
24,PT10M14.00S,2025-11-24T00:12:34.9Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,4,3,2025-11-24T01:14:19Z,240000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,
27,PT10M11.00S,2025-11-24T00:12:41.8Z,1,REGULAR,foul,personal,[],1629652,,,1610612757,4,3,2025-11-24T01:14:19Z,270000,False,,,0,,L. Dort personal FOUL (1 PF),"[1629652, 1630166]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1626301.0,1.0,0.0,Avdija,1630166.0,,
