actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
78,PT05M08.00S,2025-10-29T00:21:47.2Z,1,REGULAR,substitution,out,[],201566,,,1610612758,17,18,2025-10-29T00:24:33Z,780000,False,,,0,,SUB out: R. Westbrook,[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M08.00S,2025-10-29T00:21:47.2Z,1,REGULAR,substitution,in,[],1631119,,,1610612758,17,18,2025-10-29T00:24:33Z,790000,False,,,0,,SUB in: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M08.00S,2025-10-29T00:21:47.2Z,1,REGULAR,substitution,in,[],1631165,,,1610612758,17,18,2025-10-29T00:24:33Z,800000,False,,,0,,SUB in: K. Ellis,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M46.00S,2025-10-29T00:25:04.0Z,1,REGULAR,turnover,bad pass,[],203471,,,1610612758,17,18,2025-10-29T00:25:09Z,810000,False,,,0,,D. Schröder bad pass TURNOVER (1 TO),"[203471, 1631119]",1610612758.0,SAC,,,,Schröder,D. Schröder,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,Williams,1631119.0,,,,,,,,,,
82,PT04M46.00S,2025-10-29T00:25:04.0Z,1,REGULAR,steal,,[],1631119,,,1610612760,17,18,2025-10-29T00:25:06Z,820000,False,,,0,,J. Williams STEAL (1 STL),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
83,PT04M40.00S,2025-10-29T00:25:09.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642349,6.258212877792378,50.98039215686274,1610612760,19,18,2025-10-29T00:25:14Z,830000,False,-5.0,6.0,1,left,A. Mitchell running Layup (2 PTS),[1642349],1610612760.0,OKC,running,,,Mitchell,A. Mitchell,,,,,Restricted Area,0-8 Center,0.8,Made,,,,,2.0,,,,,,,,,,,,,
84,PT04M30.00S,2025-10-29T00:25:19.8Z,1,REGULAR,3pt,Jump Shot,[],203471,72.61826544021025,17.15686274509804,1610612758,19,18,2025-10-29T00:25:25Z,840000,False,-164.0,205.0,1,right,MISS D. Schröder 26' 3PT,[203471],1610612758.0,SAC,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Left Center,26.26,Missed,,,,,,,,,,,,,,,,,,
85,PT04M27.00S,2025-10-29T00:25:22.8Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,19,18,2025-10-29T00:25:25Z,850000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,,,84.0,1.0,1.0,0.0,,,,,,,,,,,,,,
86,PT04M18.00S,2025-10-29T00:25:32.2Z,1,REGULAR,turnover,bad pass,[],1630598,,,1610612760,19,18,2025-10-29T00:25:37Z,860000,False,,,0,,A. Wiggins bad pass TURNOVER (1 TO),"[1630598, 1631165]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,Ellis,1631165.0,,,,,,,,,,
87,PT04M18.00S,2025-10-29T00:25:32.2Z,1,REGULAR,steal,,[],1631165,,,1610612758,19,18,2025-10-29T00:25:34Z,870000,False,,,0,,K. Ellis STEAL (1 STL),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
88,PT04M13.00S,2025-10-29T00:25:37.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631165,94.82588699080158,64.4607843137255,1610612758,19,20,2025-10-29T00:25:46Z,880000,False,72.0,-4.0,1,right,K. Ellis 7' Jump Shot (2 PTS) (D. Sabonis 2 AST),"[1631165, 1627734]",1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,In The Paint (Non-RA),0-8 Center,7.24,Made,,,,,2.0,,,,,D. Sabonis,1627734.0,2.0,,,,,,
90,PT03M57.00S,2025-10-29T00:25:52.9Z,1,REGULAR,3pt,Jump Shot,[],1642349,26.888961892247043,79.65686274509804,1610612760,19,20,2025-10-29T00:25:56Z,900000,False,-148.0,200.0,1,left,MISS A. Mitchell 24' 3PT,[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,Above the Break 3,24+ Left Center,24.92,Missed,,,,,,,,,,,,,,,,,,
91,PT03M54.00S,2025-10-29T00:25:55.9Z,1,REGULAR,rebound,defensive,[],203471,,,1610612758,19,20,2025-10-29T00:25:56Z,910000,False,,,0,,D. Schröder REBOUND (Off:0 Def:2),[203471],1610612758.0,SAC,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Left Center,,,90.0,2.0,2.0,0.0,,,,,,,,,,,,,,
92,PT03M45.00S,2025-10-29T00:26:05.4Z,1,REGULAR,turnover,bad pass,[],203897,,,1610612758,19,20,2025-10-29T00:26:08Z,920000,False,,,0,,Z. LaVine bad pass TURNOVER (4 TO),"[203897, 1631119]",1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,4.0,Williams,1631119.0,,,,,,,,,,
93,PT03M45.00S,2025-10-29T00:26:05.4Z,1,REGULAR,steal,,[],1631119,,,1610612760,19,20,2025-10-29T00:26:07Z,930000,False,,,0,,J. Williams STEAL (2 STL),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
94,PT03M32.00S,2025-10-29T00:26:18.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629652,5.863994743758213,50.73529411764706,1610612760,21,20,2025-10-29T00:26:21Z,940000,False,-4.0,3.0,1,left,L. Dort cutting DUNK (6 PTS) (A. Caruso 2 AST),"[1629652, 1627936]",1610612760.0,OKC,cutting,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,0.45,Made,,,,,6.0,,,,,A. Caruso,1627936.0,2.0,,,,,,
96,PT03M08.00S,2025-10-29T00:26:42.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631165,80.6340341655716,36.029411764705884,1610612758,21,20,2025-10-29T00:26:47Z,960000,False,-70.0,130.0,1,right,MISS K. Ellis 14' pullup Shot,[1631165],1610612758.0,SAC,pullup,,,Ellis,K. Ellis,,,,,In The Paint (Non-RA),8-16 Center,14.72,Missed,,,,,,,,,,,,,,,,,,
97,PT03M06.00S,2025-10-29T00:26:44.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,21,20,2025-10-29T00:26:47Z,970000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,96.0,,,,,,,,,,,,,,,,,
99,PT03M06.00S,2025-10-29T00:26:47.3Z,1,REGULAR,substitution,out,[],203897,,,1610612760,21,20,2025-10-29T00:27:06Z,990000,False,,,0,,SUB out: Z. LaVine,[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M06.00S,2025-10-29T00:26:47.3Z,1,REGULAR,substitution,out,[],1627734,,,1610612760,21,20,2025-10-29T00:27:06Z,1000000,False,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M06.00S,2025-10-29T00:26:47.3Z,1,REGULAR,substitution,out,[],203471,,,1610612760,21,20,2025-10-29T00:27:06Z,1010000,False,,,0,,SUB out: D. Schröder,[203471],1610612758.0,SAC,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M06.00S,2025-10-29T00:26:47.3Z,1,REGULAR,substitution,in,[],1629234,,,1610612760,21,20,2025-10-29T00:27:06Z,1020000,False,,,0,,SUB in: D. Eubanks,[1629234],1610612758.0,SAC,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M06.00S,2025-10-29T00:26:47.3Z,1,REGULAR,substitution,in,[],1642269,,,1610612760,21,20,2025-10-29T00:27:06Z,1030000,False,,,0,,SUB in: D. Carter,[1642269],1610612758.0,SAC,,,,Carter,D. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M06.00S,2025-10-29T00:26:47.3Z,1,REGULAR,substitution,in,[],201942,,,1610612760,21,20,2025-10-29T00:27:06Z,1040000,False,,,0,,SUB in: D. DeRozan,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT02M51.00S,2025-10-29T00:27:19.0Z,1,REGULAR,3pt,Jump Shot,[],1642349,22.421156373193167,87.99019607843137,1610612760,24,20,2025-10-29T00:27:24Z,1050000,False,-190.0,158.0,1,left,A. Mitchell 24' 3PT  (5 PTS) (A. Wiggins 2 AST),"[1642349, 1630598]",1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,Above the Break 3,24+ Left Center,24.73,Made,,,,,5.0,,,,,A. Wiggins,1630598.0,2.0,,,,,,
107,PT02M36.00S,2025-10-29T00:27:33.3Z,1,REGULAR,3pt,Jump Shot,[],1628370,70.25295663600527,19.11764705882353,1610612758,24,20,2025-10-29T00:28:09Z,1070000,False,-154.0,227.0,1,right,MISS M. Monk 27' step back 3PT,[1628370],1610612758.0,SAC,step back,,,Monk,M. Monk,,,,,Above the Break 3,24+ Left Center,27.46,Missed,,,,,,,,,,,,,,,,,,
108,PT02M32.00S,2025-10-29T00:27:37.3Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612760,24,20,2025-10-29T00:27:38Z,1080000,False,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Left Center,,,107.0,1.0,1.0,0.0,,,,,,,,,,,,,,
109,PT02M23.00S,2025-10-29T00:27:47.0Z,1,REGULAR,turnover,bad pass,[],1642349,,,1610612760,24,20,2025-10-29T00:27:50Z,1090000,False,,,0,,A. Mitchell bad pass TURNOVER (1 TO),"[1642349, 1629234]",1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,Mid-Range,16-24 Left Center,,,,,,,,1.0,Eubanks,1629234.0,,,,,,,,,,
110,PT02M23.00S,2025-10-29T00:27:47.0Z,1,REGULAR,steal,,[],1629234,,,1610612758,24,20,2025-10-29T00:27:49Z,1100000,False,,,0,,D. Eubanks STEAL (1 STL),[1629234],1610612758.0,SAC,,,,Eubanks,D. Eubanks,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
111,PT02M06.00S,2025-10-29T00:28:04.0Z,1,REGULAR,turnover,lost ball,[],1642269,,,1610612758,24,20,2025-10-29T00:28:09Z,1110000,False,,,0,,D. Carter lost ball TURNOVER (1 TO),"[1642269, 1627936]",1610612758.0,SAC,,,,Carter,D. Carter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,Caruso,1627936.0,,,,,,,,,,
112,PT02M06.00S,2025-10-29T00:28:04.0Z,1,REGULAR,steal,,[],1627936,,,1610612760,24,20,2025-10-29T00:28:05Z,1120000,False,,,0,,A. Caruso STEAL (1 STL),[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
113,PT01M59.00S,2025-10-29T00:28:11.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631119,30.831143232588698,63.725490196078425,1610612760,24,20,2025-10-29T00:28:16Z,1130000,False,-69.0,237.0,1,left,MISS J. Williams 24' 3PT,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Center,24.7,Missed,,,,,,,,,,,,,,,,,,
114,PT01M55.00S,2025-10-29T00:28:15.6Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612758,24,20,2025-10-29T00:28:16Z,1140000,False,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Center,,,113.0,1.0,1.0,0.0,,,,,,,,,,,,,,
115,PT01M46.00S,2025-10-29T00:28:22.9Z,1,REGULAR,2pt,Jump Shot,[],201942,89.70105124835742,26.96078431372549,1610612758,24,22,2025-10-29T00:28:28Z,1150000,False,-115.0,44.0,1,right,D. DeRozan 12' pullup Jump Shot (2 PTS) (M. Monk 1 AST),"[201942, 1628370]",1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,12.34,Made,,,,,2.0,,,,,M. Monk,1628370.0,1.0,,,,,,
117,PT01M32.00S,2025-10-29T00:28:37.4Z,1,REGULAR,turnover,bad pass,[],1642349,,,1610612760,24,22,2025-10-29T00:28:44Z,1170000,False,,,0,,A. Mitchell bad pass TURNOVER (2 TO),"[1642349, 1642269]",1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,Above the Break 3,24+ Left Center,,,,,,,,2.0,Carter,1642269.0,,,,,,,,,,
118,PT01M32.00S,2025-10-29T00:28:37.4Z,1,REGULAR,steal,,[],1642269,,,1610612758,24,22,2025-10-29T00:28:39Z,1180000,False,,,0,,D. Carter STEAL (1 STL),[1642269],1610612758.0,SAC,,,,Carter,D. Carter,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
119,PT01M29.00S,2025-10-29T00:28:43.8Z,1,REGULAR,foul,personal,[],1642349,,,1610612758,24,22,2025-10-29T00:28:50Z,1190000,False,,,0,,A. Mitchell personal FOUL (1 PF),"[1642349, 1642269]",1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1627539.0,,,,1.0,0.0,Carter,1642269.0,,
121,PT01M29.00S,2025-10-29T00:28:49.3Z,1,REGULAR,substitution,out,[],1629652,,,1610612758,24,22,2025-10-29T00:28:59Z,1210000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT01M29.00S,2025-10-29T00:28:49.3Z,1,REGULAR,substitution,out,[],1627936,,,1610612758,24,22,2025-10-29T00:28:59Z,1220000,False,,,0,,SUB out: A. Caruso,[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M29.00S,2025-10-29T00:28:49.3Z,1,REGULAR,substitution,out,[],1630598,,,1610612758,24,22,2025-10-29T00:28:59Z,1230000,False,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT01M29.00S,2025-10-29T00:28:49.3Z,1,REGULAR,substitution,in,[],1628983,,,1610612758,24,22,2025-10-29T00:28:59Z,1240000,False,,,0,,SUB in: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M29.00S,2025-10-29T00:28:49.3Z,1,REGULAR,substitution,in,[],1641717,,,1610612758,24,22,2025-10-29T00:28:59Z,1250000,False,,,0,,SUB in: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT01M29.00S,2025-10-29T00:28:49.3Z,1,REGULAR,substitution,in,[],1642964,,,1610612758,24,22,2025-10-29T00:28:59Z,1260000,False,,,0,,SUB in: B. Barnhizer,[1642964],1610612760.0,OKC,,,,Barnhizer,B. Barnhizer,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M23.00S,2025-10-29T00:29:21.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201942,91.67214191852825,63.48039215686274,1610612758,24,24,2025-10-29T00:29:28Z,1270000,False,67.0,26.0,1,right,D. DeRozan 7' pullup bank Jump Shot (4 PTS),[201942],1610612758.0,SAC,pullup bank,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,7.22,Made,,,,,4.0,,,,,,,,,,,,,
128,PT01M23.00S,2025-10-29T00:29:24.4Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1641717,,,1610612758,24,24,2025-10-29T00:29:48Z,1280000,False,,,0,,C. Wallace shooting personal FOUL (1 PF) (DeRozan 1 FT),"[1641717, 201942]",1610612760.0,OKC,shooting,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1628951.0,,,,1.0,0.0,DeRozan,201942.0,,
130,PT01M23.00S,2025-10-29T00:29:50.1Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],201942,,,1610612758,24,25,2025-10-29T00:29:50Z,1300000,False,,,0,,D. DeRozan Free Throw 1 of 1 (5 PTS),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
131,PT01M06.00S,2025-10-29T00:30:06.4Z,1,REGULAR,3pt,Jump Shot,[],1631119,24.655059132720105,81.86274509803921,1610612760,24,25,2025-10-29T00:30:10Z,1310000,False,-159.0,179.0,1,left,MISS J. Williams 3PT,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,23.98,Missed,,,,,,,,,,,,,,,,,,
132,PT01M02.00S,2025-10-29T00:30:10.4Z,1,REGULAR,rebound,defensive,[],1631165,,,1610612758,24,25,2025-10-29T00:30:10Z,1320000,False,,,0,,K. Ellis REBOUND (Off:0 Def:1),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Left Center,,,131.0,1.0,1.0,0.0,,,,,,,,,,,,,,
133,PT00M48.50S,2025-10-29T00:30:24.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628370,92.19776609724047,46.07843137254902,1610612758,24,27,2025-10-29T00:30:30Z,1330000,False,-20.0,21.0,1,right,M. Monk finger roll Layup (2 PTS),[1628370],1610612758.0,SAC,finger roll,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,2.86,Made,,,,,2.0,,,,,,,,,,,,,
134,PT00M30.20S,2025-10-29T00:30:45.1Z,1,REGULAR,3pt,Jump Shot,[],1642349,2.7102496714848883,95.83333333333334,1610612760,24,27,2025-10-29T00:30:49Z,1340000,False,-229.0,-27.0,1,left,MISS A. Mitchell 3PT,[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,Left Corner 3,24+ Left,23.08,Missed,,,,,,,,,,,,,,,,,,
135,PT00M27.60S,2025-10-29T00:30:47.7Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612758,24,27,2025-10-29T00:30:49Z,1350000,False,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612758.0,SAC,,,,Eubanks,D. Eubanks,,,,,Left Corner 3,24+ Left,,,134.0,1.0,1.0,0.0,,,,,,,,,,,,,,
136,PT00M07.20S,2025-10-29T00:31:08.2Z,1,REGULAR,2pt,Jump Shot,[],201942,77.87450722733246,63.48039215686274,1610612758,24,29,2025-10-29T00:31:12Z,1360000,False,67.0,155.0,1,right,D. DeRozan 16' turnaround fadeaway Jump Shot (7 PTS),[201942],1610612758.0,SAC,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right Center,16.95,Made,,,,,7.0,,,,,,,,,,,,,
137,PT00M01.00S,2025-10-29T00:31:18.8Z,1,REGULAR,foul,personal,[],1631165,,,1610612760,24,29,2025-10-29T00:31:24Z,1370000,False,,,0,,K. Ellis personal FOUL (1 PF),"[1631165, 1631119]",1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1148.0,,,,1.0,0.0,Williams,1631119.0,,
139,PT00M01.00S,2025-10-29T00:31:26.4Z,1,REGULAR,substitution,out,[],1642964,,,1610612760,24,29,2025-10-29T00:31:33Z,1390000,False,,,0,,SUB out: B. Barnhizer,[1642964],1610612760.0,OKC,,,,Barnhizer,B. Barnhizer,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT00M01.00S,2025-10-29T00:31:26.4Z,1,REGULAR,substitution,in,[],1627936,,,1610612760,24,29,2025-10-29T00:31:33Z,1400000,False,,,0,,SUB in: A. Caruso,[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT00M00.00S,2025-10-29T00:31:42.9Z,1,REGULAR,3pt,Jump Shot,[],1628983,28.728646517739815,75.98039215686273,1610612760,24,29,2025-10-29T00:31:46Z,1410000,False,-130.0,218.0,1,left,MISS S. Gilgeous-Alexander 25' 3PT,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,25.33,Missed,,,,,,,,,,,,,,,,,,
142,PT00M00.00S,2025-10-29T00:31:45.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,24,29,2025-10-29T00:31:45Z,1420000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Above the Break 3,24+ Left Center,,,141.0,,,,,,,,,,,,,,,,,
143,PT00M00.00S,2025-10-29T00:31:55.0Z,1,REGULAR,period,end,[],0,,,1610612760,24,29,2025-10-29T00:31:55Z,1430000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2025-10-29T00:31:58.2Z,2,REGULAR,substitution,out,['startperiod'],1631119,,,1610612760,24,29,2025-10-29T00:34:12Z,1440000,False,,,0,,SUB out: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2025-10-29T00:31:58.2Z,2,REGULAR,substitution,out,['startperiod'],1642349,,,1610612760,24,29,2025-10-29T00:34:12Z,1450000,False,,,0,,SUB out: A. Mitchell,[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2025-10-29T00:31:58.2Z,2,REGULAR,substitution,out,['startperiod'],1627936,,,1610612760,24,29,2025-10-29T00:34:12Z,1460000,False,,,0,,SUB out: A. Caruso,[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2025-10-29T00:31:58.2Z,2,REGULAR,substitution,in,['startperiod'],1628392,,,1610612760,24,29,2025-10-29T00:34:12Z,1470000,False,,,0,,SUB in: I. Hartenstein,[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2025-10-29T00:31:58.2Z,2,REGULAR,substitution,in,['startperiod'],1642964,,,1610612760,24,29,2025-10-29T00:34:12Z,1480000,False,,,0,,SUB in: B. Barnhizer,[1642964],1610612760.0,OKC,,,,Barnhizer,B. Barnhizer,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2025-10-29T00:31:58.2Z,2,REGULAR,substitution,in,['startperiod'],1642959,,,1610612760,24,29,2025-10-29T00:34:12Z,1490000,False,,,0,,SUB in: C. Youngblood,[1642959],1610612760.0,OKC,,,,Youngblood,C. Youngblood,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2025-10-29T00:34:33.3Z,2,REGULAR,period,start,[],0,,,1610612758,24,29,2025-10-29T00:34:33Z,1500000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT11M47.00S,2025-10-29T00:34:45.9Z,2,REGULAR,2pt,Jump Shot,[],201942,85.62746386333771,23.03921568627451,1610612758,24,31,2025-10-29T00:35:12Z,1510000,False,-135.0,83.0,1,right,D. DeRozan 15' turnaround Jump Shot (9 PTS) (M. Monk 2 AST),"[201942, 1628370]",1610612758.0,SAC,turnaround,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,15.81,Made,,,,,9.0,,,,,M. Monk,1628370.0,2.0,,,,,,
153,PT11M32.00S,2025-10-29T00:34:59.8Z,2,REGULAR,2pt,Jump Shot,[],1628983,6.783837056504599,27.696078431372552,1610612760,26,31,2025-10-29T00:35:03Z,1530000,False,112.0,11.0,1,left,S. Gilgeous-Alexander 11' pullup Jump Shot (6 PTS),[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Right,11.21,Made,,,,,6.0,,,,,,,,,,,,,
154,PT11M13.00S,2025-10-29T00:35:18.6Z,2,REGULAR,3pt,Jump Shot,[],1631165,93.51182654402102,96.32352941176471,1610612758,26,34,2025-10-29T00:35:22Z,1540000,False,232.0,8.0,1,right,K. Ellis 3PT  (5 PTS) (D. Carter 1 AST),"[1631165, 1642269]",1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Right Corner 3,24+ Right,23.18,Made,,,,,5.0,,,,,D. Carter,1642269.0,1.0,,,,,,
156,PT11M00.00S,2025-10-29T00:35:32.3Z,2,REGULAR,turnover,bad pass,[],1641717,,,1610612760,26,34,2025-10-29T00:35:37Z,1560000,False,,,0,,C. Wallace bad pass TURNOVER (1 TO),"[1641717, 1642269]",1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Mid-Range,16-24 Right Center,,,,,,,,1.0,Carter,1642269.0,,,,,,,,,,
157,PT11M00.00S,2025-10-29T00:35:32.3Z,2,REGULAR,steal,,[],1642269,,,1610612758,26,34,2025-10-29T00:35:34Z,1570000,False,,,0,,D. Carter STEAL (2 STL),[1642269],1610612758.0,SAC,,,,Carter,D. Carter,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
158,PT10M54.00S,2025-10-29T00:35:39.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1631165,95.87713534822602,95.83333333333334,1610612758,26,34,2025-10-29T00:35:43Z,1580000,False,229.0,-14.0,1,right,MISS K. Ellis 3PT,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Right Corner 3,24+ Right,22.96,Missed,,,,,,,,,,,,,,,,,,
159,PT10M50.00S,2025-10-29T00:35:43.0Z,2,REGULAR,rebound,defensive,[],1628392,,,1610612760,26,34,2025-10-29T00:35:43Z,1590000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:5),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Right Corner 3,24+ Right,,,158.0,5.0,5.0,0.0,,,,,,,,,,,,,,
