actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
15,PT10M57.00S,2025-10-29T00:11:28.6Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,0,2025-10-29T00:11:33Z,150000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M47.00S,2025-10-29T00:11:37.8Z,1,REGULAR,2pt,Jump Shot,[],1627734,85.23324572930355,31.127450980392158,1610612758,2,0,2025-10-29T00:11:42Z,160000,False,-94.0,86.0,1,right,MISS D. Sabonis 12' Jump Shot,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Left,12.79,Missed,,,,,,,,,,,,,,,,,,
17,PT10M45.00S,2025-10-29T00:11:39.8Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,2,0,2025-10-29T00:11:42Z,170000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:2),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Left,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,
18,PT10M36.00S,2025-10-29T00:11:49.4Z,1,REGULAR,3pt,Jump Shot,[],1629652,30.962549277266753,71.56862745098039,1610612760,2,0,2025-10-29T00:11:53Z,180000,False,-108.0,239.0,1,left,MISS L. Dort 26' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,26.17,Missed,,,,,,,,,,,,,,,,,,
19,PT10M32.00S,2025-10-29T00:11:53.4Z,1,REGULAR,rebound,defensive,[],203897,,,1610612758,2,0,2025-10-29T00:11:53Z,190000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M29.00S,2025-10-29T00:12:00.4Z,1,REGULAR,turnover,out-of-bounds,[],203897,,,1610612758,2,0,2025-10-29T00:12:06Z,200000,False,,,0,,Z. LaVine bad pass out-of-bounds TURNOVER (2 TO),[203897],1610612758.0,SAC,bad pass,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,,,,,,,,2.0,,,1148.0,,,,,,,,,
21,PT10M23.00S,2025-10-29T00:12:06.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641717,6.521024967148489,48.529411764705884,1610612760,4,0,2025-10-29T00:12:48Z,210000,False,7.0,9.0,1,left,C. Wallace driving Layup (2 PTS),[1641717],1610612760.0,OKC,driving,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,1.15,Made,,,,,2.0,,,,,,,,,,,,,
22,PT10M09.00S,2025-10-29T00:12:20.2Z,1,REGULAR,3pt,Jump Shot,[],201566,93.38042049934296,1.715686274509804,1610612758,4,3,2025-10-29T00:12:24Z,220000,False,-241.0,10.0,1,right,R. Westbrook 24' 3PT  (3 PTS) (D. DeRozan 1 AST),"[201566, 201942]",1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Left Corner 3,24+ Left,24.16,Made,,,,,3.0,,,,,D. DeRozan,201942.0,1.0,,,,,,
24,PT09M54.00S,2025-10-29T00:12:37.8Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612760,4,3,2025-10-29T00:12:43Z,240000,False,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Dort 2 FT),"[201942, 1629652]",1610612758.0,SAC,shooting,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1628951.0,,,,1.0,0.0,Dort,1629652.0,,
26,PT09M54.00S,2025-10-29T00:13:04.7Z,1,REGULAR,freethrow,1 of 2,[],1629652,,,1610612760,5,3,2025-10-29T00:13:04Z,260000,False,,,0,,L. Dort Free Throw 1 of 2 (1 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
