actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-02-08T03:14:57.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-08T03:14:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-02-08T03:14:59.3Z,1,REGULAR,jumpball,recovered,[],1641739,,,1610612757,0,0,2026-02-08T03:14:59Z,40000,False,,,0,,Jump Ball D. Clingan vs. G. Jackson: Tip to T. Camara,"[1641739, 1642270, 1641713]",1610612757.0,POR,startperiod,T. Camara,1641739.0,Camara,T. Camara,Clingan,1642270.0,Jackson,1641713.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-02-08T03:15:12.5Z,1,REGULAR,3pt,Jump Shot,[],1642270,65.1281208935611,57.35294117647059,1610612757,0,0,2026-02-08T03:15:18Z,70000,False,37.0,275.0,1,right,MISS D. Clingan 27' 3PT,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Center,27.77,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-02-08T03:15:17.5Z,1,REGULAR,rebound,offensive,[],1641739,,,1610612757,0,0,2026-02-08T03:15:18Z,80000,False,,,0,,T. Camara REBOUND (Off:1 Def:0),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2026-02-08T03:15:19.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203924,75.50919842312747,12.745098039215685,1610612757,0,0,2026-02-08T03:15:29Z,90000,False,-186.0,178.0,1,right,MISS J. Grant 25' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,25.75,Missed,,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2026-02-08T03:15:22.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,0,0,2026-02-08T03:15:29Z,100000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Left Center,,,9.0,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2026-02-08T03:15:44.7Z,1,REGULAR,2pt,Jump Shot,[],1629660,14.011169513797633,31.862745098039213,1610612763,0,0,2026-02-08T03:15:50Z,120000,False,91.0,79.0,1,left,MISS T. Jerome 12' driving floating Shot,[1629660],1610612763.0,MEM,driving floating,,,Jerome,T. Jerome,,,,,Mid-Range,8-16 Right,12.04,Missed,,,,,,,,,,,,,,,,,,
13,PT11M20.00S,2026-02-08T03:15:45.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,0,0,2026-02-08T03:15:50Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Mid-Range,8-16 Right,,,12.0,,,,,,,,,,,,,,,,,
15,PT11M10.00S,2026-02-08T03:16:11.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629660,27.677398160315374,83.33333333333334,1610612763,0,0,2026-02-08T03:16:15Z,150000,False,-167.0,208.0,1,left,MISS T. Jerome 26' pullup 3PT - blocked,"[1629660, 1642270]",1610612763.0,MEM,pullup,,,Jerome,T. Jerome,,,,,Above the Break 3,24+ Left Center,26.63,Missed,,,,,Clingan,1642270.0,,,,,,,,,,,,
16,PT11M10.00S,2026-02-08T03:16:11.1Z,1,REGULAR,block,,[],1642270,,,1610612763,0,0,2026-02-08T03:16:14Z,160000,False,,,0,,D. Clingan BLOCK (1 BLK),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
