actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-27T03:12:09.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-27T03:12:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-27T03:12:12.4Z,1,REGULAR,jumpball,recovered,[],1630577,,,1610612759,0,0,2025-11-27T03:12:12Z,40000,False,,,0,,Jump Ball L. Kornet vs. D. Clingan: Tip to J. Champagnie,"[1630577, 1628436, 1642270]",1610612759.0,SAS,startperiod,J. Champagnie,1630577.0,Champagnie,J. Champagnie,Kornet,1628436.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-11-27T03:12:23.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,17.95335085413929,45.09803921568628,1610612759,0,2,2025-11-27T03:13:23Z,70000,False,25.0,116.0,1,left,D. Vassell 11' pullup Jump Shot (2 PTS) (D. Fox 1 AST),"[1630170, 1628368]",1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,11.89,Made,2.0,D. Fox,1628368.0,1.0,,,,,,,,,,,,,,
8,PT11M35.00S,2025-11-27T03:12:36.0Z,1,REGULAR,foul,personal,['2freethrow'],1630170,,,1610612757,0,2,2025-11-27T03:12:47Z,80000,False,,,0,,D. Vassell shooting personal FOUL (1 PF) (Avdija 2 FT),"[1630170, 1630166]",1610612759.0,SAS,shooting,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Right,,,,,,,101284.0,1.0,0.0,Avdija,1630166.0,,,,,,,,,
10,PT11M35.00S,2025-11-27T03:12:55.9Z,1,REGULAR,freethrow,1 of 2,[],1630166,,,1610612757,1,2,2025-11-27T03:12:55Z,100000,False,,,0,,D. Avdija Free Throw 1 of 2 (1 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
11,PT11M35.00S,2025-11-27T03:13:07.2Z,1,REGULAR,freethrow,2 of 2,[],1630166,,,1610612757,2,2,2025-11-27T03:13:07Z,110000,False,,,0,,D. Avdija Free Throw 2 of 2 (2 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2025-11-27T03:13:23.3Z,1,REGULAR,2pt,Jump Shot,[],1630170,20.45006570302234,59.31372549019608,1610612759,2,4,2025-11-27T03:13:29Z,120000,False,-47.0,140.0,1,left,D. Vassell 14' pullup Jump Shot (4 PTS) (D. Fox 2 AST),"[1630170, 1628368]",1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Center,14.73,Made,4.0,D. Fox,1628368.0,2.0,,,,,,,,,,,,,,
14,PT10M57.00S,2025-11-27T03:13:45.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641739,84.83902759526939,45.83333333333333,1610612757,4,4,2025-11-27T03:13:51Z,140000,False,-21.0,90.0,1,right,T. Camara 9' driving floating Jump Shot (2 PTS) (S. Cissoko 1 AST),"[1641739, 1631321]",1610612757.0,POR,driving floating,,,Camara,T. Camara,,,,,In The Paint (Non-RA),8-16 Center,9.24,Made,2.0,S. Cissoko,1631321.0,1.0,,,,,,,,,,,,,,
16,PT10M45.00S,2025-11-27T03:13:59.3Z,1,REGULAR,turnover,out-of-bounds,[],1630577,,,1610612759,4,4,2025-11-27T03:14:09Z,160000,False,,,0,,J. Champagnie bad pass out-of-bounds TURNOVER (1 TO),[1630577],1610612759.0,SAS,bad pass,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,,,,,202053.0,,,,,1.0,,,,,,,,
18,PT10M26.00S,2025-11-27T03:14:26.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630166,91.5407358738502,61.274509803921575,1610612757,6,4,2025-11-27T03:14:35Z,170000,False,56.0,27.0,1,right,D. Avdija 6' cutting Layup (4 PTS) (J. Grant 1 AST),"[1630166, 203924]",1610612757.0,POR,cutting,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,6.25,Made,4.0,J. Grant,203924.0,1.0,,,,,,,,,,,,,,
