actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-27T03:13:36.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-27T03:13:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-12-27T03:13:40.3Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612746,0,0,2025-12-27T03:13:40Z,40000,False,,,0,,Jump Ball B. Lopez vs. D. Clingan: Tip to J. Harden,"[201935, 201572, 1642270]",1610612746.0,LAC,startperiod,J. Harden,201935.0,Harden,J. Harden,Lopez,201572.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2025-12-27T03:13:59.2Z,1,REGULAR,turnover,bad pass,[],202695,,,1610612746,0,0,2025-12-27T03:14:04Z,70000,False,,,0,,K. Leonard bad pass TURNOVER (1 TO),"[202695, 1631200]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,1.0,Murray,1631200.0,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2025-12-27T03:13:59.2Z,1,REGULAR,steal,,[],1631200,,,1610612757,0,0,2025-12-27T03:14:00Z,80000,False,,,0,,K. Murray STEAL (1 STL),[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2025-12-27T03:14:12.3Z,1,REGULAR,foul,personal,['2freethrow'],1627739,,,1610612757,0,0,2025-12-27T03:14:20Z,90000,False,,,0,,K. Dunn shooting personal FOUL (1 PF) (Avdija 2 FT),"[1627739, 1630166]",1610612746.0,LAC,shooting,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),0-8 Center,,,,203593.0,1.0,0.0,Avdija,1630166.0,,,,,,,,,,,,
11,PT11M25.00S,2025-12-27T03:14:35.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630166,,,1610612757,1,0,2025-12-27T03:14:35Z,110000,False,,,0,,D. Avdija Free Throw 1 of 2 (1 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,Made,1.0,,,,,,,,,,
12,PT11M25.00S,2025-12-27T03:14:47.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630166,,,1610612757,2,0,2025-12-27T03:14:47Z,120000,False,,,0,,D. Avdija Free Throw 2 of 2 (2 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,Made,2.0,,,,,,,,,,
13,PT11M08.00S,2025-12-27T03:15:06.5Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612746,2,0,2025-12-27T03:15:10Z,130000,False,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1631101]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,1.0,Sharpe,1631101.0,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2025-12-27T03:15:06.5Z,1,REGULAR,steal,,[],1631101,,,1610612757,2,0,2025-12-27T03:15:08Z,140000,False,,,0,,S. Sharpe STEAL (1 STL),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M04.00S,2025-12-27T03:15:10.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631101,6.1268068331143235,49.26470588235294,1610612757,4,0,2025-12-27T03:15:17Z,150000,False,4.0,5.0,1,left,S. Sharpe running alley-oop DUNK (2 PTS) (D. Avdija 1 AST),"[1631101, 1630166]",1610612757.0,POR,running alley-oop,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,2.0,0.63,D. Avdija,1630166.0,1.0,,,,,,
