actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-28T23:12:03.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-28T23:12:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-28T23:12:06.0Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612757,0,0,2025-12-28T23:12:06Z,40000,False,,,0,,Jump Ball D. Clingan vs. N. Queta: Tip to D. Avdija,"[1630166, 1642270, 1629674]",1610612757.0,POR,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Clingan,1642270.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-12-28T23:12:24.2Z,1,REGULAR,turnover,out-of-bounds,[],1630166,,,1610612757,0,0,2025-12-28T23:12:31Z,70000,False,,,0,,D. Avdija step out-of-bounds TURNOVER (1 TO),[1630166],1610612757.0,POR,step,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,1627541.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2025-12-28T23:12:51.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627759,11.12023653088042,81.86274509803921,1610612738,0,2,2025-12-28T23:12:55Z,80000,False,-159.0,52.0,1,left,J. Brown 16' step back Jump Shot (2 PTS),[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left,,,16.76,Made,2.0,,,,,,,,,,,,,,,
9,PT11M13.00S,2025-12-28T23:13:07.6Z,1,REGULAR,turnover,bad pass,[],1631101,,,1610612757,0,2,2025-12-28T23:13:11Z,90000,False,,,0,,S. Sharpe bad pass TURNOVER (1 TO),"[1631101, 1628401]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,,1.0,,,,White,1628401.0,,,,,,,,,,,,,
10,PT11M13.00S,2025-12-28T23:13:07.6Z,1,REGULAR,steal,,[],1628401,,,1610612738,0,2,2025-12-28T23:13:09Z,100000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
11,PT11M08.00S,2025-12-28T23:13:12.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,6.521024967148489,49.50980392156863,1610612738,0,4,2025-12-28T23:13:16Z,110000,False,2.0,9.0,1,left,J. Brown running Layup (4 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,0.91,Made,4.0,,,D. White,1628401.0,1.0,,,,,,,,,,
13,PT10M51.00S,2025-12-28T23:13:28.8Z,1,REGULAR,2pt,Jump Shot,[],1631101,85.49605781865965,19.607843137254903,1610612757,0,4,2025-12-28T23:13:33Z,130000,False,-152.0,84.0,1,right,MISS S. Sharpe 17' step back Shot,[1631101],1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Left,,,17.36,Missed,,,,,,,,,,,,,,,,
14,PT10M48.00S,2025-12-28T23:13:31.8Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,0,4,2025-12-28T23:13:33Z,140000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Mid-Range,16-24 Left,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,
15,PT10M34.00S,2025-12-28T23:13:45.4Z,1,REGULAR,3pt,Jump Shot,[],1630202,10.726018396846255,4.411764705882353,1610612738,0,7,2025-12-28T23:13:49Z,150000,False,228.0,48.0,1,left,P. Pritchard 3PT  (3 PTS) (D. White 2 AST),"[1630202, 1628401]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Right Corner 3,24+ Right,,,23.3,Made,3.0,,,D. White,1628401.0,2.0,,,,,,,,,,
