actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-25T03:14:08.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-25T03:14:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-25T03:14:11.2Z,1,REGULAR,jumpball,recovered,[],201950,,,1610612757,0,0,2026-02-25T03:14:11Z,40000,False,,,0,,Jump Ball D. Clingan vs. R. Gobert: Tip to J. Holiday,"[201950, 1642270, 203497]",1610612757.0,POR,startperiod,J. Holiday,201950.0,Holiday,J. Holiday,Clingan,1642270.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-02-25T03:14:24.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,9.280551905387648,50.0,1610612757,0,0,2026-02-25T03:14:36Z,70000,False,0.0,35.0,1,left,MISS J. Holiday driving floating Shot,[201950],1610612757.0,POR,driving floating,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,3.47,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2026-02-25T03:14:26.1Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,0,2026-02-25T03:14:29Z,80000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M36.00S,2026-02-25T03:14:31.7Z,1,REGULAR,turnover,bad pass,[],1630183,,,1610612750,0,0,2026-02-25T03:14:35Z,90000,False,,,0,,J. McDaniels bad pass TURNOVER (1 TO),"[1630183, 1642270]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,1.0,Clingan,1642270.0,,,,,,,,,,,
10,PT11M36.00S,2026-02-25T03:14:31.7Z,1,REGULAR,steal,,[],1642270,,,1610612757,0,0,2026-02-25T03:14:33Z,100000,False,,,0,,D. Clingan STEAL (1 STL),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M27.00S,2026-02-25T03:14:40.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1641739,6.389618922470433,42.8921568627451,1610612757,0,0,2026-02-25T03:14:44Z,110000,False,36.0,8.0,1,left,MISS T. Camara driving Hook,[1641739],1610612757.0,POR,driving,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,3.63,Missed,,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2026-02-25T03:14:42.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,0,0,2026-02-25T03:14:44Z,120000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M12.00S,2026-02-25T03:14:55.7Z,1,REGULAR,2pt,Jump Shot,[],203944,84.70762155059133,33.57843137254902,1610612750,0,0,2026-02-25T03:16:04Z,130000,False,-82.0,91.0,1,right,MISS J. Randle 12' turnaround fadeaway Shot,[203944],1610612750.0,MIN,turnaround fadeaway,,,Randle,J. Randle,,,,,Mid-Range,8-16 Left,12.27,Missed,,,,,,,,,,,,,,,,,,
14,PT11M11.00S,2026-02-25T03:14:56.7Z,1,REGULAR,rebound,defensive,[],1631200,,,1610612757,0,0,2026-02-25T03:16:04Z,140000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,Mid-Range,8-16 Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M03.00S,2026-02-25T03:15:04.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631200,6.521024967148489,52.69607843137255,1610612757,2,0,2026-02-25T03:15:10Z,150000,False,-13.0,9.0,1,left,K. Murray driving Layup (2 PTS),[1631200],1610612757.0,POR,driving,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,1.61,Made,,,,,,,,2.0,,,,,,,,,,
16,PT10M43.00S,2026-02-25T03:15:24.9Z,1,REGULAR,3pt,Jump Shot,[],1630183,66.96780551905388,30.392156862745097,1610612750,2,0,2026-02-25T03:15:29Z,160000,False,-98.0,258.0,1,right,MISS J. McDaniels 27' pullup 3PT,[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,27.6,Missed,,,,,,,,,,,,,,,,,,
17,PT10M41.00S,2026-02-25T03:15:26.9Z,1,REGULAR,rebound,defensive,[],1631200,,,1610612757,2,0,2026-02-25T03:15:29Z,170000,False,,,0,,K. Murray REBOUND (Off:0 Def:2),[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,
18,PT10M24.00S,2026-02-25T03:15:43.7Z,1,REGULAR,3pt,Jump Shot,[],203924,31.488173455978973,25.245098039215684,1610612757,2,0,2026-02-25T03:15:52Z,180000,False,124.0,243.0,1,left,MISS J. Grant 27' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,27.32,Missed,,,,,,,,,,,,,,,,,,
19,PT10M22.00S,2026-02-25T03:15:45.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,2,0,2026-02-25T03:15:52Z,190000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Right Center,,,18.0,,,,,,,,,,,,,,,,,
