actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-23T03:12:02.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-23T03:12:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-23T03:12:05.3Z,1,REGULAR,jumpball,recovered,[],1642857,,,1610612748,0,0,2026-01-23T03:12:05Z,40000,False,,,0,,Jump Ball B. Adebayo vs. D. Clingan: Tip to K. Jakučionis,"[1642857, 1628389, 1642270]",1610612748.0,MIA,startperiod,K. Jakučionis,1642857.0,Jakučionis,K. Jakučionis,Adebayo,1628389.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-01-23T03:12:18.0Z,1,REGULAR,2pt,Jump Shot,[],1628389,8.886333771353483,67.40196078431373,1610612748,0,0,2026-01-23T03:12:26Z,70000,False,-87.0,31.0,1,left,MISS B. Adebayo 9' turnaround fadeaway Shot,[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,9.24,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2026-01-23T03:12:24.0Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,0,0,2026-01-23T03:12:26Z,80000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Mid-Range,8-16 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2026-01-23T03:12:33.5Z,1,REGULAR,foul,personal,[],1641796,,,1610612757,0,0,2026-01-23T03:12:46Z,90000,False,,,0,,P. Larsson personal FOUL (1 PF),"[1641796, 201950]",1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Restricted Area,0-8 Center,,,,,,,201639.0,1.0,0.0,Holiday,201950.0,,,,,,,,,
11,PT11M15.00S,2026-01-23T03:13:11.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,95.0886990801577,64.70588235294117,1610612757,0,0,2026-01-23T03:13:25Z,110000,False,74.0,-6.0,1,right,MISS J. Holiday 7' floating Shot,[201950],1610612757.0,POR,floating,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,7.38,Missed,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2026-01-23T03:13:12.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,0,0,2026-01-23T03:13:25Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2026-01-23T03:13:16.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612757,0,0,2026-01-23T03:13:29Z,130000,False,,,0,,POR shot clock Team TURNOVER,[],1610612757.0,POR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201639.0,,,,,,,,,,,,,
14,PT11M07.00S,2026-01-23T03:13:31.4Z,1,REGULAR,turnover,bad pass,[],203952,,,1610612748,0,0,2026-01-23T03:13:35Z,140000,False,,,0,,A. Wiggins bad pass TURNOVER (1 TO),"[203952, 1631101]",1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1.0,Sharpe,1631101.0,,,,,,
15,PT11M07.00S,2026-01-23T03:13:31.4Z,1,REGULAR,steal,,[],1631101,,,1610612757,0,0,2026-01-23T03:14:27Z,150000,False,,,0,,S. Sharpe STEAL (1 STL),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M59.00S,2026-01-23T03:13:39.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630166,92.72339027595268,59.55882352941176,1610612757,2,0,2026-01-23T03:13:46Z,160000,False,48.0,16.0,1,right,D. Avdija running Layup (2 PTS) (J. Holiday 1 AST),"[1630166, 201950]",1610612757.0,POR,running,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,5.04,Made,,,,,,,,,,,,,2.0,J. Holiday,201950.0,1.0,,
18,PT10M51.00S,2026-01-23T03:13:48.7Z,1,REGULAR,foul,personal,['2freethrow'],1642270,,,1610612748,2,0,2026-01-23T03:13:57Z,180000,False,,,0,,D. Clingan shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1642270, 1628389]",1610612757.0,POR,shooting,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1629178.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,
20,PT10M51.00S,2026-01-23T03:14:17.1Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,2,1,2026-01-23T03:14:17Z,200000,False,,,0,,B. Adebayo Free Throw 1 of 2 (1 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
21,PT10M51.00S,2026-01-23T03:14:32.3Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,2,2,2026-01-23T03:14:32Z,210000,False,,,0,,B. Adebayo Free Throw 2 of 2 (2 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,,,,,,,,,,,,,2.0,,,,,
22,PT10M39.00S,2026-01-23T03:14:45.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,90.09526938239159,60.049019607843135,1610612757,2,2,2026-01-23T03:14:49Z,220000,False,50.0,41.0,1,right,MISS J. Holiday 6' driving Layup,[201950],1610612757.0,POR,driving,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,6.46,Missed,,,,,,,,,,,,,,,,,,
23,PT10M38.00S,2026-01-23T03:14:46.8Z,1,REGULAR,rebound,offensive,[],201950,,,1610612757,2,2,2026-01-23T03:16:16Z,230000,False,,,0,,J. Holiday REBOUND (Off:1 Def:0),[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,,
24,PT10M37.00S,2026-01-23T03:14:48.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201950,94.40999984741211,50.0,1610612757,4,2,2026-01-23T03:16:21Z,240000,False,0.0,0.0,1,right,J. Holiday tip Layup (2 PTS),[201950],1610612757.0,POR,tip,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,,,,2.0,,,,,
25,PT10M26.00S,2026-01-23T03:14:58.0Z,1,REGULAR,3pt,Jump Shot,[],1626181,31.61957950065703,68.13725490196079,1610612748,4,2,2026-01-23T03:15:02Z,250000,False,-91.0,245.0,1,left,MISS N. Powell 26' pullup 3PT,[1626181],1610612748.0,MIA,pullup,,,Powell,N. Powell,,,,,Above the Break 3,24+ Left Center,26.1,Missed,,,,,,,,,,,,,,,,,,
26,PT10M23.00S,2026-01-23T03:15:01.0Z,1,REGULAR,rebound,defensive,[],201950,,,1610612757,4,2,2026-01-23T03:15:02Z,260000,False,,,0,,J. Holiday REBOUND (Off:1 Def:1),[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,,,25.0,2.0,1.0,1.0,,,,,,,,,,,,,,
27,PT10M16.00S,2026-01-23T03:15:08.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642270,91.93495400788436,50.245098039215684,1610612757,6,2,2026-01-23T03:15:12Z,270000,False,1.0,23.0,1,right,D. Clingan cutting DUNK (2 PTS) (J. Holiday 2 AST),"[1642270, 201950]",1610612757.0,POR,cutting,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,2.33,Made,,,,,,,,,,,,,2.0,J. Holiday,201950.0,2.0,,
29,PT10M07.00S,2026-01-23T03:15:17.0Z,1,REGULAR,3pt,Jump Shot,[],203952,6.521024967148489,5.147058823529411,1610612748,6,5,2026-01-23T03:15:21Z,290000,False,224.0,9.0,1,left,A. Wiggins 3PT  (3 PTS) (K. Jakučionis 1 AST),"[203952, 1642857]",1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Right Corner 3,24+ Right,22.45,Made,,,,,,,,,,,,,3.0,K. Jakučionis,1642857.0,1.0,,
31,PT09M57.00S,2026-01-23T03:15:26.7Z,1,REGULAR,3pt,Jump Shot,[],1631101,69.46452036793693,74.50980392156863,1610612757,6,5,2026-01-23T03:15:31Z,310000,False,123.0,235.0,1,right,MISS S. Sharpe 26' step back 3PT,[1631101],1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,26.46,Missed,,,,,,,,,,,,,,,,,,
32,PT09M54.00S,2026-01-23T03:15:29.7Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,6,5,2026-01-23T03:15:31Z,320000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT09M53.00S,2026-01-23T03:15:31.7Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,6,5,2026-01-23T03:15:38Z,340000,False,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1631101]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,1.0,Sharpe,1631101.0,,,,,,
