actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2026-01-10T03:12:42.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-10T03:12:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-10T03:12:45.2Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2026-01-10T03:12:45Z,40000,False,,,0,,Jump Ball S. Adams vs. D. Clingan: Tip to J. Smith Jr.,"[1631095, 203500, 1642270]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Adams,203500.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-01-10T03:13:02.3Z,1,REGULAR,turnover,bad pass,[],203500,,,1610612745,0,0,2026-01-10T03:13:06Z,70000,False,,,0,,S. Adams bad pass TURNOVER (1 TO),"[203500, 1641739]",1610612745.0,HOU,,,,Adams,S. Adams,,,,,Above the Break 3,24+ Center,1.0,Camara,1641739.0,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-01-10T03:13:02.3Z,1,REGULAR,steal,,[],1641739,,,1610612757,0,0,2026-01-10T03:13:04Z,80000,False,,,0,,T. Camara STEAL (1 STL),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2026-01-10T03:13:05.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641739,7.30946123521682,48.77450980392157,1610612757,2,0,2026-01-10T03:13:12Z,90000,False,6.0,16.0,1,left,T. Camara running DUNK (2 PTS),[1641739],1610612757.0,POR,running,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,1.73,Made,2.0,,,,,,,,,,,,,,
10,PT11M18.00S,2026-01-10T03:13:24.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203500,91.67214191852825,54.65686274509803,1610612745,2,2,2026-01-10T03:13:28Z,100000,False,23.0,26.0,1,right,S. Adams Layup (2 PTS) (T. Eason 1 AST),"[203500, 1631106]",1610612745.0,HOU,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,3.48,Made,2.0,T. Eason,1631106.0,1.0,,,,,,,,,,,
12,PT10M58.00S,2026-01-10T03:13:42.9Z,1,REGULAR,turnover,bad pass,[],1641739,,,1610612757,2,2,2026-01-10T03:13:48Z,120000,False,,,0,,T. Camara bad pass TURNOVER (1 TO),"[1641739, 1631106]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,16-24 Right Center,1.0,Eason,1631106.0,,,,,,,,,,,,,,,,,
13,PT10M58.00S,2026-01-10T03:13:42.9Z,1,REGULAR,steal,,[],1631106,,,1610612745,2,2,2026-01-10T03:13:44Z,130000,False,,,0,,T. Eason STEAL (1 STL),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2026-01-10T03:13:48.2Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', 'fastbreak']",1631095,79.58278580814718,58.333333333333336,1610612745,2,4,2026-01-10T03:13:56Z,140000,False,42.0,139.0,1,right,J. Smith Jr. 14' running pullup Jump Shot (2 PTS) (T. Eason 2 AST),"[1631095, 1631106]",1610612745.0,HOU,running pullup,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Center,,,,14.55,Made,2.0,T. Eason,1631106.0,2.0,,,,,,,,,,,
16,PT10M41.00S,2026-01-10T03:13:59.8Z,1,REGULAR,3pt,Jump Shot,[],1641739,32.670827858081466,62.254901960784316,1610612757,5,4,2026-01-10T03:14:05Z,160000,False,-61.0,255.0,1,left,T. Camara 26' 3PT  (5 PTS) (D. Avdija 1 AST),"[1641739, 1630166]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Center,,,,26.19,Made,5.0,D. Avdija,1630166.0,1.0,,,,,,,,,,,
20,PT10M17.00S,2026-01-10T03:14:45.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631106,86.67871222076215,46.81372549019608,1610612745,5,4,2026-01-10T03:15:17Z,200000,False,-16.0,73.0,1,right,MISS T. Eason 7' driving finger roll Layup - blocked,"[1631106, 1642270]",1610612745.0,HOU,driving finger roll,,,Eason,T. Eason,,,,,In The Paint (Non-RA),0-8 Center,,,,7.44,Missed,,,,,Clingan,1642270.0,,,,,,,,,
21,PT10M17.00S,2026-01-10T03:14:45.6Z,1,REGULAR,block,,[],1642270,,,1610612745,5,4,2026-01-10T03:14:49Z,210000,False,,,0,,D. Clingan BLOCK (1 BLK),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M16.00S,2026-01-10T03:14:46.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,5,4,2026-01-10T03:14:53Z,220000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,20.0,,,,,,,,
24,PT10M05.00S,2026-01-10T03:15:02.1Z,1,REGULAR,turnover,bad pass,[],1630166,,,1610612757,5,4,2026-01-10T03:15:10Z,240000,False,,,0,,D. Avdija bad pass TURNOVER (1 TO),"[1630166, 1631095]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,1.0,Smith Jr.,1631095.0,,,,,,,,,,,,,,,,,
25,PT10M05.00S,2026-01-10T03:15:02.1Z,1,REGULAR,steal,,[],1631095,,,1610612745,5,4,2026-01-10T03:22:51Z,250000,False,,,0,,J. Smith Jr. STEAL (1 STL),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
26,PT10M01.00S,2026-01-10T03:15:06.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641708,91.14651773981603,45.588235294117645,1610612745,5,6,2026-01-10T03:15:13Z,260000,False,-22.0,31.0,1,right,A. Thompson running Layup (2 PTS),[1641708],1610612745.0,HOU,running,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,3.78,Made,2.0,,,,,,,,,,,,,,
27,PT09M37.00S,2026-01-10T03:15:29.4Z,1,REGULAR,turnover,bad pass,[],1630166,,,1610612757,5,6,2026-01-10T03:15:35Z,270000,False,,,0,,D. Avdija bad pass TURNOVER (2 TO),"[1630166, 1641708]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,2.0,Thompson,1641708.0,,,,,,,,,,,,,,,,,
28,PT09M37.00S,2026-01-10T03:15:29.4Z,1,REGULAR,steal,,[],1641708,,,1610612745,5,6,2026-01-10T03:15:31Z,280000,False,,,0,,A. Thompson STEAL (1 STL),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
29,PT09M34.00S,2026-01-10T03:15:33.6Z,1,REGULAR,foul,personal,['2freethrow'],1631321,,,1610612745,5,6,2026-01-10T03:15:46Z,290000,False,,,0,,S. Cissoko shooting personal FOUL (1 PF) (Eason 2 FT),"[1631321, 1631106]",1610612757.0,POR,shooting,,,Cissoko,S. Cissoko,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,201245.0,1.0,0.0,Eason,1631106.0,,,
