actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-29T22:12:32.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-29T22:12:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-29T22:12:34.7Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612757,0,0,2026-03-29T22:12:34Z,40000,False,,,0,,Jump Ball D. Clingan vs. J. Reese: Tip to D. Avdija,"[1630166, 1642270, 1642882]",1610612757.0,POR,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Clingan,1642270.0,Reese,1642882.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-03-29T22:12:45.1Z,1,REGULAR,3pt,Jump Shot,[],1641739,80.23981603153744,90.68627450980392,1610612757,0,0,2026-03-29T22:12:50Z,70000,False,203.0,133.0,1,right,MISS T. Camara 24' 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,24.31,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2026-03-29T22:12:48.1Z,1,REGULAR,rebound,offensive,[],1641739,,,1610612757,0,0,2026-03-29T22:12:50Z,80000,False,,,0,,T. Camara REBOUND (Off:1 Def:0),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2026-03-29T22:12:53.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630703,80.1084099868594,64.95098039215686,1610612757,2,0,2026-03-29T22:12:57Z,90000,False,75.0,134.0,1,right,S. Henderson 15' pullup Jump Shot (2 PTS),[1630703],1610612757.0,POR,pullup,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),8-16 Center,15.39,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M20.00S,2026-03-29T22:13:10.7Z,1,REGULAR,3pt,Jump Shot,[],1642267,30.56833114323259,76.47058823529412,1610612764,2,0,2026-03-29T22:13:15Z,100000,False,-132.0,235.0,1,left,MISS B. Carrington 26' 3PT,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Left Center,26.96,Missed,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2026-03-29T22:13:10.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,2,0,2026-03-29T22:13:15Z,110000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Above the Break 3,24+ Left Center,,,10.0,,,,,,,,,,,,,,,,,
13,PT10M58.00S,2026-03-29T22:13:38.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630703,95.87713534822602,49.01960784313725,1610612757,2,0,2026-03-29T22:13:42Z,130000,False,-5.0,-14.0,1,right,MISS S. Henderson driving Layup - blocked,"[1630703, 1641774]",1610612757.0,POR,driving,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,1.45,Missed,,,,,,Vukcevic,1641774.0,,,,,,,,,,,
14,PT10M58.00S,2026-03-29T22:13:38.2Z,1,REGULAR,block,,[],1641774,,,1610612757,2,0,2026-03-29T22:13:40Z,140000,False,,,0,,T. Vukcevic BLOCK (1 BLK),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2026-03-29T22:13:40.2Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,2,0,2026-03-29T22:13:46Z,150000,False,,,0,,D. Clingan REBOUND (Off:1 Def:0),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
