actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-11-04T03:12:23.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-04T03:12:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-04T03:12:27.0Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612747,0,0,2025-11-04T03:12:27Z,40000,False,,,0,,Jump Ball D. Ayton vs. D. Clingan: Tip to M. Smart,"[203935, 1629028, 1642270]",1610612747.0,LAL,startperiod,M. Smart,203935.0,Smart,M. Smart,Ayton,1629028.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-11-04T03:12:36.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,6.521024967148489,47.794117647058826,1610612747,0,2,2025-11-04T03:12:41Z,70000,False,11.0,9.0,1,left,M. Smart driving Layup (2 PTS),[203935],1610612747.0,LAL,driving,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,1.41,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-11-04T03:12:48.9Z,1,REGULAR,turnover,bad pass,[],1630166,,,1610612757,0,2,2025-11-04T03:12:52Z,80000,False,,,0,,D. Avdija bad pass TURNOVER (1 TO),"[1630166, 1629060]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,,,,1.0,Hachimura,1629060.0,,,,,,,,,,,,,,
9,PT11M35.00S,2025-11-04T03:12:48.9Z,1,REGULAR,steal,,[],1629060,,,1610612747,0,2,2025-11-04T03:12:50Z,90000,False,,,0,,R. Hachimura STEAL (1 STL),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2025-11-04T03:13:06.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629028,26.49474375821288,50.73529411764706,1610612747,0,4,2025-11-04T03:13:10Z,100000,False,-4.0,197.0,1,left,D. Ayton 19' Jump Shot (2 PTS) (J. LaRavia 1 AST),"[1629028, 1631222]",1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Center,19.66,Made,2.0,,,,J. LaRavia,1631222.0,1.0,,,,,,,,,,,
11,PT11M05.00S,2025-11-04T03:13:20.6Z,1,REGULAR,turnover,out-of-bounds,[],1630166,,,1610612757,0,4,2025-11-04T03:13:29Z,110000,False,,,0,,D. Avdija bad pass out-of-bounds TURNOVER (2 TO),[1630166],1610612757.0,POR,bad pass,,,Avdija,D. Avdija,,,,,Mid-Range,16-24 Left,,,,2.0,,,,,,201639.0,,,,,,,,,,
13,PT10M50.00S,2025-11-04T03:13:39.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631222,6.1268068331143235,4.6568627450980395,1610612747,0,4,2025-11-04T03:13:44Z,120000,False,227.0,5.0,1,left,MISS J. LaRavia 3PT,[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,Right Corner 3,24+ Right,22.68,Missed,,,,,,,,,,,,,,,,,,
14,PT10M47.00S,2025-11-04T03:13:42.9Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,0,4,2025-11-04T03:13:44Z,130000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Right Corner 3,24+ Right,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,
15,PT10M38.00S,2025-11-04T03:13:52.1Z,1,REGULAR,3pt,Jump Shot,[],1641739,91.67214191852825,94.6078431372549,1610612757,0,4,2025-11-04T03:13:56Z,140000,False,223.0,26.0,1,right,MISS T. Camara 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Right Corner 3,24+ Right,22.45,Missed,,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2025-11-04T03:13:54.6Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,0,4,2025-11-04T03:13:54Z,150000,False,,,0,,D. Clingan REBOUND (Off:1 Def:0),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Right Corner 3,24+ Right,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,
17,PT10M26.00S,2025-11-04T03:14:03.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201950,74.06373193166885,82.1078431372549,1610612757,0,4,2025-11-04T03:14:09Z,160000,False,161.0,191.0,1,right,MISS J. Holiday 24' pullup 3PT,[201950],1610612757.0,POR,pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,24.97,Missed,,,,,,,,,,,,,,,,,,
18,PT10M22.00S,2025-11-04T03:14:07.7Z,1,REGULAR,rebound,defensive,[],1642261,,,1610612747,0,4,2025-11-04T03:14:09Z,170000,False,,,0,,D. Knecht REBOUND (Off:0 Def:1),[1642261],1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,
19,PT10M08.00S,2025-11-04T03:14:21.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,15.062417871222076,36.029411764705884,1610612747,0,4,2025-11-04T03:14:27Z,180000,False,70.0,89.0,1,left,MISS M. Smart 11' driving floating Shot,[203935],1610612747.0,LAL,driving floating,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Right,11.32,Missed,,,,,,,,,,,,,,,,,,
20,PT10M07.00S,2025-11-04T03:14:22.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,0,4,2025-11-04T03:14:27Z,190000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,19.0,,,,,,,,,
22,PT10M00.00S,2025-11-04T03:14:37.0Z,1,REGULAR,3pt,Jump Shot,[],1631101,64.99671484888306,41.42156862745098,1610612757,0,4,2025-11-04T03:14:41Z,210000,False,-43.0,277.0,1,right,MISS S. Sharpe 27' pullup 3PT,[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,27.98,Missed,,,,,,,,,,,,,,,,,,
23,PT09M57.00S,2025-11-04T03:14:40.0Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,0,4,2025-11-04T03:14:41Z,220000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Center,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,
24,PT09M49.00S,2025-11-04T03:14:47.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,13.748357424441524,51.470588235294116,1610612747,0,4,2025-11-04T03:16:59Z,230000,False,-7.0,77.0,1,left,MISS D. Ayton 7' turnaround fadeaway Shot,[1629028],1610612747.0,LAL,turnaround fadeaway,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,7.71,Missed,,,,,,,,,,,,,,,,,,
25,PT09M48.00S,2025-11-04T03:14:48.8Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,0,4,2025-11-04T03:14:54Z,240000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,
26,PT09M41.00S,2025-11-04T03:14:56.7Z,1,REGULAR,turnover,bad pass,[],1631101,,,1610612757,0,4,2025-11-04T03:15:00Z,250000,False,,,0,,S. Sharpe bad pass TURNOVER (1 TO),"[1631101, 203935]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,,,,1.0,Smart,203935.0,,,,,,,,,,,,,,
27,PT09M41.00S,2025-11-04T03:14:56.7Z,1,REGULAR,steal,,[],203935,,,1610612747,0,4,2025-11-04T03:49:48Z,260000,False,,,0,,M. Smart STEAL (1 STL),[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
28,PT09M33.00S,2025-11-04T03:15:03.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203935,12.959921156373195,65.93137254901961,1610612747,0,4,2025-11-04T03:15:12Z,270000,False,-80.0,69.0,1,left,MISS M. Smart 10' driving floating Shot,[203935],1610612747.0,LAL,driving floating,,,Smart,M. Smart,,,,,Mid-Range,8-16 Left,10.56,Missed,,,,,,,,,,,,,,,,,,
29,PT09M31.00S,2025-11-04T03:15:05.4Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,0,4,2025-11-04T03:15:12Z,280000,False,,,0,,D. Avdija REBOUND (Off:0 Def:2),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Mid-Range,8-16 Left,,,,,,,,,,,28.0,2.0,2.0,0.0,,,,,,
30,PT09M20.00S,2025-11-04T03:15:16.4Z,1,REGULAR,3pt,Jump Shot,[],1642270,94.43166885676742,2.941176470588235,1610612757,0,4,2025-11-04T03:21:42Z,290000,False,-235.0,0.0,1,right,MISS D. Clingan step back 3PT,[1642270],1610612757.0,POR,step back,,,Clingan,D. Clingan,,,,,Left Corner 3,24+ Left,23.53,Missed,,,,,,,,,,,,,,,,,,
31,PT09M16.00S,2025-11-04T03:15:20.4Z,1,REGULAR,rebound,offensive,[],1641739,,,1610612757,0,4,2025-11-04T03:15:22Z,300000,False,,,0,,T. Camara REBOUND (Off:1 Def:0),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Left Corner 3,24+ Left,,,,,,,,,,,30.0,1.0,0.0,1.0,,,,,,
32,PT09M12.00S,2025-11-04T03:15:25.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201950,93.11760840998686,51.71568627450981,1610612757,2,4,2025-11-04T03:21:51Z,310000,False,9.0,12.0,1,right,J. Holiday driving Layup (2 PTS),[201950],1610612757.0,POR,driving,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,1.49,Made,2.0,,,,,,,,,,,,,,,,,
33,PT08M53.00S,2025-11-04T03:15:43.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642261,14.536793692509855,51.9607843137255,1610612747,2,6,2025-11-04T03:22:20Z,320000,False,-10.0,84.0,1,left,D. Knecht 8' pullup Jump Shot (2 PTS),[1642261],1610612747.0,LAL,pullup,,,Knecht,D. Knecht,,,,,In The Paint (Non-RA),8-16 Center,8.47,Made,2.0,,,,,,,,,,,,,,,,,
34,PT08M40.00S,2025-11-04T03:15:57.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631101,93.11760840998686,51.225490196078425,1610612757,4,6,2025-11-04T03:16:00Z,330000,False,6.0,12.0,1,right,S. Sharpe driving Layup (2 PTS) (T. Camara 1 AST),"[1631101, 1641739]",1610612757.0,POR,driving,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,1.36,Made,2.0,,,,T. Camara,1641739.0,1.0,,,,,,,,,,,
36,PT08M35.00S,2025-11-04T03:16:02.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629060,5.338370565045992,47.794117647058826,1610612747,4,8,2025-11-04T03:23:04Z,350000,False,11.0,-2.0,1,left,R. Hachimura driving DUNK (2 PTS) (M. Smart 1 AST),"[1629060, 203935]",1610612747.0,LAL,driving,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,1.12,Made,2.0,,,,M. Smart,203935.0,1.0,,,,,,,,,,,
38,PT08M23.00S,2025-11-04T03:16:13.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,94.56307490144546,53.67647058823529,1610612757,4,8,2025-11-04T03:24:09Z,370000,False,18.0,-1.0,1,right,MISS D. Avdija cutting Layup,[1630166],1610612757.0,POR,cutting,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,1.85,Missed,,,,,,,,,,,,,,,,,,
39,PT08M21.00S,2025-11-04T03:16:15.3Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612757,4,8,2025-11-04T03:16:18Z,380000,False,,,0,,D. Avdija REBOUND (Off:1 Def:2),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,,,,,38.0,3.0,2.0,1.0,,,,,,
40,PT08M21.00S,2025-11-04T03:16:15.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630166,94.40999984741211,50.0,1610612757,6,8,2025-11-04T03:16:15Z,390000,False,0.0,0.0,1,right,D. Avdija tip Layup (2 PTS),[1630166],1610612757.0,POR,tip,,,Avdija,D. Avdija,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
41,PT08M08.00S,2025-11-04T03:16:28.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,16.245072273324574,51.225490196078425,1610612747,6,10,2025-11-04T03:16:42Z,400000,False,-6.0,100.0,1,left,D. Ayton 10' turnaround Jump Shot (4 PTS) (J. LaRavia 2 AST),"[1629028, 1631222]",1610612747.0,LAL,turnaround,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,10.04,Made,4.0,,,,J. LaRavia,1631222.0,2.0,,,,,,,,,,,
43,PT07M53.00S,2025-11-04T03:16:44.0Z,1,REGULAR,turnover,bad pass,[],201950,,,1610612757,6,10,2025-11-04T03:16:48Z,420000,False,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[201950, 203935]",1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Left Center,,,,1.0,Smart,203935.0,,,,,,,,,,,,,,
44,PT07M53.00S,2025-11-04T03:16:44.0Z,1,REGULAR,steal,,[],203935,,,1610612747,6,10,2025-11-04T03:16:45Z,430000,False,,,0,,M. Smart STEAL (2 STL),[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
45,PT07M51.00S,2025-11-04T03:16:46.8Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629060,6.1268068331143235,49.01960784313725,1610612747,6,12,2025-11-04T03:27:21Z,440000,False,5.0,5.0,1,left,R. Hachimura running DUNK (4 PTS) (M. Smart 2 AST),"[1629060, 203935]",1610612747.0,LAL,running,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,0.71,Made,4.0,,,,M. Smart,203935.0,2.0,,,,,,,,,,,
47,PT07M51.00S,2025-11-04T03:16:50.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,6,12,2025-11-04T03:16:50Z,460000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M51.00S,2025-11-04T03:19:09.2Z,1,REGULAR,substitution,out,[],1642270,,,1610612757,6,12,2025-11-04T03:19:22Z,470000,False,,,0,,SUB out: D. Clingan,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,,,,,,,,,,,,,,,,,,,,,,
