actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-02-04T04:14:05.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-04T04:14:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-02-04T04:14:09.1Z,1,REGULAR,jumpball,recovered,[],1628415,,,1610612756,0,0,2026-02-04T04:14:09Z,40000,False,,,0,,Jump Ball M. Williams vs. D. Clingan: Tip to D. Brooks,"[1628415, 1631109, 1642270]",1610612756.0,PHX,startperiod,D. Brooks,1628415.0,Brooks,D. Brooks,Williams,1631109.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-02-04T04:14:21.5Z,1,REGULAR,turnover,out-of-bounds,[],1628415,,,1610612756,0,0,2026-02-04T04:14:30Z,70000,False,,,0,,D. Brooks bad pass out-of-bounds TURNOVER (1 TO),[1628415],1610612756.0,PHX,bad pass,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Left,1626301.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2026-02-04T04:14:46.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642270,66.83639947437582,36.029411764705884,1610612757,3,0,2026-02-04T04:14:51Z,80000,False,-70.0,259.0,1,right,D. Clingan 26' 3PT  (3 PTS) (T. Camara 1 AST),"[1642270, 1641739]",1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Center,,,26.85,Made,3.0,T. Camara,1641739.0,1.0,,,,,,,,,,,,
10,PT11M18.00S,2026-02-04T04:15:03.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628960,16.507884362680684,57.35294117647059,1610612756,3,2,2026-02-04T04:15:09Z,100000,False,-37.0,103.0,1,left,G. Allen 10' pullup Jump Shot (2 PTS),[1628960],1610612756.0,PHX,pullup,,,Allen,G. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,10.91,Made,2.0,,,,,,,,,,,,,,,
11,PT11M06.00S,2026-02-04T04:15:15.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631101,79.84559789750328,56.127450980392155,1610612757,3,2,2026-02-04T04:15:21Z,110000,False,31.0,137.0,1,right,MISS S. Sharpe 14' pullup Shot,[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),8-16 Center,,,14.04,Missed,,,,,,,,,,,,,,,,
12,PT11M01.00S,2026-02-04T04:15:20.4Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612756,3,2,2026-02-04T04:15:21Z,120000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT10M53.00S,2026-02-04T04:15:28.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,16.770696452036795,45.83333333333333,1610612756,3,4,2026-02-04T04:15:33Z,130000,False,21.0,105.0,1,left,D. Brooks 10' turnaround fadeaway Jump Shot (2 PTS),[1628415],1610612756.0,PHX,turnaround fadeaway,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,,,10.71,Made,2.0,,,,,,,,,,,,,,,
15,PT10M40.00S,2026-02-04T04:15:59.3Z,1,REGULAR,turnover,bad pass,[],1631101,,,1610612757,3,4,2026-02-04T04:16:03Z,150000,False,,,0,,S. Sharpe bad pass TURNOVER (1 TO),"[1631101, 1631221]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Left Corner 3,24+ Left,,1.0,,,,,,,,,,,Gillespie,1631221.0,,,,,,
16,PT10M40.00S,2026-02-04T04:15:59.3Z,1,REGULAR,steal,,[],1631221,,,1610612756,3,4,2026-02-04T04:16:01Z,160000,False,,,0,,C. Gillespie STEAL (1 STL),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
17,PT10M24.00S,2026-02-04T04:16:16.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631109,14.668199737187912,45.588235294117645,1610612756,3,4,2026-02-04T04:16:23Z,170000,False,22.0,85.0,1,left,MISS M. Williams 8' floating Shot - blocked,"[1631109, 1642270]",1610612756.0,PHX,floating,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,8.82,Missed,,,,,,,,,,,Clingan,1642270.0,,,,
18,PT10M24.00S,2026-02-04T04:16:16.0Z,1,REGULAR,block,,[],1642270,,,1610612756,3,4,2026-02-04T04:16:18Z,180000,False,,,0,,D. Clingan BLOCK (1 BLK),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M22.00S,2026-02-04T04:16:18.0Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,3,4,2026-02-04T04:16:23Z,190000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
20,PT10M16.00S,2026-02-04T04:16:23.7Z,1,REGULAR,3pt,Jump Shot,[],1642270,67.09921156373193,51.470588235294116,1610612757,6,4,2026-02-04T04:17:00Z,200000,False,7.0,257.0,1,right,D. Clingan 25' 3PT  (6 PTS) (J. Grant 1 AST),"[1642270, 203924]",1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Center,,,25.69,Made,6.0,J. Grant,203924.0,1.0,,,,,,,,,,,,
22,PT10M03.00S,2026-02-04T04:16:37.1Z,1,REGULAR,3pt,Jump Shot,[],1631221,29.911300919842315,73.2843137254902,1610612756,6,4,2026-02-04T04:16:41Z,220000,False,-116.0,229.0,1,left,MISS C. Gillespie 25' pullup 3PT,[1631221],1610612756.0,PHX,pullup,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,,,25.66,Missed,,,,,,,,,,,,,,,,
23,PT10M00.00S,2026-02-04T04:16:40.1Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,6,4,2026-02-04T04:16:41Z,230000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,
24,PT09M54.00S,2026-02-04T04:16:46.3Z,1,REGULAR,3pt,Jump Shot,[],1642270,67.62483574244416,39.46078431372549,1610612757,9,4,2026-02-04T04:16:50Z,240000,False,-53.0,252.0,1,right,D. Clingan 25' 3PT  (9 PTS) (T. Camara 2 AST),"[1642270, 1641739]",1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Center,,,25.73,Made,9.0,T. Camara,1641739.0,2.0,,,,,,,,,,,,
26,PT09M37.00S,2026-02-04T04:17:02.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628960,18.610381077529567,52.20588235294118,1610612756,9,4,2026-02-04T04:18:52Z,260000,False,-11.0,122.0,1,left,MISS G. Allen 12' driving floating Shot - blocked,"[1628960, 1642270]",1610612756.0,PHX,driving floating,,,Allen,G. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,12.29,Missed,,,,,,,,,,,Clingan,1642270.0,,,,
27,PT09M37.00S,2026-02-04T04:17:02.0Z,1,REGULAR,block,,[],1642270,,,1610612756,9,4,2026-02-04T04:17:04Z,270000,False,,,0,,D. Clingan BLOCK (2 BLK),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M36.00S,2026-02-04T04:17:03.0Z,1,REGULAR,rebound,offensive,[],1628415,,,1610612756,9,4,2026-02-04T04:19:06Z,280000,False,,,0,,D. Brooks REBOUND (Off:1 Def:0),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,26.0,1.0,0.0,1.0,,,,,,,,
29,PT09M33.00S,2026-02-04T04:17:06.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628415,12.171484888304862,40.44117647058824,1610612756,9,4,2026-02-04T04:19:34Z,290000,False,48.0,62.0,1,left,MISS D. Brooks 7' driving floating Shot,[1628415],1610612756.0,PHX,driving floating,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,,,7.82,Missed,,,,,,,,,,,,,,,,
30,PT09M32.00S,2026-02-04T04:17:07.5Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612756,9,4,2026-02-04T04:19:34Z,300000,False,,,0,,M. Williams REBOUND (Off:1 Def:1),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,29.0,2.0,1.0,1.0,,,,,,,,
